"lang_iso_code","es"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","El pérfil del usuario es inactivo! Regístrese haciendo clic en el marcador SMS en menú principal. Módulo le enseñará el formulario para registrarse. En caso de que ha utilizado el módulo en pasado ya y conoce su nombre de usuario y su contraseña, rellene el formulario para la cuenta ya existente. En caso contrario introduzca su correo electrónico, acepta los Términos de Licencia y haga clic en ""Registrar""."
"Invalid SMS text","Texto del mensaje SMS inválido"
"Text of SMS was saved.","El texto del mensaje SMS se ha sido guardado correctamente."
"SMS text version was deleted.","La mutación del idioma ha sido eliminada."
"Are you sure to delete","¿De verdad quiere eliminar?"
"DELETE language version","ELIMINAR una mutación del idioma"
"SMS text","Texto del mensaje SMS"
"unicode","unicode"
"SMS text version for ","La mutación del idioma para "
" was saved"," ha sido guardada"
"Preview","Vista anticipada"
"Active","Activo"
"Save","Guardar"
"Cancel","Cancelar"
"total sms:","Total de mensajes SMS:"
"EDIT language version","MODIFICAR la mutación del idioma"
"Edit","Modificar"
"Add","Añadir"
"Order","El pedido"
"Chars","Signos"
"Unicode was saved.","Unicode ha sido guardado."
"Restore unsaved changes to its original state.","Devuelve a los cambios no guardados al estado original."
"Purchase Credit","Comprar crédito"
"Purchase Credit - not active","Comprar crédito - inactivo"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","El pérfil del usuario es inactivo! Regístrese haciendo clic en el marcador SMS en menú principal. Módulo le enseñará el formulario para registrarse. En caso de que ha utilizado el módulo en pasado ya y conoce su nombre de usuario y su contraseña, rellene el formulario para la cuenta ya existente. En caso contrario introduzca su correo electrónico, acepta los Términos de Licencia y haga clic en ""Registrar""."
" In case methods for credit purchase are not displayed properly, please click here:","En caso de que no se le aparece la posibilidad de comprar el crédito, haga el clic aquí por favor:"
"Bulk SMS text","Texto del mensaje SMS de masa"
"Add recipients ","Añada al receptor "
"Add one or more recipients separated by commas. Number must be in international format, no leading zeros or “+“ sign.","Añada a uno o más receptores seperándolos con tilde. El número tiene que estar en formato internacional, sin ceros o signos como “+” , p.ej., 34123456789"
" (e.g. 447971796595)"," (p.ej. 34123456789)"
"Enter SMS text","Introduzca el texto del mensaje SMS"
"Add recipients in CSV file ","Añada al receptor en archivo CSV "
"CSV file - 1 column, 1st column - number (Number must be in international format, no leading zeros or “+“ sign; e.g. 447971796595)","Archivo CSV - 1 columna, 1.columna - número ((El número tiene que estar en formato internacional, sin ceros o signos como “+” , p.ej., 34123456789"
" Unicode "," Unicode "
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70).","Marca sólo cuando quiere usar signos diacríticos en el mensaje o cuando usa lenguas como chino, árabe, griego, hebreo, coreano, etc. (Unicode permite utilizar distintos tipos de letra y distintos símbolos a la vez. En un Unicode mensaje son 70 signos)."
"Your time: ","su tiempo: "
"Time: ","tiempo: "
"time zone: ","Zona del tiempo: "
"time zone settings","ajustamiento de Zona del tiempo"
"Text is too long","El texto es muy largo"
"Send SMS","Enviar SMS"
"Send","Enviar"
"Send SMS or bulk SMS. Enter mobile numbers or upload CSV file.","Envío de mensajes SMS a SMS de masa. Introduzca los números de teléfono o cargue el archivo CSV."
"Send SMS - not active","Enviar mensaje SMS - inactivo"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","El pérfil del usuario es inactivo! Regístrese haciendo clic en el marcador SMS en menú principal. Módulo le enseñará el formulario para registrarse. En caso de que ha utilizado el módulo en pasado ya y conoce su nombre de usuario y su contraseña, rellene el formulario para la cuenta ya existente. En caso contrario introduzca su correo electrónico, acepta los Términos de Licencia y haga clic en ""Registrar""."
"Fill in SMS text.","Rellene el texto del mensaje SMS"
"SMS text is too long (max. 612 characters).","El texto del mensaje SMS es muy largo (máx. 612 signos)."
"SMS text is too long (max. 268 unicode characters).","El texto del mensaje SMS es muy largo (máx. 268 signos unicode)."
"Wrong time of SMS sending.","Tiempo inválido del envío del mensaje SMS."
"Recipients found: 0","No se ha encontrado ningún receptor"
"You do not have enough credit to send SMS to all ","No tiene suficiente crédito para mandar los mensajes SMS a todos "
" recipients."," los receptores."
"SMS was sent.","El mensaje SMS ha sido enviado."
"SMS was saved.","EL mensaje SMS ha sido guardado."
"wrong number or unavailable","Número de teléfono incorrecto o inaccesible"
"unauthorized senderID in confirmation sms","ID del remitente no autorizado en el SMS de confirmación"
"low credit for sending sms","Crédito bajo para enviar mensajes SMS"
"unicode is not supported","unicode no está apoyado"
"login error","Error de iniciación de la seción"
"can not connect to SMS server","no se puede conectar al SMS servidor"
"SMS SIMULATION (Sending of SMS was simulated. Recipient will not receive SMS)","SMS SIMULACIÓN (Envío de SMS ha sido simulado. El receptor no obtendrá el mensaje SMS)"
"SMS was sent (simulation).","Mensaje SMS ha sido enviado (simulación)."
"error","error"
" Send later "," Enviar después "
"Characters: ","Signos: "
"1hr","1 hora"
"Date: ","Fecha: "
"SMS Answers","SMS Respuestas"
"SMS answer from customer is displayed only when customer receives SMS from your shop with SMS sender type „System number“ and customer replies using his own mobile phone.","SMS respuesta del cliente aparecerá en cuanto el cliente de su tienda obtiene SMS con tipo de remitente ""número del sistema"" y el cliente responderá del mismo número de teléfono."
"Show","Enseñar"
"Search results ","Resultado de la búsqueda "
" of "," de "
"SMS center","SMS centro"
"Date","Fecha"
"From number","De número"
"new","nuevo"
"Previous","Anterior"
"Next","Próxima"
" Page: "," Página: "
"SMS Answers - not active","SMS Respuestas - inactivo"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","El pérfil del usuario es inactivo! Regístrese haciendo clic en el marcador SMS en menú principal. Módulo le enseñará el formulario para registrarse. En caso de que ha utilizado el módulo en pasado ya y conoce su nombre de usuario y su contraseña, rellene el formulario para la cuenta ya existente. En caso contrario introduzca su correo electrónico, acepta los Términos de Licencia y haga clic en ""Registrar""."
"year","año"
"month","mes"
"SMS","Mensaje SMS"
"Text:","Texto:"
"Total SMS answers: 0","Total de respuestas SMS: 0"
"SENT to recipient","ENVIADO al receptor"
"ERROR","ERROR"
"DELIVERED to recipient","ENTREGADO al receptor"
"RECIPIENT UNAVAILABLE","RECEPTOR INACCESIBLE"
"SMS History","SMS Archivo"
"History of sent SMS from SMS module.","Archivo de mensajes enviados del SMS módulo."
" admin sms"," administrador SMS"
" customer sms"," cliente SMS"
" marketing sms"," SMS de comercio"
" simple sms"," SMS simples"
"Show","Enseñar"
"Search results ","Resultado de la búsqueda "
" of "," de "
"Type","Tipo"
"Date","Fecha"
"SMS subject","SMS asunto"
"Number","Número"
"yes","sí"
"no","no"
"system number","número de sistema"
"Credit balance:","Estado de la cuenta:"
"Display customer detail","Enseñar el detalle del cliente"
"Text:","Texto:"
"Total SMS:","Total de mensajes SMS:"
"SMS History - not active","SMS Archivo - inactivo"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","El pérfil del usuario es inactivo! Regístrese haciendo clic en el marcador SMS en menú principal. Módulo le enseñará el formulario para registrarse. En caso de que ha utilizado el módulo en pasado ya y conoce su nombre de usuario y su contraseña, rellene el formulario para la cuenta ya existente. En caso contrario introduzca su correo electrónico, acepta los Términos de Licencia y haga clic en ""Registrar""."
"SMS price in credits:","Precio en créditos:"
"year","año"
"month","mes"
"Status","Estado"
"Recipient","Receptor"
"Unicode:","Unicode:"
"senderID:","ID del remitente:"
"Previous","Anterior"
"Next","Próxima"
" Page: "," Página: "
"Total SMS: 0","Total de mensajes SMS: 0"
"SMS","mensaje SMS"
"SMS Marketing - bulk SMS text","SMS de Comercio - texto de SMS de masa"
"Enter SMS text","Enseña el texto del mensaje SMS"
" Unicode "," Unicode "
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70).","Marca sólo cuando quiere usar signos diacríticos en el mensaje o cuando usa lenguas como chino, árabe, griego, hebreo, coreano, etc. (Unicode permite utilizar distintos tipos de letra y distintos símbolos a la vez. En un Unicode mensaje son 70 signos)."
" Send later "," Enviar después "
"Your time: ","su tiempo: "
"Total customers:","Total de clientes:"
"Total SMS:","Total de mensajes SMS:"
"SMS Marketing - bulk SMS filter","SMS de Comercio - filtro de SMS de masa"
"All customers","Todos clientes"
"company customers","Clientes de la compañía"
"private customers","Clientes privados"
"All countries","Todos los países"
"Last name:","Apellido:"
"First name:","Nombre:"
"Last name","Apellido"
"First name","Nombre"
"Groups:","Grupos:"
"All","Todos"
"Gender:","Sexo:"
"Male","Hombre"
"Female","Mujer"
"Newsletter:","Boletín informativo:"
"Yes","Sí"
"No","No"
"Apply filter","Usar filtro"
"Date of birth from: ","Fecha de nacimiento desde: "
"to: ","hasta: "
"Date of registration from: ","Fecha de registración desde: "
"Customers found: ","Se han encontrado clientes: "
"results","Mostrado"
"Action","Acción"
"Mobile number","Número de teléfono"
"Customer ID","Número del cliente"
"REMOVE customer from this list","ELIMINAR al cliente de esta lista"
"Next","Anterior"
"Previous","Próxima"
" Page: "," Página: "
"SMS Marketing - customers found: ","SMS de Comercio - Se han encontrado clientes: "
"Write text of message and use advanced filter to target your marketing campaign.","Escriba el texto de mensaje utilizándo los filtros avanzados para dirigirse a su campaña de marketing."
"Marketing SMS","SMS de Comercio"
"SMS Marketing - not active","SMS de Comercio - inactivo"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","El pérfil del usuario es inactivo! Regístrese haciendo clic en el marcador SMS en menú principal. Módulo le enseñará el formulario para registrarse. En caso de que ha utilizado el módulo en pasado ya y conoce su nombre de usuario y su contraseña, rellene el formulario para la cuenta ya existente. En caso contrario introduzca su correo electrónico, acepta los Términos de Licencia y haga clic en ""Registrar""."
"Fill in SMS text","Rellena el texto del mensaje SMS."
"SMS text is too long (max. 612 characters).","El texto del mensaje SMS es muy largo (máx. 612 signos)."
"SMS text is too long (max. 268 unicode characters).","El texto del mensaje SMS es muy largo (máx. 612 signos unicode)."
"Customers found: 0","Se han encontrado clientes: 0"
"Wrong time of SMS sending.","Tiempo inválido del envío de SMS."
"You do not have enough credit to send SMS to all ","No tiene suficiente crédito para mandar los mensajes SMS a todos "
" customers."," clientes."
"SMS was sent.","El mensaje SMS ha sido enviado."
"SMS was saved.","El mensaje SMS ha sido guardado."
"wrong number or unavailable","Número de teléfono incorrecto o inaccesible"
"unauthorized senderID in confirmation sms","ID del remitente no autorizado en el SMS de confirmación"
"low credit for sending sms","Crédito bajo para enviar mensajes SMS"
"unicode is not supported","unicode no está apoyado"
"can not connect to SMS server","no se puede conectar al SMS servidor"
"SMS SIMULATION (Sending of SMS was simulated. Recipient will not receive SMS)","SMS SIMULACIÓN (Envío de SMS ha sido simulado. El receptor no obtendrá el mensaje SMS.)"
"SMS was sent (simulation).","Mensaje SMS ha sido enviado (simulación)."
"error","error"
"login error","Error de iniciación de la seción"
"Date:","Fecha:"
"Time: ","Tiempo: "
"1hr","1 hora"
"time zone: ","Zona del tiempo: "
"time zone settings","Ajustamiento de la zona del tiempo"
"Send","Enviar"
"Characters: ","Signos: "
"Text is too long","El texto es muy largo"
"Type:","Tipo:"
"Country:","País:"
"City:","Ciudad:"
"Advert:","Anuncio publicitario:"
"Store:","Tienda:"
"All stores","Todas las tiendas"
"Presta SMS","Presta SMS"
"presta-sms.com - send SMS from your Prestashop!","presta-sms.com - ¡Envie mensajes SMS de su Prestashop!"
"Admin SMS","Admin SMS"
"Customer SMS","SMS de cliente"
"SMS Settings","Ajustamiento de SMS"
"SMS History","Archivo de SMS"
"Purchase Credit","Comprar crédito"
"Marketing SMS","SMS de comercio"
"SMS Answers","SMS Respuestas"
"Send SMS","Enviar SMS"
"About","Sobre módulo"
"wrong number or unavailable","Número de teléfono incorrecto o inaccesible"
"unauthorized senderID in confirmation sms","ID del remitente no autorizado en el SMS de confirmación"
"low credit for sending sms","Crédito bajo para enviar mensajes SMS"
"unicode is not supported","unicode no está apoyado"
"login error","Error de iniciación de la seción"
"can not connect to SMS server","Crédito bajo para enviar mensajes SMS"
"SMS SIMULATION (Sending of SMS was simulated. Recipient will not receive SMS)","SMS SIMULACIÓN (Envío de SMS ha sido simulado. El receptor no obtendrá el mensaje SMS.)"
"unknown mobile number","número desconocido"
"not connected to SMS server","no conectado al SMS servidor"
"New orders","Nuevos pedidos"
"New order from {customer_firstname} {customer_lastname}, customer id: {customer_id}, order id: {order_id}, payment: {order_payment}, amount: {order_total_paid} {order_currency}. Order: {newOrder2}. Info from {shop_name}.","Nuevo pedido de {customer_firstname} {customer_lastname}, cliente: {customer_id}, pedido: {order_id}, pago: {order_payment}, suma: {order_total_paid} {order_currency}. Pedido: {newOrder2}. Información de {shop_name}."
"Your order {order_id} was successfully created, payment: {order_payment}, amount: {order_total_paid} {order_currency}. Have a nice day, {shop_name}.","Su pedido {order_id} ha sido creado con éxito, pago: {order_payment}, suma: {order_total_paid} {order_currency}. Un buen día, {shop_name}."
"Possible variables:","Parámetros posibles:"
"Successful customer create account","La creación exitosa de la cuenta del cliente"
"Customer {customer_firstname} {customer_lastname}, id: {customer_id}, has just subscribed to {shop_name}.","Cliente {customer_firstname} {customer_lastname}, id: {customer_id}, se ha registrado ahora mismo a {shop_name}."
"Dear {customer_firstname} {customer_lastname}, your account in {shop_name} was successfully created. Your username: {customer_email}. Have a nice day!","Estimado/a {customer_firstname} {customer_lastname}, su cuenta en {shop_name} se ha creado con éxito. Nombre del usuario: {customer_email}. ¡Un buen día!"
"Product returned","La mercancía devuelta"
"Customer {customer_firstname} {customer_lastname}, id: {customer_id}, has returned product from order {order_id}. Order: {orderReturn2}. Customer text: {customer_question}. Info from {shop_name}.","Cliente {customer_firstname} {customer_lastname}, id: {customer_id}, devolvió mercancía del pedido {order_id}. Pedido: {orderReturn2}. Mensaje del cliente: {customer_question}. Información de {shop_name}."
"We have received your request. Order {order_id}. Have a nice day, {shop_name}.","Obtuvimos su demanda. Pedido {order_id}. Un buen día, {shop_name}."
"Called when a quantity of one product change in an order","Aviso en caso de cambio de la cantidad de algún producto pedido."
"In order {order_id} was changed quantity, {orderSlip2}. Info from {shop_name}.","En el pedido {order_id} se ha cambiado la cantidad, {orderSlip2}. Información de {shop_name}."
"In your order {order_id} was changed quantity, {orderSlip2}. Have a nice day, {shop_name}.","En su pedido número {order_id} se ha cambiado la cantidad, {orderSlip2}. Un buen día, {shop_name}."
"Payment confirmation","Confirmación del pago"
"Payment confirmation, order id: {order_id}, payment: {order_payment}, amount: {order_total_paid} {order_currency}. Info from {shop_name}.","Confirmación del pago, pedido número: {order_id}, pago: {order_payment}, suma: {order_total_paid} {order_currency}. Información de {shop_name}."
"We have successfully received payment for your order {order_id} via {order_payment}, amount: {order_total_paid} {order_currency}. Have a nice day, {shop_name}.","Obtuvimos pago de su pedido {order_id} a través de {order_payment}, suma: {order_total_paid} {order_currency}. Un buen día, {shop_name}."
"Update of tracking number in order","Actualización del pedido - número que ha asignado transportista al envío"
"Order {order_id} was updated, tracking number is {order_shipping_number}. Info from {shop_name}.","Pedido número {order_id} ha sido actualizado con número de envío {order_shipping_number} que le ha asignado el transportista. Información de {shop_name}."
"Dear Customer, your order {order_id} was shipped, tracking number is {order_shipping_number}. Have a nice day, {shop_name}.","Estimado cliente, la mercancía de su pedido número {order_id} ha sido enviada, número que ha asignado transportista al envío es {order_shipping_number}. Un buen día, {shop_name}."
"Called when a product is deleted","Eliminación del producto de la base de datos"
"This product was deleted from {shop_name}, id: {product_id}, ref: {product_ref}, name: {product_name}. Deleted by user {employee_id}, {employee_email}.","Este producto ha sido eliminado de {shop_name}, id: {product_id}, ref: {product_ref}, nombre: {product_name}. Eliminado por cliente: {employee_id}, {employee_email}."
"Quantity is updated only when the customer effectively place his order","La cantidad es actualizada sólo cuando el cliente crea el pedido exitosamente"
"Quantity of product has changed, id: {product_id}, ref: {product_ref}, name: {product_name}, current quantity: {product_quantity}, supplier: {product_supplier}. Info from {shop_name}.","La cantidad del producto se ha cambiado, id: {product_id}, ref: {product_ref}, nombre: {product_name}, nueva cantidad: {product_quantity}, contratista: {product_supplier}. Información de {shop_name}."
"Product out of stock","La mercancía no está en depósito"
"This product is almost out of stock, id: {product_id}, ref: {product_ref}, name: {product_name}, current quantity: {product_quantity}. Info from {shop_name}.","Esta mercancía está agotándose, id: {product_id}, ref: {product_ref}, nombre: {product_name}, cantidad: {product_quantity}. Información de {shop_name}."
"Called when admin or customer cancel a product in an order","Aviso en caso de que el administrador o cliente cancelará la mercancía en el pedido"
"In order {order_id} was canceled product with id: {product_id}, ref: {product_ref}, name: {product_name}. Quantity: {product_quantity}, quantity reinjected: {product_quantity_reinjected}. Info from {shop_name}.","En pedido {order_id} ha sido cancelada la mercancía id: {product_id}, ref: {product_ref}, nombre: {product_name}. cantidad: {product_quantity}, la cantidad cancelada: {product_quantity_reinjected}. Información de {shop_name}."
"Status of order {order_id} has changed to ","Estado del pedido {order_id} se ha cambiado a "
". Info from {shop_name}.",". Información de {shop_name}."
"Dear Customer, status of your order {order_id} has changed to ","Estimado cliente, estado de su pedido {order_id} cambió a "
". Have a nice day, {shop_name}.",". Un buen día, {shop_name}."
"Bank wire","Transacción bancaria"
"Company Name","Nombre de la compañía"
"Country","País"
"City","Ciudad"
"qty","cantidad"
"qty reinjected","cantidad cancelada"
"qty returned","cantidad devuelta"
"name","nombre"
"not found","no encontrado"
"SMS Settings - Select Own number sender ID for ","Ajustamiento de SMS - Elija su número propio del remitente para "
"Own number sender ID settings","Ajustamiento del número propio del remitente"
"own number sender ID","número propio del remitente"
"Existing Own number:","Número propio existente:"
"New Own number sender ID:","Nuevo número propio del remitente:"
"in international format, no leading <br />zeros or a “+” sign, e.g., 447971796595","en formato internacional,<br />sin ceros o signos como “+” , p.ej., 34123456789"
"SMS code:","SMS código:"
"CONFIRM","Confirmar"
"Required field","Campo requerido"
"SMS Settings - Select Text sender ID for ","Ajustamiento de SMS - Elija al remitente del texto para "
"Text sender ID settings","Ajustamineto del remitente textual"
"Existing Text sender ID:","Remitente textual existente:"
"New Text sender ID:","Nuevo remitente textual:"
"max. 11 characters","máx. 11 signos"
"SMS Settings","Ajustamiento de SMS"
"Define SMS Sender Type for each country separately (Text sender ID, Own mobile number or System number). SMS price depends on the recipient country, selected SMS sender type and amount of payment. In countries with undefined SMS sender type will be used System number sender type.","Defina el tipo del remitente para cada país. (remitente textual posee su propio número de móvil o su número de sistema). Precio de SMS mensaje depende del país del remitente, elegido tipo del remitente y en el nivel del pago. En los países con el tipo del remitente indefinido se utilizará el número del sistema."
"Customer SMS settings","Ajustamiento de los mensajes SMS del cliente"
"ADD/CHANGE SELECTED COUNTRY","AÑADIR/CAMBIAR EL PAÍS ELEGIDO"
"SENDER TYPE","TIPO DEL REMITENTE"
"NETWORK","RED"
"SMS PRICE<br />IN CREDITS","PRECIO EN CRÉDITOS"
"SMS PRICE IN EUR (excl. VAT)","PRECIO DE SMS EN EUR (sin IVA)"
"payment","pago"
"Unicode ","Unicode "
