"lang_iso_code","ru"
"Company VAT:","Идентификационный номер налогоплательщика:"
"Referer ID:","ID аккаунта:"
"View licence terms:","Просмотр лицензионного соглашения:"
"I agree","Я согласен"
"I dont agree","Я не согласен"
"Register","Зарегистрироваться"
"Required field","Обязательные поля"
"Sign in","Войти"
"If You already have an account, please sign in.","Если у Вас уже есть учетная запись, пожалуйста, войдите"
"Username:","Пользователь:"
"Password:","Пароль:"
"Log in","Войти"
"Edit user account","Учетная запись пользователя"
"Save","Сохранить"
"User account info","Информация о пользователе"
"SMS Credit:","Количество СМС:"
"Add administrators","Добавить администратора"
"Name:","Имя:"
"Mobile number:","Номер мобильного телефона:"
"Edit","Редактировать"
"Add","Сохранить"
"Other settings","Другие настройки"
"Simulate SMS sending:","Симулировать СМС рассылку:"
"Allows to test sending of SMS in modul and to view sent SMS in SMS history with a special status.","Позволяет протестировать параметры отправки СМС и отобразить отправленные сообщения во вкладке СМС-Журналы"
"Delete database:","Удалить базу данных:"
"Allows to decide if current SMS settings and database of sent SMS shall be stored when uninstalling SMS module.","Позволяет решить, следует ли сохранить существующие настройки, а также базы данных отправленных СМС в случае удаления СМС модуля."
"Delivery reports:","Отчеты о доставке:"
"Allows to see delivery reports of SMS in SMS history Tab.","Позволяет осуществлять просмотр отчетов о доставке СМС во вкладке Журналы"
"Low credit alert:","Обратите внимание на недостаточное количество электронных средств:"
" Allows to receive email when your SMS credit is low.","Позволяет получить e-mail уведомление о недостаточном количестве СМС на счету"
"Email for delivery reports:","Email для получения подтверждения о доставке:"
"Allows to receive email with delivery report of SMS.","Позволяет получить е-mail, информирующий о доставке СМС сообщения"
"Admin was created.","Администратор был создан"
"You have to agree with licence terms.","Вы должны принять условия лицензионного соглашения"
"Account was created.","Регистрация была проведена успешно. На Ваш элекронный адрес Вам отправлено письмо, подтверждающее Ваш адрес, а также бесплатное получение 5 бонусов."
"you can add another account after ","Дополнительный аккаунт может быть создан через"
"minutes","минут"
"can not connect to SMS server","отсутствует соединение с СМС-сервером"
"You were succesfully loged in.","Вы были успешно авторизованы"
"error","ошибка"
"Invalid e-mail for delivery report.","Неверный адрес электронной почты для получения отчетов о доставке"
"Invalid e-mail","Неверный адрес электронной почты"
"Account was changed.","Аккаунт был успешно изменен"
"Account was changed, but module URL for DR does not answer.","Аккаунт был изменен, но mодуль URL для получения отчетов о доставке не отвечает"
"you can change account after ","Аккаунт может быть изменен через"
" seconds","секунд"
"Invalid name","Неверное имя пользователя"
"Invalid number","Неверный номер"
"Admin was changed.","Администратор был изменен"
"Admin was deleted.","Администратор был удален"
"no changes were made","Изменения не были успешно внесены"
"login error","Не удалось войти в систему"
"Are you sure to delete","Вы уверены, что хотите удалить"
"DELETE administrator","УДАЛИТЬ администратора"
"EDIT administrator","ИЗМЕНИТЬ администратора"
"in international format, no leading zeros or a “+” sign, e.g., 447971796595","в международном формате, без ведущих нулей или знака +, например, 79636123456"
"(when uninstall)","(При удалении)"
"(0 = no alert)","(0 = без предупреждений)"
"Fill in username and password.","Введите имя пользователя и пароль"
"Customer SMS - ","СМС клиента -"
"Customer SMS - not active","СМС клиента - неактивно"
" language version","язык"
"Select events during which shall be customer notified via SMS and customize text of messages. You can also add a new language version of SMS messages for each country separately. In countries with undefined language version will be used default language version.","Выберите события, о которых клиент будет уведомлен с помощью СМС сообщений, и определите текст этих сообщений. Для разных стран могут быть созданы различные языковые версии сообщений СМС. В странах, где язык СМС сообщений не будет определяться автоматически, будет использована версия по умолчанию."
"Add SMS text version","Добавить новую языковую версию СМС сообщения"
"Select country: ","Выберите страну: "
"Unicode SMS","СМС Юникод"
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70).","Отметьте только в случае использования диакритических знаков, либо таких языков, как русский, китайский, арабский, греческий, иврит, корейский и т.п. (Юникод позволяет одновременно использовать разные шрифты и символы. Количество символов в Юникод сообщении равно 70)."
"Order status","Статус заказа"
"Sending notifications via SMS is ACTIVE","СМС рассылка АКТИВНА"
"Sending notifications via SMS is NOT ACTIVE. To activate SMS sending check „Active“ in desired status detail.","СМС рассылка НЕАКТИВНА. Активируйте отправку СМС уведомлений с помощью выбора параметра ""Активна"" во вкладке желаемых настроек пользователя"
" Update of order status ","Обновление статуса заказа"
"Account","Аккаунт"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Профиль пользователя неактивен! Для регистрации нажмите на вкладку СМС в главном меню. Модуль отобразит окно для ввода регистрационных данных. Используйте модуль, с которым Вы уже работали. Введите имя пользователя и пароль для существующей учетной записи. В противном случае, заполните графу ""электронная почта"", примите условия лицензионного соглашения и нажмите ""зарегистрироваться""."
"Invalid SMS text","Неверный текст СМС сообщения"
"Text of SMS was saved.","Текст СМС сообщения был сохранен"
"SMS text version was deleted.","Новая языковая версия СМС сообщения была удалена"
"Are you sure to delete","Вы уверены, что хотите удалить"
"DELETE language version","УДАЛИТЬ новую языковую версию СМС сообщения"
"SMS text","Текст СМС сообщения"
"unicode"," Юникод"
"SMS text version for ","Новая языковая версия СМС сообщения для "
" was saved"," была сохранена"
"Preview","Предварительный просмотр"
"Active","Активен"
"Save","Сохранить"
"Cancel","Отмена"
"total sms:","всего СМС:"
"EDIT language version","Редактировать новую языковую версию СМС сообщения"
"default","по умолчанию"
"Edit","Редактировать"
"Add","Сохранить"
"Order","Заказ"
"Chars","Символов: "
"Unicode was saved.","Юникод был сохранен"
"Restore unsaved changes to its original state.","Не сохранять изменения, вернуться к исходному состоянию."
"Purchase Credit","Пополнить счет"
"Purchase Credit - not active","Пополнение счета - неактивно"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Профиль пользователя неактивен! Для регистрации нажмите на вкладку СМС в главном меню. Модуль отобразит окно для ввода регистрационных данных. Используйте модуль, с которым Вы уже работали. Введите имя пользователя и пароль для существующей учетной записи. В противном случае, заполните графу ""электронная почта"", примите условия лицензионного соглашения и нажмите ""зарегистрироваться""."
" In case methods for credit purchase are not displayed properly, please click here:","В случае неотображения способов пополнения счета, нажмите, пожалуйста, здесь:"
"Bulk SMS text","Текст СМС массовой рассылки"
"Add recipients ","Добавьте получателя"
"Add one or more recipients separated by commas. Number must be in international format, no leading zeros or “+“ sign.","Добавьте одного или нескольких получателей, разделенных запятыми. Номер необходимо ввести в международном формате, без ведущих нулей или знака +"
" (e.g. 447971796595)"," например, 79636123456"
"Enter SMS text","Введите текст СМС сообщения"
"Add recipients in CSV file ","Добавьте получателей с помощью значений, разделенных запятыми (CSV формат)"
"CSV file - 1 column, 1st column - number (Number must be in international format, no leading zeros or “+“ sign; e.g. 447971796595)","CSV файл - 1 колонка, 1-й столбец - номер (в международном формате, без ведущих нулей или знака +, например, 79636123456)"
" Unicode "," Юникод"
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70).","Отметьте только в случае использования диакритических знаков, либо таких языков, как русский, китайский, арабский, греческий, иврит, корейский и т.п. (Юникод позволяет одновременно использовать разные шрифты и символы. Количество символов в Юникод сообщении равно 70)."
"Your time: ","Настройка времени: "
"Time: ","Время: "
"time zone: ","Часовой пояс: "
"time zone settings","Настройка часового пояса"
"Text is too long","Тескт слишком длинный"
"Send SMS","Отправить СМС"
"Send","Отправить"
"Send SMS or bulk SMS. Enter mobile numbers or upload CSV file.","Отправка СМС или СМС массовой рассылки. Введите номера телефонов или используйте CSV формат отправки сообщений"
"Send SMS - not active","Отправка СМС - неактивна"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Профиль пользователя неактивен! Для регистрации нажмите на вкладку СМС в главном меню. Модуль отобразит окно для ввода регистрационных данных. Используйте модуль, с которым Вы уже работали. Введите имя пользователя и пароль для существующей учетной записи. В противном случае, заполните графу ""электронная почта"", примите условия лицензионного соглашения и нажмите ""зарегистрироваться""."
"Fill in SMS text.","Введите текст СМС сообщения"
"SMS text is too long (max. 612 characters).","Текст СМС сообщения слишком длинный (максимально 612 символов)"
"SMS text is too long (max. 268 unicode characters).","Текст СМС сообщения слишком длинный (максимально 268 юникод символов)"
"Wrong time of SMS sending.","Неправильное время отправки SMS"
"Recipients found: 0","Найдено получателей: 0"
"You do not have enough credit to send SMS to all ","У Вас недостаточно средств на счету, чтобы отправить СМС всем"
" recipients.","получателям"
"SMS was sent.","СМС сообщение отправлено"
"SMS was saved.","СМС сообщение сохранено"
"wrong number or unavailable","Неверно набранный номер или номер вне зоны доступа"
"unauthorized senderID in confirmation sms","неавторизованный ID отправителя в ответной СМС"
"low credit for sending sms","Недостаточно средств на счету для отправки СМС сообщения"
"unicode is not supported","юникод не поддерживается"
"can not connect to SMS server","отсутствует соединение с СМС-сервером"
"SMS SIMULATION (Sending of SMS was simulated. Recipient will not receive SMS)","Симуляция СМС рассылки (Отправка СМС сообщения симулирована. Адресат не получит СМС сообщение)"
"SMS was sent (simulation).","СМС сообщение послано (симуляция)"
"error","ошибка"
"login error","ошибка авторизации"
" Send later "," Отправить позже"
"Characters: ","Символов: "
"1hr","1 час"
"Date: ","Дата: "
"SMS Answers","СМС ответы"
"SMS answer from customer is displayed only when customer receives SMS from your shop with SMS sender type „System number“ and customer replies using his own mobile phone.","СМС-ответ от клиента отображается только в случае получения клиентом из вашего магазина СМС сообщения с отправителем типа ""системный номер"" при условии, что клиент ответит на сообщение со своего номера телефона"
"Show","Открыть"
"Search results ","Результаты поиска"
" of ","из"
"SMS center","СМС центр"
"Date","Дата"
"From number","С номера"
"new","Новый"
"Previous","Предыдущий"
"Next","Следующий"
" Page: ","Страница:"
"SMS Answers - not active","СМС ответы - неактивны"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Профиль пользователя неактивен! Для регистрации нажмите на вкладку СМС в главном меню. Модуль отобразит окно для ввода регистрационных данных. Используйте модуль, с которым Вы уже работали. Введите имя пользователя и пароль для существующей учетной записи. В противном случае, заполните графу ""электронная почта"", примите условия лицензионного соглашения и нажмите ""зарегистрироваться""."
"year","год"
"month","месяц"
"SMS","СМС"
"Text:","Текст:"
"Total SMS answers: 0","Всего СМС ответов: 0"
"SENT to recipient","ОТПРАВЛЕНО получателю"
"ERROR","ОШИБКА"
"DELIVERED to recipient","ДОСТАВЛЕНО получателю"
"RECIPIENT UNAVAILABLE","АБОНЕНТ НЕДОСТУПЕН"
"SMS History","СМС Журналы"
"History of sent SMS from SMS module.","Журнал СМС сообщений, отправленных с помощью СМС-модуля"
"Status","статус"
" admin sms"," Админ СМС"
" customer sms"," СМС клиента"
" marketing sms"," маркетинговое СМС"
" simple sms"," простое СМС"
"Show","Открыть"
"Search results ","Результаты поиска "
" of "," из "
"Type","Тип"
"Date","Дата"
"SMS subject","Тема СМС сообщения"
"Number","Номер"
"yes","да"
"no","нет"
"system number","системный номер"
"Credit balance:","Состояние счета:"
"Display customer detail","Просмотр подробной информации клиента"
"Text:","Текст:"
"Total SMS:","Всего СМС:"
"SMS History - not active","СМС Журналы - неактивны"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Профиль пользователя неактивен! Для регистрации нажмите на вкладку СМС в главном меню. Модуль отобразит окно для ввода регистрационных данных. Используйте модуль, с которым Вы уже работали. Введите имя пользователя и пароль для существующей учетной записи. В противном случае, заполните графу ""электронная почта"", примите условия лицензионного соглашения и нажмите ""зарегистрироваться""."
"SMS price in credits:","Цена СМС в электронной валюте:"
"year","год"
"month","месяц"
"Recipient","Получатель"
"Unicode:"," Юникод:"
"senderID:","Номер отправителя:"
"Previous","Предыдущий"
"Next","Следующий"
" Page: ","Страница:"
"Total SMS: 0","Всего СМС - 0"
"SMS","СМС"
"SMS Marketing - bulk SMS text","СМС маркетинг - текст СМС массовой рассылки"
"Enter SMS text","Введите текст СМС сообщения"
" Unicode "," Юникод"
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70).","Отметьте только в случае использования диакритических знаков, либо таких языков, как русский, китайский, арабский, греческий, иврит, корейский и т.п. (Юникод позволяет одновременно использовать разные шрифты и символы. Количество символов в Юникод сообщении равно 70)."
" Send later "," Отправить позже"
"Your time: ","Настройка времени: "
"Total customers:","Всего клиентов:"
"Total SMS:","Всего СМС:"
"SMS Marketing - bulk SMS filter","СМС маркетинг - фильтр СМС массовой рассылки"
"All customers","Все клиенты"
"company customers","Корпоративные клиенты"
"private customers","Частные лица"
"All countries","Все страны"
"Last name:","Фамилия"
"First name:","Имя"
"Last name","Фамилия"
"First name","Имя"
"Groups:","Группы:"
"All","ВСЕ"
"Gender:","Пол:"
"Male","Мужчина"
"Female","Женщина"
"Newsletter:","Новинки:"
"Yes","Да"
"No","Нет"
"Apply filter","фильтр"
"Date of birth from: ","Дата рождения от:"
"to: ","до: "
"Date of registration from: ","Дата регистрации от:"
"Customers found: ","Найдено клиентов: "
"results","Результаты"
"Action","Действие"
"Mobile number","Номер телефона"
"Customer ID","ID клиента"
"REMOVE customer from this list","УДАЛИТЬ клиента из этого списка"
"Next","Следующий"
"Previous","Предыдущий"
" Page: ","Страница:"
"SMS Marketing - customers found: ","СМС маркетинг - найдено клиентов: "
"Write text of message and use advanced filter to target your marketing campaign.","Напишите текст сообщения и используйте расширенный фильтр для таргетинга Вашей маркетинговой кампании"
"Marketing SMS","СМС маркетинг"
"SMS Marketing - not active","СМС маркетинг - неактивен"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Профиль пользователя неактивен! Для регистрации нажмите на вкладку СМС в главном меню. Модуль отобразит окно для ввода регистрационных данных. Используйте модуль, с которым Вы уже работали. Введите имя пользователя и пароль для существующей учетной записи. В противном случае, заполните графу ""электронная почта"", примите условия лицензионного соглашения и нажмите ""зарегистрироваться""."
"Fill in SMS text","Введите текст СМС сообщения"
"SMS text is too long (max. 612 characters).","Текст СМС сообщения слишком длинный (максимально 612 символов)"
"SMS text is too long (max. 268 unicode characters).","Текст СМС сообщения слишком длинный (максимально 268 юникод символов)"
"Customers found: 0","Найдено клиентов: 0"
"Wrong time of SMS sending.","Неправильное время отправки SMS"
"You do not have enough credit to send SMS to all ","У Вас недостаточно средств на счету, чтобы отправить СМС всем"
" customers.","клиентам"
"SMS was sent.","СМС сообщение отправлено"
"SMS was saved.","СМС сообщение сохранено"
"wrong number or unavailable","Неверно набранный номер или номер вне зоны доступа"
"unauthorized senderID in confirmation sms","неавторизованный ID отправителя в ответной СМС"
"low credit for sending sms","Недостаточно средств на счету для отправки СМС сообщения"
"unicode is not supported","юникод не поддерживается"
"can not connect to SMS server","отсутствует соединение с СМС-сервером"
"SMS SIMULATION (Sending of SMS was simulated. Recipient will not receive SMS)","Симуляция СМС рассылки (Отправка СМС сообщения симулирована. Адресат не получит СМС сообщение)"
"SMS was sent (simulation).","СМС сообщение послано (симуляция)"
"error","ошибка"
"login error","ошибка авторизации"
"Date:","Дата:"
"Time: ","Время: "
"1hr","1 час"
"time zone: ","Часовой пояс: "
"time zone settings","Настройка часового пояса"
"Send","Отправить"
"Characters: ","Символов: "
"Text is too long","Текст СМС слишком длинный"
"Type:","Тип:"
"Country:","Страна:"
"City:","Город:"
"Advert:","Объявление:"
"Store:","Магазин:"
"All stores","Все магазины"
"Presta SMS","Presta SMS"
"presta-sms.com - send SMS from your Prestashop!","presta-sms.com - отправляйте СМС сообщения из Вашего Prestashop!"
"Admin SMS","Админ СМС "
"Customer SMS"," СМС клиента"
"SMS Settings","Настройка СМС сообщений"
"SMS History","СМС-Журналы"
"Purchase Credit","Пополнить счет"
"Marketing SMS","СМС маркетинг"
"SMS Answers","СМС ответы"
"Send SMS","Отправить СМС"
"About","О нас"
"wrong number or unavailable","Неверно набранный номер, или номер вне зоны доступа"
"unauthorized senderID in confirmation sms","неавторизованный ID отправителя в ответной СМС"
"low credit for sending sms","Недостаточно средств на счету для отправки СМС сообщения"
"unicode is not supported","юникод не поддерживается"
"login error","ошибка авторизации"
"can not connect to SMS server","не соединено с СМС-сервером"
"SMS SIMULATION (Sending of SMS was simulated. Recipient will not receive SMS)","Симуляция СМС рассылки (Отправка СМС сообщения симулирована. Адресат не получит СМС сообщение)"
"unknown mobile number","неизвестный номер"
"not connected to SMS server","не соединено с СМС-сервером"
"New orders","Новые заказы"
"New order from {customer_firstname} {customer_lastname}, customer id: {customer_id}, order id: {order_id}, payment: {order_payment}, amount: {order_total_paid} {order_currency}. Order: {newOrder2}. Info from {shop_name}.","Новый заказ от {customer_firstname} {customer_lastname}, id пользователя: {customer_id}, номер заказа: {order_id}, оплата: {order_payment}, сумма: {order_total_paid} {order_currency}. Заказ: {newOrder2}. Информация из {shop_name}."
"Your order {order_id} was successfully created, payment: {order_payment}, amount: {order_total_paid} {order_currency}. Have a nice day, {shop_name}.","Ваш заказ {order_id} был успешно создан, оплата: {order_payment}, сумма: {order_total_paid} {order_currency}. Желаем хорошего дня, {shop_name}."
"Possible variables:","Применяемые параметры:"
"Successful customer create account","Успешное создание учетной записи клиента"
"Customer {customer_firstname} {customer_lastname}, id: {customer_id}, has just subscribed to {shop_name}.","Клиент {customer_firstname} {customer_lastname}, id: {customer_id}, только что подписался на {shop_name}."
"Dear {customer_firstname} {customer_lastname}, your account in {shop_name} was successfully created. Your username: {customer_email}. Have a nice day!","Дорогой {customer_firstname} {customer_lastname}, Ваш аккаунт в {shop_name} был создан успешно. Ваше имя пользователя: {customer_email}. Желаем хорошего дня!"
"Product returned","Товар был возвращен"
"Customer {customer_firstname} {customer_lastname}, id: {customer_id}, has returned product from order {order_id}. Order: {orderReturn2}. Customer text: {customer_question}. Info from {shop_name}.","Клиент {customer_firstname} {customer_lastname}, id: {customer_id}, вернул заказанный товар {order_id}. Заказ: {orderReturn2}. Сообщение от клиента: {customer_question}. Информация из {shop_name}."
"We have received your request. Order {order_id}. Have a nice day, {shop_name}.","Мы получили ваш запрос. Заказ: {order_id}. Желаем хорошего дня, {shop_name}."
"Called when a quantity of one product change in an order","Уведомление в случае изменения количества одного из заказанных товаров"
"In order {order_id} was changed quantity, {orderSlip2}. Info from {shop_name}.","В бланке заказа {order_id} было изменено количество, {orderSlip2}. Информация из {shop_name}."
"In your order {order_id} was changed quantity, {orderSlip2}. Have a nice day, {shop_name}.","В Вашем бланке заказа номер {order_id} было изменено количество товара, {orderSlip2}. Желаем хорошего дня, {shop_name}."
"Payment confirmation","Подтверждение платежа"
"Payment confirmation, order id: {order_id}, payment: {order_payment}, amount: {order_total_paid} {order_currency}. Info from {shop_name}.","Подтверждение платежа, заказ №: {order_id}, оплата: {order_payment}, сумма: {order_total_paid} {order_currency}. Информация из {shop_name}."
"We have successfully received payment for your order {order_id} via {order_payment}, amount: {order_total_paid} {order_currency}. Have a nice day, {shop_name}.","Мы успешно получили оплату за Ваш заказ {order_id} с помощью {order_payment}, сумма: {order_total_paid} {order_currency}. Желаем хорошего дня, {shop_name}."
"Update of tracking number in order","Обновление статуса заказа - поставщик предоставил номер пересылки"
"Order {order_id} was updated, tracking number is {order_shipping_number}. Info from {shop_name}.","Заказ № {order_id} был обновлен, номер пересылки {order_shipping_number} предоставлен поставщиком. Информация из {shop_name}."
"Dear Customer, your order {order_id} was shipped, tracking number is {order_shipping_number}. Have a nice day, {shop_name}.","Уважаемый заказчик, товар по Вашему заказу № {order_id} был отправлен, предоставленный поставщиком номер пересылки - {order_shipping_number}. Желаем хорошего дня, {shop_name}."
"Called when a product is deleted","Удаление товара из базы данных"
"This product was deleted from {shop_name}, id: {product_id}, ref: {product_ref}, name: {product_name}. Deleted by user {employee_id}, {employee_email}.","Этот товар был удален из {shop_name}, id: {product_id}, ref: {product_ref}, наименование: {product_name}. Удалено пользователем {employee_id}, {employee_email}."
"Quantity is updated only when the customer effectively place his order","Количество обновляется только в случае успешно созданного клиентом заказа "
"Quantity of product has changed, id: {product_id}, ref: {product_ref}, name: {product_name}, current quantity: {product_quantity}, supplier: {product_supplier}. Info from {shop_name}.","Количество товара изменилось, id: {product_id}, ref: {product_ref}, наименование: {product_name}, текущее количество: {product_quantity}, поставщик: {product_supplier}. Информация из {shop_name}."
"Product out of stock","Товара нет на складе"
"This product is almost out of stock, id: {product_id}, ref: {product_ref}, name: {product_name}, current quantity: {product_quantity}. Info from {shop_name}.","Данный товар заканчивается на складе, id: {product_id}, ref: {product_ref}, наименование: {product_name}, текущее количество: {product_quantity}. Информация из {shop_name}."
"Called when admin or customer cancel a product in an order","Уведомление в случае, если администратор или клиент отменяет заказ товара"
"In order {order_id} was canceled product with id: {product_id}, ref: {product_ref}, name: {product_name}. Quantity: {product_quantity}, quantity reinjected: {product_quantity_reinjected}. Info from {shop_name}.","В бланке заказа номер {order_id} был отменен заказ товара с ID: {product_id}, ref: {product_ref}, наименование: {product_name}. Количество: {product_quantity}, количество отмененных товаров: {product_quantity_reinjected}. Информация из {shop_name}."
"Status of order {order_id} has changed to ","Состояние заказа {order_id} изменилось количественно"
". Info from {shop_name}.",". Информация из {shop_name}."
"Dear Customer, status of your order {order_id} has changed to ","Уважаемый клиент, состояние Вашего заказа {order_id} изменилось количественно: "
". Have a nice day, {shop_name}.",". Желаем хорошего дня! {shop_name}."
"Bank wire","Банковский перевод"
"Company Name","Название фирмы"
"Country","Страна"
"City","Город"
"qty","количество"
"qty reinjected","количество отмененных товаров"
"qty returned","количество возвращенных товаров"
"name","название"
"not found","не найдено"
"SMS Settings - Select Own number sender ID for ","Настройки СМС - выберите личный номер отправителя для "
"Own number sender ID settings","Настройка личного номера отправителя"
"own number sender ID","Личный номер отправителя"
"Existing Own number:","Актуальный личный номер:"
"New Own number sender ID:","Новый личный номер отправителя"
"in international format, no leading <br />zeros or a “+” sign, e.g., 447971796595","в международном формате,<br />без ведущих нулей или знака +, например, 79636123456"
"SMS code:","СМС код"
"CONFIRM","ПОДТВЕРДИТЬ"
"Required field","Обязательные поля"
"SMS Settings - Select Text sender ID for ","Настройки СМС - выберите текстовое ID отправителя для "
"Text sender ID settings","Настройки текстового ID отправителя"
"Existing Text sender ID:","Актуальное текстовое ID отправителя"
"New Text sender ID:","Новое текстовое ID отправителя"
"max. 11 characters","максимально 11 символов"
"SMS Settings","Настройки СМС"
"Define SMS Sender Type for each country separately (Text sender ID, Own mobile number or System number). SMS price depends on the recipient country, selected SMS sender type and amount of payment. In countries with undefined SMS sender type will be used System number sender type.","Определите тип системы рассылки для каждой отдельной страны. (текстовое ID отправителя, личный номер мобильного телефона или системный номер). Цена СМС сообщения зависит от страны получателя, выбора типа системы рассылки и суммы оплаты. В странах с неопределенным типом системы рассылки будет использован системный номер."
"Customer SMS settings","Настройки СМС для клиентов"
"SENDER TYPE","ТИП ОТПРАВИТЕЛЯ"
"NETWORK","СЕТЬ"
"SMS PRICE<br />IN CREDITS","ЦЕНА СМС В KPEДИTAX"
"SMS PRICE IN EUR (excl. VAT)","ЦЕНА СМС В ЕВРОВАЛЮТЕ (без НДС)"
"payment","платеж"
"Unicode "," Юникод "
