"lang_iso_code","fr"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Le profil d´utilisateur est inactif!Inscrivez-vous en cliquant sur l´onglet SMS dans le menu principal. Module vous visualisera le formulaire d´inscription. Si vous avez déjà utilisé le module dans le passé et vous connaissez votre nom d´utilisateur et votre mot de passe remplissez donc le formulaire pour le compte existant. Dans le cas contraire entrez votre email, approuvez les termes et conditions de licence et cliquez sur ""S´inscrire""."
"Invalid SMS text","Le texte du message SMS non valide"
"Text of SMS was saved.","Le texte du message SMS a été sauvegardé."
"Unicode saved.","Unicode sauvegardé."
"char","Caractère"
"chars","Caractères"
"label","Vignette"
"SMS text","Texte du SMS"
"total sms:","sms au total:"
"Enter SMS text","Entrez le texte du message SMS"
"Preview","Aperçu"
"Administrators","Adminstrateurs"
"Save","Sauvegarder"
"Cancel","Annuler"
"Restore unsaved changes to its original state.","Remettre des modifications non sauvegardées en état original."
"User profile - not active","Profil d´utilisateur - inactif­"
"User profile - active","Profil d´utilisateur - actif­"
"New user account","Nouveau compte d´utilisateur"
"Not registered yet? Create account now!","Pas encore inscrit? - Créez votre compte maintenant­!"
"Email:","Email:"
"Company name:","Nom de la société:"
"Street:","Rue:"
"City:","Ville:"
"ZIP:","Code postal:"
"Country:","Pays:"
"Company ID:","SIREN:"
"Company VAT:","No. TVA:"
"Referer ID:","Referer ID:"
"View licence terms:","Visualiser les termes et conditions de licence:"
"I agree","J´approuve"
"I dont agree","Je désapprouve"
"Register","Enregistrer"
"Required field","Champs requis"
"Sign in","S´identifier"
"If You already have an account, please sign in.","Veuillez vous identifier si vous disposez déjà d´un compte"
"Username:","Utilisateur:"
"Password:","Mot de passe:"
"Log in","S´identifier"
"Edit user account","Modifier le compte d´utilisateur"
"Save","Enregistrer"
"User account info","Informations sur le compte d´utilisateur"
"SMS Credit:","crédit du SMS:"
"Add administrators","Ajouter l´administrateur"
"Name:","Nom:"
"Mobile number:","Numéro de téléphone portable:"
"Edit","Modifier"
"Add","Ajouter"
"Other settings","Autres paramètres"
"Simulate SMS sending:","Simuler l´envoi du SMS:"
"Allows to test sending of SMS in modul and to view sent SMS in SMS history with a special status.","Permet de tester l´envoi du SMS et visualiser le SMS de test dans l´onlget Historique des SMS."
"Delete database:","Supprimer la base des données:"
"Allows to decide if current SMS settings and database of sent SMS shall be stored when uninstalling SMS module.","Permet de décider si garder les paramètres actuels ainsi que la base des données des SMS envoyés en cas de désinstallation du module SMS."
"Delivery reports:","Accusé de réception­ (DR):"
"Allows to see delivery reports of SMS in SMS history Tab.","Visualisera l´accusé de réception dans l´onglet Historique de SMS."
"Low credit alert:","Avertissement en cas de crédit insuffisant:"
" Allows to receive email when your SMS credit is low.","Permet de recevoir un email en cas de crédit insuffisant pour envoyer des SMS."
"Email for delivery reports:","Email pour les accusés de réception:"
"Allows to receive email with delivery report of SMS.","Permet de recevoir un email avec l´accusé de réception du SMS."
"Admin was created.","Administrateur a été créé."
"You have to agree with licence terms.","Confirmez les termes et conditions de licence."
"Account was created.","L´enregistrement s´est déroulé avec succes. Le mail pour confirmer votre adresse e-mail et pour obtenir cinq crédits gratuitement a été envoyé sur votre boîte mail."
"you can add another account after ","Vous pouvez ajouter un autre compte dans "
"minutes"," minutes"
"can not connect to SMS server","impossible de se connecter au serveur SMS"
"You were succesfully loged in.","Vous vous êtes connecté avec succès."
"error","erreur"
"login error","erreur d´authentification­"
"Invalid e-mail for delivery report.","Email invalide pour les accusés de réception­."
"Invalid e-mail","E-mail invalide"
"Account was changed.","Le compte a été changé."
"Account was changed, but module URL for DR does not answer.","Le compte a été changé, mais l´URL de Module pour les accusés de réception ne répond pas."
"you can change account after ","Il sera possible de changer le compte dans "
" seconds"," secondes"
"Invalid name","Nom invalide"
"Invalid number","Mot de passe invalide"
"Admin was changed.","Administrateur a été modifié."
"Admin was deleted.","Administrateur a été supprimé."
"no changes were made","aucune modification n´a été effectuée"
"Are you sure to delete","Vous êtes sûr de vouloir supprimer?"
"DELETE administrator","SUPPRIMER l´administrateur"
"EDIT administrator","MODIFIER l´administrateur"
"in international format, no leading zeros or a “+” sign, e.g., 447971796595","dans le format international, sans les zéros ou le symbole +, e.g., 33605612345"
"(when uninstall)","(lors de la désinstallation)"
"(0 = no alert)","(0 = sans avertissement)"
"Fill in username and password.","Introduisez le nom d´utilisateur et le mot de passe."
"Customer SMS - ","SMS client - "
"Customer SMS - not active","SMS client - inactif­"
"default","initial"
" language version","version linguistique"
"Select events during which shall be customer notified via SMS and customize text of messages. You can also add a new language version of SMS messages for each country separately. In countries with undefined language version will be used default language version.","Choisissez les événements lors desquels le client sera averti par un message SMS et définissez le texte de ces messages. Vous pouvez également créer de différentes versions linguistiques des messages SMS pour de différents pays. Pour les pays avec la version non spécifiée, la version initiale sera employée."
"Add SMS text version","Ajouter la version lingustique"
"Select country: ","Choisissez le pays: "
"Unicode SMS","Unicode SMS"
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70).","Cochez seulement si vous souhaitez utiliser dans le message le diacritique ou les langues comme le chinois, l´arabe, le grec, l´hébreu, le coréen etc.,(Unicode permet d´utiliser en même temps de différents fontes et symboles. Le nombre de caractères dans un message Unicode est 70)."
"Order status","État de la commande"
"Sending notifications via SMS is ACTIVE","Envoi de SMS par notification est ACTIF."
"Sending notifications via SMS is NOT ACTIVE. To activate SMS sending check „Active“ in desired status detail.","Envoi de SMS par notification est INACTIF. Activez l´envoi de SMS en cochant Actif dans le détail de l´état exigé."
" Update of order status "," Mise à jour de l´état de la commande"
"Account","Compte"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Le profil d´utilisateur est inactif­! Inscrivez-vous en cliquant sur l´onglet SMS dans le menu principal. Module vous visualisera le formulaire d´inscription.Si vous avez déjà utilisé le module dans le passé et vous connaissez votre nom d´utilisateur et votre mot de passe remplissez donc le formulaire pour le compte existant. Dans le cas contraire entrez votre email, approuvez les termes et conditions de licence et cliquez sur ""S´inscrire""."
"Invalid SMS text","Le texte du SMS est invalide"
"Text of SMS was saved.","Le texte du SMS a été sauvegardé."
"SMS text version was deleted.","La version linguistique a été supprimée."
"Are you sure to delete","Vous êtes sûr de vouloir supprimer"
"DELETE language version","SUPPRIMER la version linguistique"
"SMS text","Le texte du message SMS"
"unicode","unicode"
"SMS text version for ","La version linguistique pour "
" was saved"," a été sauvegardée"
"Preview","Aperçu"
"Active","Actif"
"Save","Sauvegarder"
"Cancel","Annuler"
"total sms:","sms au total:"
"EDIT language version","MODIFIER la version lingusitique"
"Edit","Modifier"
"Add","Ajouter"
"Order","Commande"
"Chars","Caractères"
"Unicode was saved.","Unicode a été sauvegardé."
"Restore unsaved changes to its original state.","Remettre des modifications non sauvegardées en état original."
"Purchase Credit","Acheter du crédit"
"Purchase Credit - not active","Acheter du crédit - inactif­"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Profil de l´utilisateur est inactif! Inscrivez-vous en cliquant sur l´onglet SMS dans le menu principal. Module vous visualisera le formulaire d´inscription. Si vous avez déjà utilisé le module dans le passé et vous connaissez votre nom d´utilisateur et votre mot de passe remplissez donc le formulaire pour le compte existant. Dans le cas contraire entrez votre email, approuvez les termes et conditions de licence et cliquez sur ""S´inscrire""."
" In case methods for credit purchase are not displayed properly, please click here:","Si vous ne pouvez pas voir le choix de possibilité pour recharger le crédit, veuillez cliquer ici:"
"Bulk SMS text","Le texte du message SMS collectif"
"Add recipients ","Ajouter le destinataire "
"Add one or more recipients separated by commas. Number must be in international format, no leading zeros or “+“ sign.","Ajoutez un ou plusieurs destinataires et séparez-les par virgule. Le numéro doit être dans le format international, sans les zéros ou le symbole + , e.g., 33605612345"
" (e.g. 447971796595)"," (e.g.: 33605612345)"
"Enter SMS text","Entrez le texte du message SMS"
"Add recipients in CSV file ","Ajouter le destinataire dans le fichier CSV "
"CSV file - 1 column, 1st column - number (Number must be in international format, no leading zeros or “+“ sign; e.g. 447971796595)","fichier CSV - 1 colonne, 1?re colonne - numéro (Le numéro doit être dans le format international, sans les zéros ou le symbole + , e.g., 33605612345)"
" Unicode "," Unicode "
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70).","Cochez seulement si vous souhaitez utiliser dans le message le diacritiques ou les langues comme le chinois, l´arabe, le grec, l´hébreu, le coréen etc.,(Unicode permet d´utiliser en même temps de différents fontes et symboles. Le nombre de caractères dans un message Unicode est 70)."
"Your time: ","Votre heure: "
"Time: ","Heure: "
"time zone: ","Fuseau horaire: "
"time zone settings","Modification du fuseau horaire"
"Text is too long","Le texte est trop long"
"Send SMS","Envoyer le SMS"
"Send","Envoyer"
"Send SMS or bulk SMS. Enter mobile numbers or upload CSV file.","Envoi de SMS ou de SMS collectif. Entrez le numéro de téléphone ou enregistrez le fichier CSV."
"Send SMS - not active","Envoyer le SMS - inactif"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Le profil d´utilisateur est inactif­! Inscrivez-vous en cliquant sur l´onglet SMS dans le menu principal. Module vous visualisera le formulaire d´inscription.Si vous avez déjà utilisé le module dans le passé et vous connaissez votre nom d´utilisateur et votre mot de passe remplissez donc le formulaire pour le compte existant. Dans le cas contraire entrez votre email, approuvez les termes et conditions de licence et cliquez sur ""S´inscrire""."
"Fill in SMS text.","Entrez le texte du message SMS"
"SMS text is too long (max. 612 characters).","Le texte du message SMS est trop long (max 612 caractères)."
"SMS text is too long (max. 268 unicode characters).","Le texte du message SMS est trop lonog (max 268 caractères unicode)."
"Wrong time of SMS sending.","Mauvais temps de l´envoi du SMS."
"Recipients found: 0","Clients trouvés: 0"
"You do not have enough credit to send SMS to all ","Crédit insuffisant pour envoyer le message SMS à tous "
" recipients."," les destinataires."
"SMS was sent.","Le message SMS a été envoyé."
"SMS was saved.","Le message SMS a été sauvegardé."
"wrong number or unavailable","mauvais numéro ou numéro inaccessible"
"unauthorized senderID in confirmation sms","ID de l´expéditeur non autorisé dans le SMS de confirmation"
"low credit for sending sms","Crédit insuffisant pour envoyer le message SMS"
"unicode is not supported","unicode n´est pas favorisé"
"login error","erreur d´authentification"
"can not connect to SMS server","impossible de se connecter au serveur SMS"
"SMS SIMULATION (Sending of SMS was simulated. Recipient will not receive SMS)","SIMULATION de SMS (L´envoi de SMS a été simulé. Le destinataire ne recevra pas le message SMS.)"
"SMS was sent (simulation).","Le SMS a été envoyé (simulation)."
"error","erreur"
" Send later "," Envoyer plus tard "
"Characters: ","Caractères: "
"1hr","1h"
"Date: ","Date: "
"SMS Answers","Réponse SMS"
"SMS answer from customer is displayed only when customer receives SMS from your shop with SMS sender type „System number“ and customer replies using his own mobile phone.","Réponse SMS de la part du client est visualisée seulement si le client de votre magasin reçoit un SMS avec le type de l´expéditeur ""numéro de système"" et répond depuis le même numéro de téléphone"
"Show","Visualiser"
"Search results ","Résultats de la recherche­ "
" of "," de "
"SMS center","centre de SMS"
"Date","Date"
"From number","Depuis le numéro"
"new","nouveau"
"Previous","Précédent­"
"Next","Suivant"
" Page: "," Page: "
"SMS Answers - not active","Réponses de SMS - inactif"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Le profil d´utilisateur est inactif! Inscrivez-vous en cliquant sur l´onglet SMS dans le menu principal. Module vous visualisera le formulaire d´inscription. Si vous avez déjà utilisé le module dans le passé et vous connaissez votre nom d´utilisateur et votre mot de passe remplissez donc le formulaire pour le compte existant. Dans le cas contraire entrez votre email, approuvez les termes et conditions de licence et cliquez sur ""S´inscrire""."
"year","année"
"month","mois"
"SMS","SMS"
"Text:","Texte:"
"Total SMS answers: 0","SMS réponses au total: 0"
"SENT to recipient","ENVOYÉ au destinataire"
"ERROR","ERREUR"
"DELIVERED to recipient","DÉLIVRÉ au destinataire"
"RECIPIENT UNAVAILABLE","DESTINATAIRE INACCESSIBLE"
"SMS History","Historique de SMS"
"History of sent SMS from SMS module.","Historique des messages SMS envoyés depuis le SMS module."
" admin sms"," sms admin"
" customer sms"," sms client"
" marketing sms"," sms marketing"
" simple sms"," sms simple"
"Show","Visualiser"
"Search results ","Résultats de la recherche"
" of "," de "
"Type","Type"
"Date","Date"
"SMS subject","Sujet de SMS"
"Number","Numéro"
"yes","oui"
"no","non"
"system number","numéro de système"
"Credit balance:","État du compte:"
"Display customer detail","Visualiser le détail du client"
"Text:","Texte:"
"Total SMS:","SMS au total:"
"SMS History - not active","Historique de SMS - inactif"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Le profil d´utilisateur est inactif­! Inscrivez-vous en cliquant sur l´onglet SMS dans le menu principal. Module vous visualisera le formulaire d´inscription.Si vous avez déjà utilisé le module dans le passé et vous connaissez votre nom d´utilisateur et votre mot de passe remplissez donc le formulaire pour le compte existant. Dans le cas contraire entrez votre email, approuvez les termes et conditions de licence et cliquez sur ""S´inscrire""."
"SMS price in credits:","Prix en crédits:"
"year","année"
"month","mois"
"Status","État"
"Recipient","Destinataire"
"Unicode:","Unicode:"
"senderID:","Sender ID l´expéditeur:"
"Previous","Précédent­"
"Next","Suivant"
" Page: "," Page: "
"Total SMS: 0","SMS au total: 0"
"SMS","SMS"
"SMS Marketing - bulk SMS text","SMS Marketing - texte du message SMS collectif"
"Enter SMS text","Entrez le texte du message SMS"
" Unicode "," Unicode "
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70).","Cochez seulement si vous souhaitez utiliser dans le message le diacritiques ou les langues comme le chinois, l´arabe, le grec, l´hébreu, le coréen etc.,(Unicode permet d´utiliser en même temps de différents fontes et symboles. Le nombre de caractères dans un message Unicode est 70)."
" Send later "," Envoyer plus tard "
"Your time: ","Votre temps: "
"Total customers:","Clients au total:"
"Total SMS:","SMS au total:"
"SMS Marketing - bulk SMS filter","SMS Marketing - filtre des SMS collectifs"
"All customers","Tous les clients"
"company customers","Clientèle de société"
"private customers","Personnes privées"
"All countries","Tous les pays"
"Last name:","Nom de famille­:"
"First name:","Prénom:"
"Last name","Nom de famille"
"First name","Prénom"
"Groups:","Groupes:"
"All","Tous"
"Gender:","Sexe­:"
"Male","Homme"
"Female","Femme"
"Newsletter:","Bulletin:"
"Yes","Oui"
"No","Non"
"Apply filter","Appliquer le filtre"
"Date of birth from: ","Date de naissance de: "
"to: ","à: "
"Date of registration from: ","Date d´inscription de: "
"Customers found: ","Clients trouvés: "
"results","visualisé"
"Action","Action"
"Mobile number","Téléphone"
"Customer ID","Numéro de client"
"REMOVE customer from this list","SUPPRIMER le client de la liste"
"Next","Suivant"
"Previous","Précédent"
" Page: "," Page: "
"SMS Marketing - customers found: ","SMS Marketing - clients trouvés: "
"Write text of message and use advanced filter to target your marketing campaign.","Entrez le texte du message SMS et employez des filtres avancés pour viser votre campagne publicitaire."
"Marketing SMS","Marketing SMS"
"SMS Marketing - not active","SMS Marketing - inactif­"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Le profil d´utilisateur n´est pas actif! Inscrivez-vous en cliquant sur l´onglet SMS dans le menu principal. Module vous visualisera le formulaire d´inscription.Si vous avez déjà utilisé le module dans le passé et vous connaissez votre nom d´utilisateur et votre mot de passe remplissez donc le formulaire pour le compte existant. Dans le cas contraire entrez votre email, approuvez les termes et conditions de licence et cliquez sur ""S´inscrire""."
"Fill in SMS text","Entrezle texte du message SMS."
"SMS text is too long (max. 612 characters).","Le texte du message SMS est trop long˝ (max 612 caractères)."
"SMS text is too long (max. 268 unicode characters).","Le texte du message SMS est trop long˝ (max 268 caractères unicode)."
"Customers found: 0","Clients trouvés: 0"
"Wrong time of SMS sending.","Mauvais temps de l´envoi du­ SMS."
"You do not have enough credit to send SMS to all ","Crédit insuffisant pour envoyer le message SMS à tous "
" customers."," les clients."
"SMS was sent.","Le message SMS a été envoyé."
"SMS was saved.","Le message SMS a été sauvegardé."
"wrong number or unavailable","Mauvais numéro ou numéro inaccessible"
"unauthorized senderID in confirmation sms","ID de l´expéditeur non autorisé dans le SMS de confirmation"
"low credit for sending sms","crédit insuffisant pour envoyer le message SMS"
"unicode is not supported","unicode n´est pas favorisé"
"can not connect to SMS server","impossible de se connecter au serveur SMS"
"SMS SIMULATION (Sending of SMS was simulated. Recipient will not receive SMS)","SIMULATION de SMS (L´envoi du SMS a été simulé. Le destinataire ne recevra pas le message SMS.)"
"SMS was sent (simulation).","SMS a été envoyé (simulation)."
"error","erreur"
"login error","erreur d´authentification­"
"Date:","Date:"
"Time: ","Heure: "
"1hr","1h"
"time zone: ","fuseau horaire: "
"time zone settings","modification du fuseau horaire"
"Send","Envoyer"
"Characters: ","Caractères: "
"Text is too long","Le texte est trop long"
"Type:","Type:"
"Country:","Pays:"
"City:","Ville:"
"Advert:","Publicité:"
"Store:","Magasin:"
"All stores","Tous les magasins"
"Presta SMS","Presta SMS"
"presta-sms.com - send SMS from your Prestashop!","presta-sms.com - envoyer des message SMS depuis votre Prestashop!"
"Admin SMS","Admin SMS"
"Customer SMS","SMS client"
"SMS Settings","Paramètres de SMS"
"SMS History","Historique de SMS"
"Purchase Credit","Acheter du crédit"
"Marketing SMS","SMS marketing"
"SMS Answers","Réponses de SMS"
"Send SMS","Envoyer SMS"
"About","Le module"
"wrong number or unavailable","Mauvais numéro ou numéro inaccesible"
"unauthorized senderID in confirmation sms","ID de l´expéditeur non autorisé dans le SMS de confirmation"
"low credit for sending sms","crédit insuffisant pour envoyer le message SMS"
"unicode is not supported","unicode n´est pas favorisé"
"login error","erreur d´authentifiaction­"
"can not connect to SMS server","crédit insuffisant pour envoyer le message SMS"
"SMS SIMULATION (Sending of SMS was simulated. Recipient will not receive SMS)","SIMULATION de SMS (L´envoi du SMS a été simulé. Le destinataire ne recevra pas le SMS.)"
"unknown mobile number","numéro inconnu"
"not connected to SMS server","non connecté au serveur SMS"
"New orders","Nouvelle commande"
"New order from {customer_firstname} {customer_lastname}, customer id: {customer_id}, order id: {order_id}, payment: {order_payment}, amount: {order_total_paid} {order_currency}. Order: {newOrder2}. Info from {shop_name}.","Nouvelle commande du {customer_firstname} {customer_lastname}, client: {customer_id}, commande: {order_id}, paiement: {order_payment}, somme: {order_total_paid} {order_currency}. Commande: {newOrder2}. Info provenant de {shop_name}."
"Your order {order_id} was successfully created, payment: {order_payment}, amount: {order_total_paid} {order_currency}. Have a nice day, {shop_name}.","Votre commande {order_id} a été créée avec succès, paiement: {order_payment}, somme: {order_total_paid} {order_currency}. Bonne journée, {shop_name}."
"Possible variables:","Paramètres possibles:"
"Successful customer create account","Compte client a été créé avec succès"
"Customer {customer_firstname} {customer_lastname}, id: {customer_id}, has just subscribed to {shop_name}.","Client {customer_firstname} {customer_lastname}, id: {customer_id}, vient de s´inscrire chez {shop_name}."
"Dear {customer_firstname} {customer_lastname}, your account in {shop_name} was successfully created. Your username: {customer_email}. Have a nice day!","Cher(e) {customer_firstname} {customer_lastname}, votre compte chez {shop_name} a été créé avec succès. Nom d´utilisateur: {customer_email}. Bonne journée!"
"Product returned","Article retourné"
"Customer {customer_firstname} {customer_lastname}, id: {customer_id}, has returned product from order {order_id}. Order: {orderReturn2}. Customer text: {customer_question}. Info from {shop_name}.","Client {customer_firstname} {customer_lastname}, id: {customer_id}, a retourné l´article de la commande {order_id}. Commande: {orderReturn2}. Message du client: {customer_question}. Info provenant de {shop_name}."
"We have received your request. Order {order_id}. Have a nice day, {shop_name}.","Nous avons reçu votre demande. Commande {order_id}. Bonne journée, {shop_name}."
"Called when a quantity of one product change in an order","Avis si la quantité d´un article commandé change."
"In order {order_id} was changed quantity, {orderSlip2}. Info from {shop_name}.","Dans la commande {order_id} la quantité a changé, {orderSlip2}. Info provenant de {shop_name}."
"In your order {order_id} was changed quantity, {orderSlip2}. Have a nice day, {shop_name}.","Dans votre commande numéro {order_id} la quantité a été modifiée, {orderSlip2}. Bonne journée, {shop_name}."
"Payment confirmation","Confirmation de paiement"
"Payment confirmation, order id: {order_id}, payment: {order_payment}, amount: {order_total_paid} {order_currency}. Info from {shop_name}.","Confirmation de paiement, numéro de la commande.: {order_id}, paiement: {order_payment}, somme: {order_total_paid} {order_currency}. Info provenant de {shop_name}."
"We have successfully received payment for your order {order_id} via {order_payment}, amount: {order_total_paid} {order_currency}. Have a nice day, {shop_name}.","Nous avons reçu le paiement de votre commande {order_id} via {order_payment}, somme: {order_total_paid} {order_currency}. Bonne journée, {shop_name}."
"Update of tracking number in order","Mise à jour de la commande - transporteur a attribué le numéro de la commande"
"Order {order_id} was updated, tracking number is {order_shipping_number}. Info from {shop_name}.","La commande numéro. {order_id} a été mise à jour avec le numéro de la commande {order_shipping_number} attribué par le transporteur. Info provenant de {shop_name}."
"Dear Customer, your order {order_id} was shipped, tracking number is {order_shipping_number}. Have a nice day, {shop_name}.","Cher client, l´article de votre commande numéro {order_id} a été envoyé, le numéro de la commande attribué par le transporteur est {order_shipping_number}. Bonne journée, {shop_name}."
"Called when a product is deleted","L´article a été supprimé de la base des données"
"This product was deleted from {shop_name}, id: {product_id}, ref: {product_ref}, name: {product_name}. Deleted by user {employee_id}, {employee_email}.","Cet article a été supprimé de {shop_name}, id: {product_id}, ref: {product_ref}, nom: {product_name}. Supprimé par l´utilisateur: {employee_id}, {employee_email}."
"Quantity is updated only when the customer effectively place his order","La quantité est mise à jour seulement si le client crée la commande avec succès"
"Quantity of product has changed, id: {product_id}, ref: {product_ref}, name: {product_name}, current quantity: {product_quantity}, supplier: {product_supplier}. Info from {shop_name}.","La quantité de l´article a été modifiée, id: {product_id}, ref: {product_ref}, nom: {product_name}, nouvelle quantité: {product_quantity}, fournisseur: {product_supplier}. Info provenant de {shop_name}."
"Product out of stock","L´article n´est pas disponible en stock"
"This product is almost out of stock, id: {product_id}, ref: {product_ref}, name: {product_name}, current quantity: {product_quantity}. Info from {shop_name}.","Dernières pièces en stock, id: {product_id}, ref: {product_ref}, nom: {product_name}, quantité: {product_quantity}. Info provenant de {shop_name}."
"Called when admin or customer cancel a product in an order","Avis si l´administrateur ou le client annule l´article dans la commande"
"In order {order_id} was canceled product with id: {product_id}, ref: {product_ref}, name: {product_name}. Quantity: {product_quantity}, quantity reinjected: {product_quantity_reinjected}. Info from {shop_name}.","Dans la commande {order_id} l´article avec l´id {product_id} a été annulé: {product_id}, ref: {product_ref}, nom: {product_name}. quantité: {product_quantity}, la quantité annulée: {product_quantity_reinjected}. Info provenant de {shop_name}."
"Status of order {order_id} has changed to ","État de la commande {order_id} a changé en "
". Info from {shop_name}.",". Info provenant de {shop_name}."
"Dear Customer, status of your order {order_id} has changed to ","Cher client, état de votre commande {order_id} a changé en "
". Have a nice day, {shop_name}.",". Bonne journée, {shop_name}."
"Bank wire","Virement bancaire"
"Company Name","Nom de la société"
"Country","Pays›"
"City","Ville"
"qty","quantité"
"qty reinjected","quantité supprimée"
"qty returned","quantité retournée"
"name","nom"
"not found","non trouvé"
"SMS Settings - Select Own number sender ID for ","Paramètres­ de SMS - Choisissez le Sender ID de l´expéditeur pour "
"Own number sender ID settings","Paramètres­ du Sender ID de l´expéditeur "
"own number sender ID","Sender ID de l´expéditeur "
"Existing Own number:","le Sender ID déjà existant:"
"New Own number sender ID:","Nouveau Sender ID de l´expéditeur :"
"in international format, no leading <br />zeros or a “+” sign, e.g., 447971796595","dans le format international,<br />sans les zéros ou le symbole +, e.g., 33605612345"
"SMS code:","code de SMS:"
"CONFIRM","CONFIRMER"
"Required field","Champs obligatoire"
"SMS Settings - Select Text sender ID for ","Paramètres de SMS - Choisissez le Sender ID de l´expéditeur pour "
"Text sender ID settings","Paramètres du Sender ID de l´expéditeur"
"Existing Text sender ID:","Sender ID de l´expéditeur existant:"
"New Text sender ID:","Nouveau Sender ID de l´expéditeur:"
"max. 11 characters","max 11 caractères"
"SMS Settings","Paramètres de SMS"
"Define SMS Sender Type for each country separately (Text sender ID, Own mobile number or System number). SMS price depends on the recipient country, selected SMS sender type and amount of payment. In countries with undefined SMS sender type will be used System number sender type.","Définissez le type de l´expéditeur pour chaque pays. (Sender ID, numéro de téléphone mobile ou le numéro de système). Le prix du SMS dépend du pays destinataire, par choix du type de l´expéditeur et de votre paiement. Pour les pays avec le type de l´expéditeur non spécifié, le numéro de système sera employé."
"Customer SMS settings","Paramètres de SMS clients"
"ADD/CHANGE SELECTED COUNTRY","AJOUTER/MODIFIER LE PAYS CHOISI"
"SENDER TYPE","TYPE DU SENDER ID DE L´EXPÉDITEUR"
"NETWORK","RÉSEAU"
