"lang_iso_code","en"
"Template has been loaded.","Template has been loaded."
"Template has been saved.","Template has been saved."
"Are you sure you want to remove the template?","Are you sure you want to remove the template?"
"No template has been found.","No template has been found."
"Virtual operators (MVNO)","Virtual operators (MVNO)"
"Select coupon","Select coupon"
"Create coupon","Create coupon"
"Please Select","Please Select"
"SIMULATION","SIMULATION"
"DELETED","DELETED"
"SCHEDULED","SCHEDULED"
"DO NOT DISTURB registry (DND)","DO NOT DISTURB registry (DND)"
"DUPLICATE","DUPLICATE"
"Add recipients in CSV(.csv, .txt) or vCARD(.vcf)","Add recipients in CSV(.csv, .txt) or vCARD(.vcf)"
"Returns","Returns"
"We confirm we have received your request to claim the goods.","We confirm we have received your request to claim the goods."
"New claim from customer was received.","New claim from customer was received."
"Status of a claim {return_id} has changed to ","Status of a claim {return_id} has changed to "
". Info from {shop_name}.",". Info from {shop_name}."
"Dear Customer, status of your claim {return_id} has changed to ","Dear Customer, status of your claim {return_id} has changed to "
". Have a nice day, {shop_name}.",". Have a nice day, {shop_name}."
"ADD/CHANGE TEXT SENDER ID","ADD/CHANGE TEXT SENDER ID"
"Add SMS product to cart:","Add SMS product to cart:"
"Automatically","Automatically"
"Manually","Manually"
"SMS opt-out - setting Marketing SMS opt-out option for the customer from the user profile","SMS opt-out - setting Marketing SMS opt-out option for the customer from the user profile"
"Activate displaying Marketing SMS opt-out feature in the user profile","Activate displaying Marketing SMS opt-out feature in the user profile"
