"lang_iso_code","tr"
"chars","türler"
"label","etiket"
"SMS text","SMS metni"
"total sms:","toplam sms:"
"Enter SMS text","SMS metni gir"
"Preview","Önizleme"
"Administrators","Yöneticiler"
"Save","Kaydet"
"Cancel","İptal"
"Restore unsaved changes to its original state.","Kaydedilmeyen değişiklikleri orijinal haline döndür."
"User profile - not active","Kullanıcı profili - Pasif"
"User profile - active","Kullanıcı profili - Aktif"
"New user account","Yeni kullanıcı hesabı"
"Not registered yet? Create account now!","Henüz üye olmadınız mı? Şimdi bir hesap oluşturun!"
"Email:","Email:"
"Company name:","Firma Adı:"
"Street:","Cadde:"
"City:","Şehir:"
"ZIP:","Posta Kodu:"
"Country:","Ülke:"
"Company ID:","Firma ID:"
"Company VAT:","Firma Vergi Numarası:"
"Referer ID:","Önerici ID:"
"View licence terms:","Lisans anlaşmasını gör:"
"I agree","Kabul ediyorum"
"I dont agree","Kabul etmiyorum"
"Register","Kaydol"
"Required field","Zorunlu alanlar"
"Sign in","Giriş yap"
"If You already have an account, please sign in.","Hesabınız varsa, giriş yapın."
"Username:","Kullanıcı Adı:"
"Password:","Parola:"
"Log in","Giriş"
"Edit user account","Kullanıcı hesabını düzenle"
"Save","Kaydet"
"User account info","Kullanıcı hesap bilgileri"
"SMS Credit:","SMS Kredisi:"
"Add administrators","Yönetici ekle"
"Name:","İsim:"
"Mobile number:","Telefon numarası:"
"Edit","Düzenle"
"Add","Ekle"
"Other settings","Diğer ayarlar"
"Simulate SMS sending:","örnek SMS gönderimi:"
"Allows to test sending of SMS in modul and to view sent SMS in SMS history with a special status.","Modül üzerinden SMS gönderimini test etmenizi sağlar. SMS özetinden SMS geçmişini görebilirsiniz."
"Delete database:","Veritabanını sil:"
"Allows to decide if current SMS settings and database of sent SMS shall be stored when uninstalling SMS module.","Modülü kaldırdığınzda SMS ayarları ve SMS verilerinin depolanmasına yarar."
"Delivery reports:","Gönderim Raporları:"
"Allows to see delivery reports of SMS in SMS history Tab.","SMS Özeti sekmesinden gönderim raporlarınızı izleyebilirsiniz."
"Low credit alert:","Düşük kredi uyarısı:"
" Allows to receive email when your SMS credit is low."," SMS krediniz düşük olduğunda mail yoluyla bilgilendirilirsiniz."
"Email for delivery reports:"," DR için mail:"
"Allows to receive email with delivery report of SMS.","SMS gönderim raporlarını maille alabilirsiniz."
"Admin was created.","Yönetici oluşturuldu."
"You have to agree with licence terms.","Lisans sözleşmesini kabul etmelisiniz."
"Account was created.","Hesap oluşturuldu."
"you can add another account after ","Daha sonra farklı bir hesap oluşturabilirsiniz. "
"minutes","dakika"
"can not connect to SMS server","SMS sunucusuna bağlanılamıyor"
"You were succesfully loged in.","Başarıyla giriş yaptınız."
"error","hata"
"Invalid e-mail for delivery report.","Gönderim raporları için geçersiz mail adresi."
"Invalid e-mail","Geçersiz mail adresi"
"Account was changed.","Hesap değiştirildi."
"Account was changed, but module URL for DR does not answer.","Hesap değiştirildi, fakat DR için modül linkinden cevap alınamıyor."
"you can change account after ","daha sonra hesabınızı değiştirebilirsiniz "
" seconds"," saniye"
"Invalid name","Geçersiz isim"
"Invalid number","Geçersiz numara"
"Admin was changed.","Yönetici değiştirildi."
"Admin was deleted.","yönetici silindi."
"no changes were made","değişiklik yapılmadı"
"login error","giriş hatası"
"Are you sure to delete","Silmeyi onaylıyormusunuz?"
"DELETE administrator","Üst yöneticiyi SİL"
"EDIT administrator","Üst yöneticiyi düzenle"
"in international format, no leading zeros or a “+” sign, e.g., 447971796595","uluslar arası formatta sıfır veya “+” işareti kullanılmaz. örneğin 905012345678"
"(when uninstall)","(kaldırıldığında)"
"(0 = no alert)","(0 = uyarı yok)"
"Fill in username and password.","Kullanıcı adı ve parola bilgilerini girin."
"Customer SMS - ","Müşteri SMS - "
"Customer SMS - not active","Müşteri SMS - aktif değil"
" language version"," dil sürümü"
"Select events during which shall be customer notified via SMS and customize text of messages. You can also add a new language version of SMS messages for each country separately. In countries with undefined language version will be used default language version.","Müşteri bilgilendirmesi için konu oluşturun veya SMS metni düzenleyin. Her ülke için ayrı ayrı SMS mesajı da oluşturabilirsiniz. Dil tanımlaması yapılmayan ülkeler için tanımlı dil seçeneği kullanılacaktır."
"Add SMS text version","SMS metin sürümü"
"Select country: ","Ülke seç: "
"Unicode SMS","Unicode SMS"
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70).","Çince, Arapça, Yunanca, Korece veya buna benzer diller kullanacaksanız bu seçeneği işaretleyin (Unicode metinler bu dillere ait karakterleri ve yazı tiplerini destekler. Her SMS metni 70 karakteri geçmemelidir)."
"Order status","Sipariş durumu"
"Sending notifications via SMS is ACTIVE","SMS'le bilgilendirme aktif"
"Sending notifications via SMS is NOT ACTIVE. To activate SMS sending check „Active“ in desired status detail.","SMS'le bilgilendirme aktif değil. Aktif etmek için durum detayındaki SMS gönderim özelliğini aktif etmelisiniz."
" Update of order status "," Sipariş durumlarını güncelle "
"Account","Hesap"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Kullanıcı profili aktif değil! Kaydolmak için ana menüdeki SMS sekmesine tıklayın. Eğer modülümüzü daha önce kullandıysanız, kullanıcı adı ve parolanızı biliyorsanız, mevcut hesap bilgilerinizi girin. yoksa sadece mail adresinizi girerek lisans sözleşmesini kabul edip giriş yapın."
"Invalid SMS text","Geçersiz SMS metni"
"Text of SMS was saved.","SMS metni kaydedildi."
"SMS text version was deleted.","SMS metin sürümü silindi."
"Are you sure to delete","Silmek istiyormusunuz"
"DELETE language version","Dil sürümünü SİL"
"SMS text","SMS metni"
"unicode","unicode"
"SMS text version for ","SMS metin sürümü "
" was saved"," kaydedildi"
"Preview","Önizleme"
"Active","Actif"
"Save","Kaydet"
"Cancel","İptal"
"total sms:","toplam sms:"
"EDIT language version","Dil sürümünü DÜZENLE"
"default","varsayılan"
"Edit","Düzenle"
"Add","Ekle"
"Order","Sipariş"
"Chars","Bölümler"
"Unicode was saved.","Unicode kaydedildi."
"Restore unsaved changes to its original state.","Kaydedilmeyen değişiklikleri orijinal haline döndür."
"Purchase Credit","Kredi satın al"
"Purchase Credit - not active","Kredi satın alma - aktif değil"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Kullanıcı profili aktif değil! Üye olmak için Ana menüdeki SMS sekmesine tıklayın. Eğer modülümüzü daha önce kullandıysanız, kullanıcı adı ve parolanızı biliyorsanız, mevcut hesap bilgilerinizi girin. yoksa sadece mail adresinizi girerek lisans sözleşmesini kabul edip giriş yapın."
" In case methods for credit purchase are not displayed properly, please click here:"," Kredi satın alma yöntemleri düzgün görüntülenmiyorsa lütfen buraya tıklayın:"
"Bulk SMS text","Çoklu SMS gönderim metni"
"Add recipients ","Alıcı ekle "
"Add one or more recipients separated by commas. Number must be in international format, no leading zeros or “+“ sign.","Birden çok alıcı eklerken aralara virgül koyun. Numaralar uluslararası formatta olmalıdır. Sıfır veya “+“ işareti kullanmayın."
" (e.g. 447971796595)"," (örneğin 905012345678)"
"Enter SMS text","SMS metni girin"
"Add recipients in CSV file ","CSV dosyasından mesaj alıcıları ekle "
"CSV file - 1 column, 1st column - number (Number must be in international format, no leading zeros or “+“ sign; e.g. 447971796595)","CSV dosyası - 1 kolon, birinci kolon - numara (Numaralar uluslararası formatta olmalıdır. Sıfır veya “+“ işareti kullanmayın. örneğin 905012345678)"
" Unicode "," Unicode "
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70).","Bu seçeneği Çince, Arapça, Yunanca, Korece gibi dilleri kullanacaksanız işaretleyin(Unicode karakterler farklı alfabeleri ve özel karakterleri destekler. Bir SMS için yazılacak karakter sayısı 70 olmalıdır)."
"Your time: ","Bulunduğunuz ülke zamanı: "
"Time: ","Zaman: "
"time zone: ","zaman dilimi: "
"time zone settings","bölgesel zaman ayarları"
"Text is too long","Metin çok uzun"
"Send SMS","SMS gönder"
"Send","Gönder"
"Send SMS or bulk SMS. Enter mobile numbers or upload CSV file.","SMS veya çoklu SMS gönder. Mobil telefon numaralarını gir veya CSV dosyasından yükle."
"Send SMS - not active","SMS gönderimi - aktif değil"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Kullanıcı profili aktif değil! Üye olmak için Ana menüdeki SMS sekmesine tıklayın. Eğer modülümüzü daha önce kullandıysanız, kullanıcı adı ve parolanızı biliyorsanız, mevcut hesap bilgilerinizi girin. yoksa sadece mail adresinizi girerek lisans sözleşmesini kabul edip giriş yapın."
"Fill in SMS text.","SMS metni oluşturun."
"SMS text is too long (max. 612 characters).","SMS metni çok uzun (max. 612 karakter)."
"SMS text is too long (max. 268 unicode characters).","SMS metni çok uzun (max. 268 unicode karakter)."
"Wrong time of SMS sending.","SMS gönderimi için yanlış zaman."
"Recipients found: 0","Alıcılar: 0"
"You do not have enough credit to send SMS to all ","Tümüne göndermek için yeterli SMS krediniz yok "
" recipients."," SMS Alıcıları."
"SMS was sent.","SMS gönderildi."
"SMS was saved.","SMS kaydedildi."
"wrong number or unavailable","Yanlış veya uygun olmayan numara"
"unauthorized senderID in confirmation sms","SMS onayı için yetkilendirilmemiş gönderici ID "
"low credit for sending sms","SMS gönderimi için düşük kredi"
"unicode is not supported","unicode desteklenmiyor"
"can not connect to SMS server","SMS sunucusuna bağlanılamıyor"
"SMS SIMULATION (Sending of SMS was simulated. Recipient will not receive SMS)","SMS simülasyonu (SMS gönderimi yalnızca simüle edildi. Alıcılar gerçekte SMS mesajı almayacaklar.)"
"SMS was sent (simulation).","SMS gönderildi (simülasyon)."
"error","hata"
"login error","giriş hatası"
" Send later "," Daha sonra gönder "
"Characters: ","Karakter: "
"1hr","1saat"
"Date: ","Tarih: "
"SMS Answers","SMS Yanıtları"
"SMS answer from customer is displayed only when customer receives SMS from your shop with SMS sender type „System number“ and customer replies using his own mobile phone.","Müşteri SMS yanıtları, yalnızca sistem numarasından gönderilenler için görüntülenebilir. Müşteriler kendi telefon numaraları ile yanıtlarlar."
"Show","Göster"
"Search results ","Arama sonuçları "
" of "," nin "
"SMS center","SMS merkezi"
"Date","tarih"
"From number","Şu numaradan"
"new","yeni"
"Previous","önceki"
"Next","Sonraki"
" Page: "," Sayfa: "
"SMS Answers - not active","SMS Yanıtları - aktif değil"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Kullanıcı profili aktif değil! Üye olmak için Ana menüdeki SMS sekmesine tıklayın. Eğer modülümüzü daha önce kullandıysanız, kullanıcı adı ve parolanızı biliyorsanız, mevcut hesap bilgilerinizi girin. yoksa sadece mail adresinizi girerek lisans sözleşmesini kabul edip giriş yapın."
"year","yıl"
"month","ay"
"SMS","SMS"
"Text:","Metin:"
"Total SMS answers: 0","Toplam SMS yanıtları: 0"
"SENT to recipient","alıcılara GÖNDERİLDİ"
"ERROR","HATA"
"DELIVERED to recipient","alıcılara İLETİLDİ"
"RECIPIENT UNAVAILABLE","ALICI UYGUN DEĞİL"
"SMS History","SMS Özeti"
"History of sent SMS from SMS module.","SMS modülünden gönderilen SMS özeti"
" admin sms"," yönetici sms"
" customer sms"," müşteri sms"
" marketing sms"," pazarlama sms"
" simple sms"," basit sms"
"Show","Göster"
"Search results ","Arama sonuçları "
" of "," nin "
"Type","Tip"
"Date","Tarih"
"SMS subject","SMS konusu"
"Number","Numara"
"yes","evet"
"no","hayır"
"system number","sistem numarası"
"Credit balance:","Kredi dengeleme:"
"Display customer detail","Müşteri detaylarını görüntüle"
"Text:","Metin:"
"Total SMS:","Toplam SMS:"
"SMS History - not active","SMS Özeti - aktif değil"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Kullanıcı profili aktif değil! Üye olmak için Ana menüdeki SMS sekmesine tıklayın. Eğer modülümüzü daha önce kullandıysanız, kullanıcı adı ve parolanızı biliyorsanız, mevcut hesap bilgilerinizi girin. yoksa sadece mail adresinizi girerek lisans sözleşmesini kabul edip giriş yapın."
"SMS price in credits:","Kredili SMS ücretleri:"
"year","yıl"
"month","ay"
"Status","Durum"
"Recipient","Alıcı"
"Unicode:","Unicode:"
"senderID:","göndericiID:"
"Previous","önceki"
"Next","Sonraki"
" Page: "," Sayfa: "
"Total SMS: 0","Toplam SMS: 0"
"SMS","SMS"
"SMS Marketing - bulk SMS text","SMS Marketi - çoklu SMS metni"
"Enter SMS text","SMS metni gir"
" Unicode "," Unicode "
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70).","Bu seçeneği Çince, Arapça, Yunanca, Korece gibi dilleri kullanacaksanız işaretleyin(Unicode karakterler farklı alfabeleri ve özel karakterleri destekler. Bir SMS için yazılacak karakter sayısı 70 olmalıdır.)."
" Send later "," Sonra gönder "
"Your time: ","Yerel Zaman: "
"Total customers:","Toplam müşteri:"
"Total SMS:","Toplam SMS:"
"SMS Marketing - bulk SMS filter","SMS Marketi - çoklu SMS filtresi"
"All customers","Tüm müşteriler"
"company customers","firma müşterileri"
"private customers","Özel müşteriler"
"All countries","Tüm ülkeler"
"Last name:","Soyadı:"
"First name:","Adı:"
"Last name","Soyadı"
"First name","Adı"
"Groups:","Gruplar:"
"All","Tümü"
"Gender:","Cinsiyet:"
"Male","Erkek"
"Female","Kadın"
"Newsletter:","Mektup:"
"Yes","evet"
"No","hayır"
"Apply filter","Filtreleme uygula"
"Date of birth from: ","Doğum tarihi: "
"to: ","şuna: "
"Date of registration from: ","Kaydolma tarihi: "
"Customers found: ","şu kadar müşteri bulundu: "
"results","sonuçlar"
"Action","Hareket"
"Mobile number","Mobil numara"
"Customer ID","Müşteri ID"
"REMOVE customer from this list","Müşteriyi bu listeden SİL"
"Next","Sonraki"
"Previous","Önceki"
" Page: "," Sayfa: "
"SMS Marketing - customers found: ","SMS Marketi - müşteri bulundu: "
"Write text of message and use advanced filter to target your marketing campaign.","Satış firmalarını yakalamak için gelişmiş filtreli sms mesajı kullanın."
"Marketing SMS","SMS Marketi"
"SMS Marketing - not active","SMS Marketi - aktif değil"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Kullanıcı profili aktif değil! Üye olmak için Ana menüdeki SMS sekmesine tıklayın. Eğer modülümüzü daha önce kullandıysanız, kullanıcı adı ve parolanızı biliyorsanız, mevcut hesap bilgilerinizi girin. yoksa sadece mail adresinizi girerek lisans sözleşmesini kabul edip giriş yapın."
"Fill in SMS text","SMS metni oluşturun"
"SMS text is too long (max. 612 characters).","SMS metni çok uzun (max. 612 karakter)."
"SMS text is too long (max. 268 unicode characters).","SMS metni çok uzun (max. 268 unicode karakter)."
"Customers found: 0","bulunan müşteri: 0"
"Wrong time of SMS sending.","SMS gönderimi için yanlış zaman."
"You do not have enough credit to send SMS to all ","Tümüne SMS göndermek için yeterli krediniz yok "
" customers."," müşteri."
"SMS was sent.","SMS gönderildi."
"SMS was saved.","SMS kaydedildi."
"wrong number or unavailable","yanlış veya uygun olmayan numara"
"unauthorized senderID in confirmation sms","SMS onayı için yetkilendirilmemiş gönderici ID"
"low credit for sending sms","sms gönderimi için düşük kredi"
"unicode is not supported","unicode desteklenmiyor"
"can not connect to SMS server","SMS sunucusuna bağlanılamıyor"
"SMS SIMULATION (Sending of SMS was simulated. Recipient will not receive SMS)","SMS SİMÜLASYONU (SMS gönderimi simüle edildi. Alıcılar gerçekte SMS almadı.)"
"SMS was sent (simulation).","SMS gönderildi (simulasyon)."
"error","hata"
"login error","giriş hatası"
"Date:","Tarih:"
"Time: ","Zaman: "
"1hr","1saat"
"time zone: ","yerel zaman: "
"time zone settings","bölgesel zaman ayarları"
"Send","Gönder"
"Characters: ","karakter: "
"Text is too long","Metin çok uzun"
"Type:","Tip:"
"Country:","Ülke:"
"City:","Şehir:"
"Advert:","Reklam:"
"Store:","Mağaza:"
"All stores","tüm mağazalar"
"Presta SMS","Presta SMS"
"presta-sms.com - send SMS from your Prestashop!","presta-sms.com - mağazanızdan SMS gönderin!"
"Admin SMS","Yönetici SMS"
"Customer SMS","Müşteri SMS"
"SMS Settings","SMS Ayarları"
"SMS History","SMS Özeti"
"Purchase Credit","Kredi satın al"
"Marketing SMS","SMS Marketi"
"SMS Answers","SMS Yanıtları"
"Send SMS","SMS gönder"
"About","Hakkımızda"
"wrong number or unavailable","yanlış veya uygun olmayan numara"
"unauthorized senderID in confirmation sms","SMS onayı için yetkilendirilmemiş gönderici ID"
"low credit for sending sms","sms gönderimi için düşük kredi"
"unicode is not supported","unicode desteklenmiyor"
"login error","giriş hatası"
"can not connect to SMS server","SMS sunucusuna bağlanılamıyor"
"SMS SIMULATION (Sending of SMS was simulated. Recipient will not receive SMS)","SMS SİMÜLASYONU (SMS gönderimi simüle edildi. Alıcılar gerçekte SMS almadılar.)"
"unknown mobile number","bilinmeyen mobil numara"
"not connected to SMS server","SMS sunucusuna bağlanılamadı"
"New orders","Yeni siparişler"
"New order from {customer_firstname} {customer_lastname}, customer id: {customer_id}, order id: {order_id}, payment: {order_payment}, amount: {order_total_paid} {order_currency}. Order: {newOrder2}. Info from {shop_name}.","Yeni sipariş {customer_firstname} {customer_lastname}, müşteri id: {customer_id}, sipariş id: {order_id}, ödeme: {order_payment}, mikter: {order_total_paid} {order_currency}. Sipariş: {newOrder2}. Bilgilendirme {shop_name}."
"Your order {order_id} was successfully created, payment: {order_payment}, amount: {order_total_paid} {order_currency}. Have a nice day, {shop_name}.","Siparişiniz {order_id} başarıyla oluşturuldu, ödeme: {order_payment}, miktar: {order_total_paid} {order_currency}. iyi günler, {shop_name}."
"Possible variables:","Mümkün olan değişkenler:"
"Successful customer create account","Müşteri hesap oluşturma başarılı"
"Customer {customer_firstname} {customer_lastname}, id: {customer_id}, has just subscribed to {shop_name}.","Müşteri {customer_firstname} {customer_lastname}, id: {customer_id}, abone oldu {shop_name}."
"Dear {customer_firstname} {customer_lastname}, your account in {shop_name} was successfully created. Your username: {customer_email}. Have a nice day!","Sayın {customer_firstname} {customer_lastname}, {shop_name} hesabınız başarıyla oluşturuldu. Kullanıcı adınız: {customer_email}. İyi günler!"
"Product returned","Ürün geri dönüşümü"
"Customer {customer_firstname} {customer_lastname}, id: {customer_id}, has returned product from order {order_id}. Order: {orderReturn2}. Customer text: {customer_question}. Info from {shop_name}.","Müşteri {customer_firstname} {customer_lastname}, id: {customer_id}, geri dönüş yaptı {order_id}. Sipariş: {orderReturn2}. Müşteri metni: {customer_question}. Bilgilendirme {shop_name}."
"We have received your request. Order {order_id}. Have a nice day, {shop_name}.","Talebinizi aldık. Sipariş {order_id}. İyi günler, {shop_name}."
"Called when a quantity of one product change in an order","Bir siparişteki ürün miktarı değiştiğinde arandı"
"In order {order_id} was changed quantity, {orderSlip2}. Info from {shop_name}."," {order_id} siparişindeki miktar değiştirildi, {orderSlip2}. Bilgilendirme {shop_name}."
"In your order {order_id} was changed quantity, {orderSlip2}. Have a nice day, {shop_name}."," {order_id} siparişindeki miktar değiştirildi, {orderSlip2}. İyi günler, {shop_name}."
"Payment confirmation","Ödeme onayı"
"Payment confirmation, order id: {order_id}, payment: {order_payment}, amount: {order_total_paid} {order_currency}. Info from {shop_name}.","Ödeme onayı, sipariş id: {order_id}, ödeme: {order_payment}, miktar: {order_total_paid} {order_currency}. Bilgilendirme {shop_name}."
"We have successfully received payment for your order {order_id} via {order_payment}, amount: {order_total_paid} {order_currency}. Have a nice day, {shop_name}."," {order_id} sipariş ödemeniz başarıyla gerçekleştirilmiştir. Ödeme {order_payment}, miktar: {order_total_paid} {order_currency}. İyi günler, {shop_name}."
"Update of tracking number in order","Sipariş aşamalarını güncelleyin"
"Order {order_id} was updated, tracking number is {order_shipping_number}. Info from {shop_name}.","Sipariş {order_id} güncellendi, sipariş takip numarası {order_shipping_number}. Bilgilendirme {shop_name}."
"Dear Customer, your order {order_id} was shipped, tracking number is {order_shipping_number}. Have a nice day, {shop_name}.","Sayın müşterimiz, {order_id} numaralı siparişiniz kargoya verildi, sipariş takip numarası {order_shipping_number}. iyi günler, {shop_name}."
"Called when a product is deleted","Ürün silindiğinde arandı"
"This product was deleted from {shop_name}, id: {product_id}, ref: {product_ref}, name: {product_name}. Deleted by user {employee_id}, {employee_email}.","Bu ürün {shop_name} ndan silindi, id: {product_id}, ref: {product_ref}, isim: {product_name}. {employee_id} Kullanıcı tarafından silindi, {employee_email}."
"Quantity is updated only when the customer effectively place his order","Müşteri sipariş verdiğinde miktar güncellendi"
"Quantity of product has changed, id: {product_id}, ref: {product_ref}, name: {product_name}, current quantity: {product_quantity}, supplier: {product_supplier}. Info from {shop_name}.","Ürün miktarı değiştirildi, id: {product_id}, ref: {product_ref}, isim: {product_name}, mevcut miktar: {product_quantity}, üretici: {product_supplier}. Bilgilendirme {shop_name}."
"Product out of stock","Ürün stokta yok"
"This product is almost out of stock, id: {product_id}, ref: {product_ref}, name: {product_name}, current quantity: {product_quantity}. Info from {shop_name}.","Bu ürün stokta bitmek üzere, id: {product_id}, ref: {product_ref}, isim: {product_name}, mevcut miktar: {product_quantity}. Bilgilendirme {shop_name}."
"Called when admin or customer cancel a product in an order","Bir yönetici veya müşteri siparişi iptal ettiğinde arandı."
"In order {order_id} was canceled product with id: {product_id}, ref: {product_ref}, name: {product_name}. Quantity: {product_quantity}, quantity reinjected: {product_quantity_reinjected}. Info from {shop_name}.","Siparişiniz {order_id} iptal edildi: {product_id}, referans: {product_ref}, adı: {product_name}. Miktar: {product_quantity}, reddedilen miktar: {product_quantity_reinjected}. Bilgilendirme {shop_name}."
"Status of order {order_id} has changed to ","Sipariş durumunuz {order_id} şu şekilde değiştirildi "
". Info from {shop_name}.",". bilgilendirme {shop_name}."
"Dear Customer, status of your order {order_id} has changed to ","Sayın müşterimiz, sipariş durumunuz {order_id} şu şekilde değiştirildi "
". Have a nice day, {shop_name}.",". İyi günler, {shop_name}."
"Bank wire","Bank ödemesi"
"Company Name","Firma Adı"
"Country","Ülke"
"City","şehir"
"qty","miktar"
"qty reinjected","miktar reddedildi"
"qty returned","miktar iade edildi"
"name","isim"
"not found","bulunamadı"
"SMS Settings - Select Own number sender ID for ","SMS ayarları - Kendi numaranızla gönderim ID seçin "
"Own number sender ID settings","Kendi numaranızla gönderim ID ayarları"
"own number sender ID","Kendi numaranızla gönderim ID"
"Existing Own number:","Mevcut kendi numaranız:"
"New Own number sender ID:","Yeni kendi numaranızla gönderim ID:"
"in international format, no leading <br />zeros or a “+” sign, e.g., 447971796595","uluslar arası formatta,<br />sıfır veya “+” kullanılmaz. örneğin 905012345678"
"SMS code:","SMS kodu:"
"CONFIRM","ONAYLA"
"Required field","Zorunlu alanlar"
"SMS Settings - Select Text sender ID for ","SMS ayarları - bir metin gönderim IDsi seçin "
"Text sender ID settings","Metin gönderim ID ayarları"
"Existing Text sender ID:","Mevcut metin gönderim ID:"
"New Text sender ID:","Yeni metin gönderim ID:"
"max. 11 characters","max. 11 karakter"
"SMS Settings","SMS Ayarları"
"Define SMS Sender Type for each country separately (Text sender ID, Own mobile number or System number). SMS price depends on the recipient country, selected SMS sender type and amount of payment. In countries with undefined SMS sender type will be used System number sender type.","Her ülke için ayrı ayrı gönderici tipi tanımla (Metin gönderim ID, Kendi numaranızla gönderim veya sistem numarasıyla gönderim). SMS ücretleri seçtiğiniz ülkeye göre değişiklik gösterir. Ücretler SMS gönderim tipine ve ödeme şeklinize göre değişir. SMS gönderim tipinin tanımlanamadığı ülkelerde sadece sistem numarasıyla gönderim tipi etkindir."
"Customer SMS settings","Müşteri SMS ayarları"
"SENDER TYPE","GÖNDERİCİ TİPİ"
"NETWORK","ŞEBEKE"
"SMS PRICE<br />IN CREDITS","SMS KREDİSİ İÇİNDE"
