"lang_iso_code","it"
"Admin SMS","Admin SMS"
"Customer SMS","SMS cliente"
"SMS Settings","SMS Impostazioni"
"SMS History","SMS Storia"
"Purchase Credit","Compra credito"
"Marketing SMS","Marketing SMS"
"SMS Answers","SMS Risposte"
"Send SMS","Manda SMS"
"About","Riguardo il modulo"
"wrong number or unavailable","numero sbagliato o non disponibile"
"unauthorized senderID in confirmation sms","SenderID non autorizzato in sms di conferma"
"low credit for sending sms","basso credito per l`invio di sms"
"unicode is not supported","unicode non e supportato"
"login error","login errore"
"can not connect to SMS server","errore di connessione in SMS server"
"SMS SIMULATION (Sending of SMS was simulated. Recipient will not receive SMS)","SIMULAZIONE SMS (invio di SMS è stato simulato. Destinatario non riceve SMS)"
"unknown mobile number","numero di cellulare sconosciuto"
"not connected to SMS server","non connesso in SMS server"
"New orders","Nuovi ordini"
"New order from {customer_firstname} {customer_lastname}, customer id: {customer_id}, order id: {order_id}, payment: {order_payment}, amount: {order_total_paid} {order_currency}. Order: {newOrder2}. Info from {shop_name}.","Nuovo ordine da {customer_firstname} {customer_lastname}, id cliente: {customer_id}, id di ordine: {order_id}, pagamento: {order_payment}, valore: {order_total_paid} {order_currency}. Ordine: {newOrder2}. Informazioni da {shop_name}."
"Your order {order_id} was successfully created, payment: {order_payment}, amount: {order_total_paid} {order_currency}. Have a nice day, {shop_name}.","Tuo ordine {order_id} e stato creato, pagamento: {order_payment}, valore: {order_total_paid} {order_currency}. Buona giornata, {shop_name}."
"Possible variables:","Possibili varianti:"
"Successful customer create account","Il cliente ha creato conto"
"Customer {customer_firstname} {customer_lastname}, id: {customer_id}, has just subscribed to {shop_name}.","Cliente {customer_firstname} {customer_lastname}, id: {customer_id}, ha appena sottoscritto {shop_name}."
"Dear {customer_firstname} {customer_lastname}, your account in {shop_name} was successfully created. Your username: {customer_email}. Have a nice day!","Gentile {customer_firstname} {customer_lastname}, Suo conto in {shop_name} e stato creato. Suo username: {customer_email}. Buona giornata!"
"Product returned","Prodotto ritornato"
"Customer {customer_firstname} {customer_lastname}, id: {customer_id}, has returned product from order {order_id}. Order: {orderReturn2}. Customer text: {customer_question}. Info from {shop_name}.","Cliente {customer_firstname} {customer_lastname}, id: {customer_id}, ha ritornato prodotto dall`ordine {order_id}. Ordine: {orderReturn2}. Testo di cliente: {customer_question}. Informazioni da {shop_name}."
"We have received your request. Order {order_id}. Have a nice day, {shop_name}.","Abbiamo ricevuto richiesta. Ordine {order_id}. Buona giornata, {shop_name}."
"Called when a quantity of one product change in an order","Chiamare quando quantità di prodotto in un ordine cambia"
"In order {order_id} was changed quantity, {orderSlip2}. Info from {shop_name}.","In ordine {order_id} ha cambiato quantita, {orderSlip2}. Informazione da {shop_name}."
"In your order {order_id} was changed quantity, {orderSlip2}. Have a nice day, {shop_name}.","In Sua ordine {order_id} e stata cambiata quantita, {orderSlip2}. Buona giornata, {shop_name}."
"Payment confirmation","Conferma di pagamento"
"Payment confirmation, order id: {order_id}, payment: {order_payment}, amount: {order_total_paid} {order_currency}. Info from {shop_name}.","Conferma pagamento, id di ordine: {order_id}, pagamento: {order_payment}, valore: {order_total_paid} {order_currency}. Informazione da {shop_name}."
"We have successfully received payment for your order {order_id} via {order_payment}, amount: {order_total_paid} {order_currency}. Have a nice day, {shop_name}.","Abbiamo ricevuto pagamento per ordine {order_id} tramite {order_payment}, valore: {order_total_paid} {order_currency}. Buona giornata, {shop_name}."
"Update of tracking number in order","Aggiornare il numero di inseguimento del`ordine"
"Order {order_id} was updated, tracking number is {order_shipping_number}. Info from {shop_name}.","La ordine {order_id} e aggiornata, il numero di inseguimento e {order_shipping_number}. Info dal {shop_name}."
"Dear Customer, your order {order_id} was shipped, tracking number is {order_shipping_number}. Have a nice day, {shop_name}.","Gentile Cliente, la Sua ordine {order_id} e spedita, il numero di inseguimento e {order_shipping_number}. Le auguriamo buona giornata, {shop_name}."
"Called when a product is deleted","Chiamare quando prodotto viene eliminato"
"This product was deleted from {shop_name}, id: {product_id}, ref: {product_ref}, name: {product_name}. Deleted by user {employee_id}, {employee_email}.","Questo prodotto e stato cancellato dal {shop_name}, id: {product_id}, ref: {product_ref}, nome: {product_name}. Cancellato da utente {employee_id}, {employee_email}."
"Quantity is updated only when the customer effectively place his order","Quantità viene aggiornata solo quando il cliente piaca ordine"
"Quantity of product has changed, id: {product_id}, ref: {product_ref}, name: {product_name}, current quantity: {product_quantity}, supplier: {product_supplier}. Info from {shop_name}.","Quantita di prodotto e cambiata, id: {product_id}, ref: {product_ref}, nome: {product_name}, quantita attuale: {product_quantity}, supplier: {product_supplier}. Informazione da {shop_name}."
"Product out of stock","Prodotto esaurito"
"This product is almost out of stock, id: {product_id}, ref: {product_ref}, name: {product_name}, current quantity: {product_quantity}. Info from {shop_name}.","Questo prodotto e quasi esaurito, id: {product_id}, ref: {product_ref}, nome: {product_name}, quantitta attuale: {product_quantity}. Informazione da {shop_name}."
"Called when admin or customer cancel a product in an order","Chiamare quando admin o cliente annulla un prodotto in un ordine"
"In order {order_id} was canceled product with id: {product_id}, ref: {product_ref}, name: {product_name}. Quantity: {product_quantity}, quantity reinjected: {product_quantity_reinjected}. Info from {shop_name}.","In ordine {order_id} e stato cancellato prodotto con id: {product_id}, ref: {product_ref}, nome: {product_name}. Quantita: {product_quantity}, quantita rifornita: {product_quantity_reinjected}. Informazione da {shop_name}."
"Status of order {order_id} has changed to ","Stato dell`ordine {order_id} e stato cambiato a "
". Info from {shop_name}.",". Informazione da {shop_name}."
"Dear Customer, status of your order {order_id} has changed to ","Gentile Cliente, lo stato del tuo ordine {order_id} ha cambiato a "
". Have a nice day, {shop_name}.",". Buona giornata, {shop_name}."
"Bank wire","Bank wire"
"Company Name","Nome di azienda"
"Country","Paese"
"City","Citta"
"qty","quantita"
"qty reinjected","quantita rifornita"
"qty returned","quantita ritornata"
"name","nome"
"not found","non trovato"
"SMS Settings - Select Own number sender ID for ","SMS Impostazioni - Selezionare il proprio ID numero di mittente"
"Own number sender ID settings","Impostare il proprio numero di ID mittente"
"own number sender ID","Numero proprio di mittente"
"Existing Own number:","Numero proprio esistente:"
"New Own number sender ID:","Nuovo numero proprio:"
"in international format, no leading <br />zeros or a “+” sign, e.g., 447971796595","in formato internazionale<br />senza 0 o segno + , ad esempio, 393489877207"
"SMS code:","SMS codice:"
"CONFIRM","CONFERMA"
"Required field","campi obbligatori"
"SMS Settings - Select Text sender ID for ","Impostazioni SMS - Selezionare ID mittente di testo per "
"Text sender ID settings","Impostazioni di testo di mittente ID "
"Existing Text sender ID:","Testo esistente di ID mittente:"
"New Text sender ID:","Nuovo testo come sender ID:"
"max. 11 characters","max. 11 caratteri"
"SMS Settings","SMS Impostazioni"
"Define SMS Sender Type for each country separately (Text sender ID, Own mobile number or System number). SMS price depends on the recipient country, selected SMS sender type and amount of payment. In countries with undefined SMS sender type will be used System number sender type.","Definire il tipo di SMS Sender per ogni paese separatamente (ID come testo mittente , numero di cellulare o il numero del sistema). Il costo del SMS dipende dal paese destinatario, tipo di mittente selezionato e valore di pagamento. Nei paesi in cui non e definito tipo del mittente SMS verrà utilizzato il numero di sistema del mittente."
"Customer SMS settings","Impostazioni SMS del cliente"
"ADD/CHANGE SELECTED COUNTRY","Aggiungere / Seleziona il paese selezionato"
"SENDER TYPE","TIPO DI MITTENTE"
"NETWORK","NETWORK"
"SMS PRICE<br />IN CREDITS","PREZZO IN CREDITS"
"SMS PRICE IN EUR (excl. VAT)","PREZZO SMS IN EUR (senza IVA)"
"payment","pagamento"
"Unicode ","Unicode "
"Unicode characters support (Unicode allows you to enter characters in all fonts and various symbols simultaneously. Is used for Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message)","Supporto per caratteri di Unicode (Unicode permette di scrivere caratteri in tutti i font e vari simboli. Viene utilizzato per cinese, arabo, greco, ebraico, coreano, cirillico, ecc o segni diacritici nel testo del messaggio SMS)"
"TEXT SENDER ID","TIDENTIFICAZIONE COME TESTO"
"Text sender ID","identificazione come testo"
"SYSTEM NUMBER","NUMERO DI SISTEMA"
"OWN NUMBER SENDER ID","NUMERO PROPRIO"
"SIM HOSTING","SIM HOSTING"
"UNICODE SUPPORTED","UNICODE SUPPORTATO"
"UNICODE NOT SUPPORTED","UNICODE NON SUPPORTATO"
"SAVE SMS SETTINGS","SALVA IMPOSTAZIONI DI SMS"
