"lang_iso_code","cs"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Uživatelský profil není aktivní! Zaregistrujte se kliknutím na záložku SMS v hlavním menu. Modul Vám zobrazí registrační formulář.Pokud jste již modul v minulosti používali a znáte Vaše uživatelské jméno a heslo, vyplňte formulář pro existujicí účet. V opačném případě zadejte email, odsouhlaste licenční podmínky a klikněte na ""Registrovat""."
" In case methods for credit purchase are not displayed properly, please click here:","V případě, že se Vám nezobrazuje výběr možnosti dobití kreditu, klikněte, prosím, zde:"
"Bulk SMS text","Text hromadné SMS zprávy"
"Add recipients ","Přidejte příjemce "
"Add one or more recipients separated by commas. Number must be in international format, no leading zeros or “+“ sign.","Přidejte jednoho nebo více příjemců oddělené čárkou. Číslo musí být v mezinárodním formátu, bez nul nebo znaménka “+” , např., 420603123456"
" (e.g. 447971796595)"," (např.: 420603123456)"
"Enter SMS text","Vložte text SMS zprávy"
"Add recipients in CSV file ","Přidejte příjemce v CSV souboru "
"CSV file - 1 column, 1st column - number (Number must be in international format, no leading zeros or “+“ sign; e.g. 447971796595)","CSV soubor - 1 sloupec, 1.sloupec - číslo (Číslo musí být v mezinárodním formátu, bez nul nebo znaménka “+” , např., 420603123456)"
" Unicode "," Unicode "
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70).","Zaškrtněte pouze pokud chcete ve zprávě použít diakritiku a nebo jazyky jako je čínština, arabština, řečtina, hebrejština, korejština, atp. (Unicode umožňuje použít současně různé fonty a symboly. Počet znaků v jedné Unicode zprávě je 70)."
"Your time: ","Váš čas: "
"Time: ","Čas: "
"time zone: ","časová zóna: "
"time zone settings","nastavení časové zóny"
"Text is too long","Text je příliš dlouhý"
"Send SMS","Odeslat SMS"
"Send","Odeslat"
"Send SMS or bulk SMS. Enter mobile numbers or upload CSV file.","Odesílání SMS nebo hromadných SMS. Vložte telefonní čísla nebo nahrajte CSV soubor."
"Send SMS - not active","Odeslat SMS - neaktivní"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Uživatelský profil není aktivní! Zaregistrujte se kliknutím na záložku SMS v hlavním menu. Modul Vám zobrazí registrační formulář.Pokud jste již modul v minulosti používali a znáte Vaše uživatelské jméno a heslo, vyplňte formulář pro existujicí účet. V opačném případě zadejte email, odsouhlaste licenční podmínky a klikněte na ""Registrovat""."
"Fill in SMS text.","Vyplňte text SMS zprávy"
"SMS text is too long (max. 612 characters).","Text SMS zprávy je příliš dlouhý (max. 612 znaků)."
"SMS text is too long (max. 268 unicode characters).","Text SMS zprávy je příliš dlouhý (max. 268 unicode znaků)."
"Wrong time of SMS sending.","Špatný čas odeslání SMS."
"Recipients found: 0","Nalezeno příjemců: 0"
"You do not have enough credit to send SMS to all ","Nemáte dostatečný kredit na odeslání SMS zprávy všem "
" recipients."," příjemcům."
"SMS was sent.","Zpráva SMS byla odeslána."
"SMS was saved.","Zpráva SMS byla uložena."
"wrong number or unavailable","Špatné nebo nedostupné číslo"
"unauthorized senderID in confirmation sms","neautorizované ID odesílatele v potvrzovací SMS"
"low credit for sending sms","Nízky kredit pro odeslání SMS zprávy"
"unicode is not supported","unicode není podporován"
"login error","chyba přihlášení"
"can not connect to SMS server","nelze se připojit k SMS serveru"
"SMS SIMULATION (Sending of SMS was simulated. Recipient will not receive SMS)","SMS SIMULACE (Odeslání SMS bylo simulováno. Příjemce neobdrží SMS zprávu.)"
"SMS was sent (simulation).","SMS byla odeslána (simulace)."
"error","chyba"
" Send later "," Odeslat později "
"Characters: ","Znaků: "
"1hr","1hod"
"Date: ","Datum: "
"SMS Answers","SMS Odpovědi"
"SMS answer from customer is displayed only when customer receives SMS from your shop with SMS sender type „System number“ and customer replies using his own mobile phone.","SMS odpověď od zákazníka je zobrazena pouze pokud zákazník z Vašeho obchodu obdrží SMS s typem odesílatele ""systémové číslo"" a zákazník odpoví ze stejného telefonního čísla."
"Show","Ukázat"
"Search results ","Výsledek hledání "
" of "," z "
"SMS center","SMS centrum"
"Date","Datum"
"From number","Z čísla"
"new","nový"
"Previous","Předchozí"
"Next","Další"
" Page: "," Strana: "
"SMS Answers - not active","SMS Odpovědi - neaktivní"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Uživatelský profil není aktivní! Zaregistrujte se kliknutím na záložku SMS v hlavním menu. Modul Vám zobrazí registrační formulář.Pokud jste již modul v minulosti používali a znáte Vaše uživatelské jméno a heslo, vyplňte formulář pro existujicí účet. V opačném případě zadejte email, odsouhlaste licenční podmínky a klikněte na ""Registrovat""."
"year","rok"
"month","měsíc"
"SMS","SMS"
"Text:","Text:"
"Total SMS answers: 0","Celkem SMS odpovědí: 0"
"SENT to recipient","ODESLÁNO příjemci"
"ERROR","CHYBA"
"DELIVERED to recipient","DORUČENO příjemci"
"RECIPIENT UNAVAILABLE","PŘÍJEMCE NEDOSTUPNÝ"
"SMS History","SMS Historie"
"History of sent SMS from SMS module.","Historie odeslaných SMS zpráv z SMS modulu."
" admin sms"," admin sms"
" customer sms"," zákaznické sms"
" marketing sms"," marketingové sms"
" simple sms"," jednoduché sms"
"Show","Ukázat"
"Search results ","Výsledek hledání "
" of "," z "
"Type","Typ"
"Date","Datum"
"SMS subject","SMS předmět"
"Number","Číslo"
"yes","ano"
"no","ne"
"system number","systémové číslo"
"Credit balance:","Stav účtu:"
"Display customer detail","Zobrazit detail zákazníka"
"Text:","Text:"
"Total SMS:","Celkem SMS:"
"SMS History - not active","SMS Historie - neaktivní"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Uživatelský profil není aktivní! Zaregistrujte se kliknutím na záložku SMS v hlavním menu. Modul Vám zobrazí registrační formulář.Pokud jste již modul v minulosti používali a znáte Vaše uživatelské jméno a heslo, vyplňte formulář pro existujicí účet. V opačném případě zadejte email, odsouhlaste licenční podmínky a klikněte na ""Registrovat""."
"SMS price in credits:","Cena v kreditech:"
"year","rok"
"month","měsíc"
"Status","Stav"
"Recipient","Příjemce"
"Unicode:","Unicode:"
"senderID:","Číslo odesílatele:"
"Previous","Předchozí"
"Next","Další"
" Page: "," Strana: "
"Total SMS: 0","Celkem SMS: 0"
"SMS","SMS"
"SMS Marketing - bulk SMS text","SMS Marketing - text hromadné SMS zprávy"
"Enter SMS text","Vložte text SMS zprávy"
" Unicode "," Unicode "
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70).","Zaškrtněte pouze pokud chcete ve zprávě použít diakritiku a nebo jazyky jako je čínština, arabština, řečtina, hebrejština, korejština, atp. (Unicode umožňuje použít současně různé fonty a symboly. Počet znaků v jedné Unicode zprávě je 70)."
" Send later "," Odeslat později "
"Your time: ","Váš čas: "
"Total customers:","Celkem zákazníků:"
"Total SMS:","Celkem SMS:"
"SMS Marketing - bulk SMS filter","SMS Marketing - filtr hromadných SMS"
"All customers","Všichni zákazníci"
"company customers","Firemní zákazníci"
"private customers","Soukromé osoby"
"All countries","Všechny státy"
"Last name:","Příjmení:"
"First name:","Jméno:"
"Last name","Příjmení"
"First name","Jméno"
"Groups:","Skupiny:"
"All","Všechny"
"Gender:","Pohlaví:"
"Male","Muž"
"Female","Žena"
"Newsletter:","Novinky:"
"Yes","Ano"
"No","Ne"
"Apply filter","Použít filtr"
"Date of birth from: ","Datum narození od: "
"to: ","do: "
"Date of registration from: ","Datum registrace od: "
"Customers found: ","Nalezeno zákazníků: "
"results","zobrazeno"
"Action","Akce"
"Mobile number","Telefonní číslo"
"Customer ID","Číslo zákazníka"
"REMOVE customer from this list","ODSTRANIT zákazníka z tohoto seznamu"
"Next","Další"
"Previous","Předchozí"
" Page: "," Strana: "
"SMS Marketing - customers found: ","SMS Marketing - nalezeno zákazníků: "
"Write text of message and use advanced filter to target your marketing campaign.","Napište text zprávy a využijte pokročilých filtrů k zacílení Vaší marketingové kampaně."
"Marketing SMS","Marketing SMS"
"SMS Marketing - not active","SMS Marketing - neaktivní"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Uživatelský profil není aktivní! Zaregistrujte se kliknutím na záložku SMS v hlavním menu. Modul Vám zobrazí registrační formulář.Pokud jste již modul v minulosti používali a znáte Vaše uživatelské jméno a heslo, vyplňte formulář pro existujicí účet. V opačném případě zadejte email, odsouhlaste licenční podmínky a klikněte na ""Registrovat""."
"Fill in SMS text","Vyplňte text SMS zprávy."
"SMS text is too long (max. 612 characters).","Text SMS zprávy je příliš dlouhý (max. 612 znaků)."
"SMS text is too long (max. 268 unicode characters).","Text SMS zprávy je příliš dlouhý (max. 268 unicode znaků)."
"Customers found: 0","Nalezeno zákazníků: 0"
"Wrong time of SMS sending.","Špatný čas odeslání SMS."
"You do not have enough credit to send SMS to all ","Nemáte dostatečný kredit na odeslání SMS zprávy všem "
" customers."," zákazníkům."
"SMS was sent.","Zpráva SMS byla odeslána."
"SMS was saved.","Zpráva SMS byla uložena."
"wrong number or unavailable","Špatné nebo nedostupné číslo"
"unauthorized senderID in confirmation sms","neautorizované ID odesílatele v potvrzovací SMS"
"low credit for sending sms","nízky kredit pro odeslání SMS zprávy"
"unicode is not supported","unicode není podporován"
"can not connect to SMS server","nelze se připojit k SMS serveru"
"SMS SIMULATION (Sending of SMS was simulated. Recipient will not receive SMS)","SMS SIMULACE (Odeslání SMS bylo simulováno. Příjemce neobdrží SMS zprávu.)"
"SMS was sent (simulation).","SMS byla odeslána (simulace)."
"error","chyba"
"login error","chyba přihlášení"
"Date:","Datum:"
"Time: ","Čas: "
"1hr","1hod"
"time zone: ","časová zóna: "
"time zone settings","nastavení časové zóny"
"Send","Odeslat"
"Characters: ","Znaků: "
"Text is too long","Text je příliš dlouhý"
"Type:","Typ:"
"Country:","Země:"
"City:","Město:"
"Advert:","Reklama:"
"Store:","Obchod:"
"All stores","Všechny obchody"
"Admin SMS","Admin SMS"
"Customer SMS","Zákaznické SMS"
"SMS Settings","Nastavení SMS"
"SMS History","Historie SMS"
"Purchase Credit","Koupit kredit"
"Marketing SMS","Marketingové SMS"
"SMS Answers","SMS Odpovědi"
"Send SMS","Odeslat SMS"
"About","O modulu"
"Possible variables:","Použitelné parametry:"
"wrong number or unavailable","Špatné nebo nedostupné číslo"
"unauthorized senderID in confirmation sms","neautorizované ID odesílatele v potvrzovací SMS"
"low credit for sending sms","nízky kredit pro odeslání SMS zprávy"
"unicode is not supported","unicode není podporován"
"login error","chyba přihlášení"
"can not connect to SMS server","nízky kredit pro odeslání SMS zprávy"
"SMS SIMULATION (Sending of SMS was simulated. Recipient will not receive SMS)","SMS SIMULACE (Odeslání SMS bylo simulováno. Příjemce neobdrží SMS zprávu.)"
"unknown mobile number","neznámé číslo"
"not connected to SMS server","nepřipojeno k SMS serveru"
"Bank wire","Bankovní převod"
"Company Name","Název firmy"
"Country","Země"
"City","Město"
"qty","množství"
"qty reinjected","zrusene mnozstvi"
"qty returned","vracene mnozstvi"
"name","nazev"
"not found","nenalezeno"
"SMS Settings - Select Own number sender ID for ","Nastavení SMS - Vyberte vlastní číslo odesílatele pro "
"Own number sender ID settings","Nastavení vlastního čísla odesílatele"
"own number sender ID","Vlastní číslo odesílatele"
"Existing Own number:","Existující vlastní číslo:"
"New Own number sender ID:","Nové vlastní číslo odesílatele:"
"in international format, no leading <br />zeros or a “+” sign, e.g., 447971796595","v mezinárodním formátu, bez nul nebo znaménka “+” , např., 420603123456"
"SMS code:","SMS kód:"
"CONFIRM","POTVRDIT"
"Required field","Požadované pole"
"SMS Settings - Select Text sender ID for ","Nastavení SMS - Vyberte textového odesílatele pro "
"Text sender ID settings","Nastavení textového odesílatele"
"Existing Text sender ID:","Existující textový odesílatel:"
"New Text sender ID:","Nový textový odesílatel:"
"max. 11 characters","max. 11 znaků"
"SMS Settings","Nastavení SMS"
"Define SMS Sender Type for each country separately (Text sender ID, Own mobile number or System number). SMS price depends on the recipient country, selected SMS sender type and amount of payment. In countries with undefined SMS sender type will be used System number sender type.","Definujte typ odesílatele pro každou zemi. (textový odesílatel, vlastní mobilní číslo nebo systémové číslo). Cena SMS zprávy závisí na státu příjemce, zvoleném typu odesílatele a výši platby. U zemí s nedefinovaným typem odesílatele bude použito systémové číslo."
"Customer SMS settings","Nastavení zákazníckých SMS"
"ADD/CHANGE SELECTED COUNTRY","PŘIDAT/ZMĚNIT ZVOLENOU ZEMI"
"SENDER TYPE","TYP ODESÍLATELE"
"NETWORK","SÍŤ"
"SMS PRICE<br />IN CREDITS","CENA SMS V KREDITECH"
"SMS PRICE IN %s (excl. VAT)","CENA SMS V %s (s DPH)"
"payment","platba"
"Unicode ","Unicode "
"Unicode characters support (Unicode allows you to enter characters in all fonts and various symbols simultaneously. Is used for Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message)","Podpora znakové sady Unicode (Unicode umožňuje použít současně různé fonty, symboly a diakritiku. Je využíván pro jazyky jako je čínština, arabština, řečtina, hebrejština, korejština, atp.)"
"TEXT SENDER ID","TEXTOVÉ ČÍSLO ODESÍLATELE"
"Text sender ID","Textové číslo odesílatele"
"SYSTEM NUMBER","SYSTÉMOVÉ ČÍSLO"
"OWN NUMBER SENDER ID","VLASTNÍ ČÍSLO ODESÍLATELE"
"SIM HOSTING","SIM HOSTING"
"UNICODE SUPPORTED","UNICODE PODPOROVÁN"
"UNICODE NOT SUPPORTED","UNICODE NEPODPOROVÁN"
"SAVE SMS SETTINGS","ULOŽIT NASTAVENÍ SMS"
"Are you sure to delete","Opravdu si přejete odstranit"
"Select country: ","Vyberte zemi: "
"SMS settings - not active","Nastavení SMS - neaktivní"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Uživatelský profil není aktivní! Zaregistrujte se kliknutím na záložku SMS v hlavním menu. Modul Vám zobrazí registrační formulář.Pokud jste již modul v minulosti používali a znáte Vaše uživatelské jméno a heslo, vyplňte formulář pro existujicí účet. V opačném případě zadejte email, odsouhlaste licenční podmínky a klikněte na ""Registrovat""."
"error","chyba"
"can not connect to SMS server","nelze se připojit k SMS serveru"
" was deleted."," byl vymazán."
"choose sender type","zvolte typ odesílatele"
" was saved."," byl uložen."
"fill in own number sender ID","vyplňte vlastní číslo odesílatele"
"own number sender ID must be number","Vlastní číslo odesílatele musí být číslo"
"correctly confirm sms code","potvrďte správně sms kód"
"Own number sender ID for ","Vlastní číslo odesílatele pro "
" was saved."," bylo uloženo."
"error - ","chyba - "
"login error","chyba přihlášení"
"Now retype SMS code.","Nyní přepište sms kód."
"Now retype SMS code. SMS will be send in next 60 seconds.","Nyní přepište sms kód. SMS zpráva bude odeslána v následujících 60 sekundách."
"error - wrong number or unavailable","chyba - špatné nebo nedostupné číslo"
"error - unauthorized senderID in confirmation sms","chyba - neautorizované ID odesílatele v potvrzovací SMS"
"error - low credit for sending validation SMS","chyba - nízky kredit pro odeslání validační SMS zprávy"
"fill in text sender ID","Vyplňte textové číslo odesílatele"
"fill in text sender ID, 3-11 characters","Vyplňte textové číslo odesílatele, 3-11 znaků"
"possible characters: ","použitelné znaky: "
"text sender ID can't be number","textové číslo odesílatele nesmí být číslo"
"Text sender ID for ","Textové číslo odesílatele pro "
"Admin SMS settings","Nastavení Admin SMS"
"VALIDATE","VALIDOVAT"
"SMS validation","SMS validace"
"Confirmation code: ","Kod: "
"Update pricelist","Aktualizovat cenu"
"e.g.:","např.:"
"Pricelist was successfully updated.","Ceník byl úspěšně aktualizován."
"edit","editovat"
"delete","smazat"
"Your online stores","Vaše internetové obchody"
"SMS opt-out","SMS opt-out"
"SMS opt-out - setting SMS opt-out option from the cart and SMS charging","SMS opt-out - nastavení odhlášení SMS upozornění z košíku a zpoplatnění SMS"
"Select an online store for which you want to set in the cart option to unsubscribe SMS notifications, setup cost of SMS messages and define the text that is displayed to the customer in the cart.","Zvolte internetový obchod, pro který si přejete nastavit, aby měl zákazník v košíku možnost odhlásit SMS upozornění, nastavte cenu SMS zpráv a definujte text, který se zobrazí zákazníkovi v košíku."
"For sending SMS prefer phone nr. from:","Pro odesílání SMS preferuj tel. číslo z:"
"invoice address","fakturační adresy"
"delivery address","dodací adresy"
"Price of SMS","Cena SMS zpráv"
"Text displayed in the cart","Text zobrazený v košíku"
"Activate displaying SMS opt-out feature in the cart","Aktivuj zobrazení SMS opt-out funkce v košíku"
"SMS opt-out is ACTIVE","SMS opt-out je AKTIVNÍ"
"SMS opt-out is NOT ACTIVE. To activate SMS opt-out check the checkbox „Activate displaying SMS opt-out feature in the cart“","SMS opt-out NENÍ AKTIVNÍ. SMS opt-out aktivujete zaškrtnutím „Aktivuj zobrazení SMS opt-out funkce v košíku“"
"Setting of the SMS opt-out feature was successfully changed","Nastavení funkce SMS opt-out bylo úspěšně změněno"
"Price of SMS messages has changed in the following countries:","Změna ceny SMS zpráv u následujících států:"
"New version available for download:","K dispozici je nová verze:"
"Manual:","Manuál:"
"Contact form","Kontaktní formulář"
"Remove duplicate numbers","Odstranit duplicitní čísla"
"Registration type:","Typ účtu:"
"Personal","Osobní"
"Business","Podnikatelský"
"Address","Adresa"
"Billing information","Fakturační údaje"
"Contact person","Kontaktní osoba"
"Enter the name of the company.","Vyplňte jméno firmy."
"Invalid VAT","nesprávné DIČ"
"Statistics","Statistiky"
"Statistics - not active","Statistiky - neaktivní"
"day","den"
"Date from:","Datum od:"
"to:","Datum do:"
"Mage SMS module 2013-%s, version ","Mage SMS modul 2013-%s verze "
"Supported Magento versions:","Podporované verze Magenta:"
"www.mage-sms.com/manual.html","www.mage-sms.com/cz/manual.html"
"www.mage-sms.com","www.mage-sms.com"
