"lang_iso_code","de"
"Mobile number:","Handynummer:"
"Edit","Bearbeiten"
"Add","Hinzufügen"
"Other settings","Nächste Einstellung"
"Simulate SMS sending:"," SMS-Versand simulieren:"
"Allows to test sending of SMS in modul and to view sent SMS in SMS history with a special status.","Ermöglicht den SMS-Versand zu testen und die Test-SMS in der Registerkarte Verlauf abzubilden."
"Delete database:","Datenbank löschen:"
"Allows to decide if current SMS settings and database of sent SMS shall be stored when uninstalling SMS module.","Es ermöglicht sich zu entscheiden, ob bestehende Einstellungen und Datenbank nach Deinstallation des Moduls SMS weiterhin zur Verfügung stehen sollen. "
"Delivery reports:","Information von der Zustellung (DR):"
"Allows to see delivery reports of SMS in SMS history Tab.","Zeigt Information von der Zustellung in der Registerkarte Verlauf SMS."
"Low credit alert:","Hinweis auf niedriges Guthaben:"
" Allows to receive email when your SMS credit is low.","Ermöglicht Zustellung einer E-mail im Fall, dass Ihr SMS-Guthaben niedrig ist."
"Email for delivery reports:","E-mail für den Empfang der Sendebestätigungen:"
"Allows to receive email with delivery report of SMS.","Ermöglicht es, eine E-mail mit der Nachricht über die Zustellung der SMS zu empfangen."
"Admin was created.","Administrator wurde erstellt."
"You have to agree with licence terms.","Sie müssen den Linzenzbedingungen abstimmen."
"Account was created.","Ihre Registrierung wurde erfolgreich eingerichtet. Wir haben an Sie eine E-mail für Bestätigung Ihrer E-mail-Adresse geschickt. Sie haben 5 Credit-Points für Ihr Guthabenkonto gewonnen."
"you can add another account after ","Das nächste Konto können Sie hinzufügen in"
"minutes","Minuten"
"can not connect to SMS server","Verbindung zum SMS-Server konnte nicht hergestellt werden"
"You were succesfully loged in.","Sie wurden erfolgreich angemeldet."
"error","Fehler"
"login error","Fehler bei der Anmeldung"
"Invalid e-mail for delivery report.","Ungültige E-mail für Nachrichten über die Zustellung."
"Invalid e-mail","Ungültige E-mail."
"Account was changed.","Das Konto wurde verändert."
"Account was changed, but module URL for DR does not answer."," Das Konto wurde verändert, aber stimmt nicht mit dem URL-Modul für Nachrichten über Zustellung überein."
"you can change account after ","Sie können Ihr Konto verändern in"
" seconds"," Sekunden"
"Invalid name","Ungültiger Name"
"Invalid number","Ungültige Nummer"
"Admin was changed.","Administrator wurde verändert."
"Admin was deleted.","Administrator wurde gelöscht."
"no changes were made","Es wurden keine Veränderungen durchgeführt"
"Are you sure to delete","Wünschen Sie wirklich beseitigen"
"DELETE administrator","Administrator LÖSCHEN"
"EDIT administrator","Administrator BEARBEITEN"
"in international format, no leading zeros or a “+” sign, e.g., 447971796595","in einem internationalen Format, ohne führende Nullen oder Zeichen „+“, z. B.: 491721234567"
"(when uninstall)","(bei Deinstallierung)"
"(0 = no alert)","(0 = ohne Hinweis)"
"Fill in username and password.","Geben Sie Benutzername und Passwort ein"
"Customer SMS - ","Kunden-SMS - "
"Customer SMS - not active"," Kunden-SMS - nicht aktiv"
"default","ausgangs"
" language version"," Sprachversion"
"Select events during which shall be customer notified via SMS and customize text of messages. You can also add a new language version of SMS messages for each country separately. In countries with undefined language version will be used default language version.","Wählen sie Ereignisse aus, bei denen der Kunde durch SMS-Benachrichtigung aufmerksam gemacht wird und definieren Sie den Text für diese Nachrichten. Für verschiedene Länder können Sie auch verschiedene Sprachvariationen der SMS-Benachrichtigungen erstellen. Bei den Staaten mit undefinierten Variation wird die Ausgangsversion benutzt. "
"Add SMS text version","Sprachvariation hinzufügen"
"Select country: ","Wählen Sie Land aus: "
"Unicode SMS","Unicode SMS"
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70)."," Nur auswählen, falls Sie in der Nachricht diakritische Zeichen oder Sprachen wie Chinesisch, Arabisch, Griechisch, Hebräisch, Koreanisch, usw. benutzen möchten. (Unicode ermöglicht es, gleichzeitig verschiedene Schriften und Symbolen zu benutzen. Die maximale Anzahl der Zeichen in einer Unicodenachricht beträgt 70)."
"Order status","Status IhrerBestellung"
"Sending notifications via SMS is ACTIVE"," Absenden der SMS-Notifikationen ist AKTIV."
"Sending notifications via SMS is NOT ACTIVE. To activate SMS sending check „Active“ in desired status detail."," Absenden der SMS-Notifikationen ist NICHT AKTIV. Versenden der SMS aktivieren Sie durch das Ankreuzen „aktiv“ im Detail des verlangten Zustands."
" Update of order status "," Aktualisierung des status Ihrer Bestellung"
"Account","Konto"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register."," Benutzerprofil ist nicht aktiv! Registrieren Sie sich durch Anklicken der Registerkarte SMS im Hauptmenü. Modul zeigt Ihnen das Registrierungsformular an. Falls Sie das Modul schon in der Vergangenheit benutzt haben und Sie Ihren Benutzernamen und Passwort kennen, verwenden Sie das Formular für ein bestehendes Konto. Anderenfalls geben Sie Ihre E-mail-Adresse an, stimmen Sie den Lizenzbedingungen zu und klicken Sie auf ""Registrieren""."
"Invalid SMS text","Ungültiger Text der SMS-Benachrichtigung"
"Text of SMS was saved.","Text der SMS-Benachrichtigung wurde gespeichert."
"SMS text version was deleted.","Sprachenvariation wurde beseitigt."
"Are you sure to delete","Wünschen Sie sich wirklich beseitigen"
"DELETE language version","Sprachemutation BESEITIGEN"
"SMS text","Text der SMS-Benachrichtigung"
"unicode","unicode"
"SMS text version for ","Sprachenmutation für "
" was saved"," wurde gespeichert"
"Preview","Ansicht"
"Active","aktiv"
"Save","Speichern"
"Cancel","Abbrechen"
"total sms:","insgesamt SMS:"
"EDIT language version","Sprachenvariation BEARBEITEN"
"Edit","Bearbeiten"
"Add","hinzufügen"
"Order","Bestellen"
"Chars","Zeichen"
"Unicode was saved.","Unicode wurde gespeichert."
"Restore unsaved changes to its original state.","Gibt ungespeicherte Veränderungen zurück in den ursprünglichen Zustand."
"Purchase Credit","Guthaben kaufen"
"Purchase Credit - not active","Guthaben einkaufen - nicht aktiv"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register."," Benutzerprofil ist nicht aktiv! Registrieren Sie sich durch Anklicken der Registerkarte SMS im Hauptmenü. Modul zeigt Ihnen das Registrierungsformular an. Falls Sie das Modul schon in der Vergangenheit benutzt haben und Sie Ihren Benutzernamen und Passwort kennen, verwenden Sie das Formular für ein bestehendes Konto. Anderenfalls geben Sie Ihre E-mail-Adresse an, stimmen Sie den Lizenzbedingungen zu und klicken Sie auf ""Registrieren""."
" In case methods for credit purchase are not displayed properly, please click here:","Falls kein Auswahl von Möglichkeiten des Aufladens von Guthaben angezeigt wird, klicken Sie bitte hier: "
"Bulk SMS text","Text der Sammelnachricht"
"Add recipients ","Empfänger hinzufügen"
"Add one or more recipients separated by commas. Number must be in international format, no leading zeros or “+“ sign."," Fügen Sie einen oder mehrehre Empfänger durch die Komma getrennt hinzu. Die Nummer muss im internationalen Format, ohne führende Nullen und„+“ Zeichen, zum Beispiel.: 491721234567 eingegeben werden"
" (e.g. 447971796595)"," (z.B.: 491721234567)"
"Enter SMS text","Geben Sie den Text der SMS-Benachrichtigung ein."
"Add recipients in CSV file ","Fügen Sie den Empfänger in die CSV-Datei hinzu"
"CSV file - 1 column, 1st column - number (Number must be in international format, no leading zeros or “+“ sign; e.g. 447971796595)","CSV-Datei 1 Spalte, 1. Spalte - Nummer (Die Nummer muss im internationalen Format, ohne führende Nullen und „+“ Zeichen, zum Beispiel.: 491721234567 eingegeben werden"
" Unicode "," Unicode "
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70)."," Nur auswählen, falls Sie in der Nachricht diakritische Zeichen oder Sprachen wie Chinesisch, Arabisch, Griechisch, Hebräisch, Koreanisch, usw. benutzen möchten. (Unicode ermöglicht es, gleichzeitig verschiedene Schriften und Symbolen zu benutzen. Die maximale Anzahl der Zeichen in einer Unicodenachricht beträgt 70)."
"Your time: ","Ihre Zeit: "
"Time: ","Zeit: "
"time zone: ","Zeitzone: "
"time zone settings","Einstellung der Zeitzone"
"Text is too long","Der Text ist zu lang"
"Send SMS","SMS absenden"
"Send","Absenden"
"Send SMS or bulk SMS. Enter mobile numbers or upload CSV file.","Absenden der SMS oder der Sammelnachricht. Fügen sie Telefonnummer oder nehmen Sie CSV-Datei ein."
"Send SMS - not active","SMS Absenden - nicht aktiv"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register."," Benutzerprofil ist nicht aktiv! Registrieren Sie sich durch Anklicken der Registerkarte SMS im Hauptmenü. Modul zeigt Ihnen das Registrierungsformular an. Falls Sie das Modul schon in der Vergangenheit benutzt haben und Sie Ihren Benutzernamen und Passwort kennen, verwenden Sie das Formular für ein bestehendes Konto. Anderenfalls geben Sie Ihre E-mail-Adresse an, stimmen Sie den Lizenzbedingungen zu und klicken Sie auf ""Registrieren""."
"Fill in SMS text.","Geben Sie den Text der SMS-Benachrichtigung ein"
"SMS text is too long (max. 612 characters).","Text der SMS-Benachrichtigung ist zu lang (max. 612 Zeichen)."
"SMS text is too long (max. 268 unicode characters)."," Text der SMS-Benachrichtigung ist zu lang (max. 268 unicode Zeichen)."
"Wrong time of SMS sending.","Falsche Zeit des SMS-Versands."
"Recipients found: 0","Empfänger gefunden: 0"
"You do not have enough credit to send SMS to all ","Sie haben nicht genug Guthaben für Versand der Nachricht an alle"
" recipients."," Empfänger."
"SMS was sent.","SMS-Benachrichtigung wurde abgesendet."
"SMS was saved.","SMS-Benachrichtigung wurde gespeichert."
"wrong number or unavailable","Falsche oder unerreichbare Telefonnnummer"
"unauthorized senderID in confirmation sms","nicht autorisierte ID des Absenders in der Bestätigungs-SMS"
"low credit for sending sms","niedriges Guthaben für Versans der SMS-Benachrichtigung "
"unicode is not supported","unicode wird nicht unterstützt"
"login error","Fehler bei der Anmeldung"
"can not connect to SMS server","Verbindung zum SMS-Server ist nicht möglich"
"SMS SIMULATION (Sending of SMS was simulated. Recipient will not receive SMS)","SMS SIMULATION (Absenden der SMS wurde simuliert. Empfänger erhält keine SMS-Benachrichtigung.)"
"SMS was sent (simulation).","SMS wurde abgesendet (Simulation)."
"error","Fehler"
" Send later "," später Absenden "
"Characters: ","Zeichen: "
"1hr","1Uhr"
"Date: ","Datum: "
"SMS Answers","SMS Antworte"
"SMS answer from customer is displayed only when customer receives SMS from your shop with SMS sender type „System number“ and customer replies using his own mobile phone.","SMS-Antwort des Kunden ist nur sichtbar, falls der Kunde aus Ihrem Geschäft eine SMS mit dem Typ des Absenders ""Systemnummer"" erhält und der Kunde von der gleichen Nummer antwortet."
"Show","Anzeigen"
"Search results ","Suchergebnis "
" of "," aus "
"SMS center","SMS-Zentrum"
"Date","Datum"
"From number","von der Nummer"
"new","neu"
"Previous"," vorangehend "
"Next","nächste"
" Page: "," Seite: "
"SMS Answers - not active","SMS-Antworte - nicht aktiv"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register."," Benutzerprofil ist nicht aktiv! Registrieren Sie sich durch Anklicken der Registerkarte SMS im Hauptmenü. Modul zeigt Ihnen das Registrierungsformular an. Falls Sie das Modul schon in der Vergangenheit benutzt haben und Sie Ihren Benutzernamen und Passwort kennen, verwenden Sie das Formular für ein bestehendes Konto. Anderenfalls geben Sie Ihre E-mail-Adresse an, stimmen Sie den Lizenzbedingungen zu und klicken Sie auf ""Registrieren""."
"year","Jahr"
"month","Monat"
"SMS","SMS"
"Text:","Text:"
"Total SMS answers: 0","insgesamt SMS-Antworten: 0"
"SENT to recipient","ABGESENDET an Empfänger"
"ERROR","FEHLER"
"DELIVERED to recipient","ZUGESTELLT an Empfänger"
"RECIPIENT UNAVAILABLE","EMPFÄNGER UNERREICHBAR"
"SMS History","SMS-Geschichte"
"History of sent SMS from SMS module.","Verlauf der abgesendeten SMS-Benachrichtigungen von dem SMS Modul."
" admin sms"," admin-sms"
" customer sms"," kunden-sms"
" marketing sms"," marketing-sms"
" simple sms"," einfache-sms"
"Show","Anzeigen"
"Search results ","Suchergebnis "
" of "," aus "
"Type","Typ"
"Date","Datum"
"SMS subject","SMS Gegenstand"
"Number","Nummer"
"yes","ja"
"no","nein"
"system number","Systemnummer"
"Credit balance:","Zustand des Konto:"
"Display customer detail","Detail des Kunden anzeigen"
"Text:","Text:"
"Total SMS:","insgesamt SMS:"
"SMS History - not active","SMS Geschichte - nicht aktiv"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register."," Benutzerprofil ist nicht aktiv! Registrieren Sie sich durch Anklicken der Registerkarte SMS im Hauptmenü. Modul zeigt Ihnen das Registrierungsformular an. Falls Sie das Modul schon in der Vergangenheit benutzt haben und Sie Ihren Benutzernamen und Passwort kennen, verwenden Sie das Formular für ein bestehendes Konto. Anderenfalls geben Sie Ihre E-mail-Adresse an, stimmen Sie den Lizenzbedingungen zu und klicken Sie auf ""Registrieren""."
"SMS price in credits:","Preis in EUR"
"year","Jahr"
"month","Monat"
"Status","Zustand"
"Recipient","Empfänger"
"Unicode:","Unicode:"
"senderID:","Telefonnummer des Absenders:"
"Previous","vorhergehende"
"Next","nächste"
" Page: "," Seite: "
"Total SMS: 0","insgesamt SMS: 0"
"SMS","SMS"
"SMS Marketing - bulk SMS text","SMS Marketing - Text der SMS-Benachrichtigung"
"Enter SMS text","Geben Sie den Text der SMS-Benachrichtigung ein"
" Unicode "," Unicode "
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70)."," Nur auswählen, falls Sie in der Nachricht diakritische Zeichen oder Sprachen wie Chinesisch, Arabisch, Griechisch, Hebräisch, Koreanisch, usw. benutzen möchten. (Unicode ermöglicht es, gleichzeitig verschiedene Schriften und Symbolen zu benutzen. Die maximale Anzahl der Zeichen in einer Unicodenachricht beträgt 70)."
" Send later "," Später absenden"
"Your time: ","Ihre Zeit: "
"Total customers:","insgesamt Kunden:"
"Total SMS:","insgesamt SMS:"
"SMS Marketing - bulk SMS filter","SMS Marketing - Filter der Sammel-Benachrichtigungen "
"All customers","Alle Kunden"
"company customers","Firmenkunden"
"private customers","Private Personen"
"All countries","Alle Staaten"
"Last name:","Familienname:"
"First name:","Name:"
"Last name"," Familienname"
"First name","Name"
"Groups:","Gruppen:"
"All","Alle"
"Gender:","Geschlecht:"
"Male","männlich"
"Female","weiblich"
"Newsletter:"," Newsletter "
"Yes","Ja"
"No","Nein"
"Apply filter","Filter benutzen"
"Date of birth from: ","Geburtsdatum seit: "
"to: ","bis: "
"Date of registration from: ","Registrierungsdatum seit: "
"Customers found: ","Kunden gefunden: "
"results","angezeigt"
"Action","Aktion"
"Mobile number","Telefonnummer"
"Customer ID","Kundennummer"
"REMOVE customer from this list","Kunden von dieser Liste ENTFERNEN"
"Next","Nächste"
"Previous","Vorhergehende"
" Page: "," Seite: "
"SMS Marketing - customers found: ","SMS Marketing - Kunden gefunden: "
"Write text of message and use advanced filter to target your marketing campaign.","Schreiben Sie den Text in die Nachricht und nutzen Sie die Einstellung „erweiterte Filter“ für Zielerreichung Ihrer Marketing-kampagne."
"Marketing SMS","Marketing SMS"
"SMS Marketing - not active","SMS Marketing - nicht aktiv"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Benutzerprofil ist nicht aktiv! Registrieren Sie sich durch Anklicken der Registerkarte SMS im Hauptmenü. Modul zeigt Ihnen das Registrierungsformular an. Falls Sie das Modul schon in der Vergangenheit benutzt haben und Sie Ihren Benutzernamen und Passwort kennen, verwenden Sie das Formular für ein bestehendes Konto. Anderenfalls geben Sie Ihre E-mail-Adresse an, stimmen Sie den Lizenzbedingungen zu und klicken Sie auf ""Registrieren""."
"Fill in SMS text","Füllen Sie den Text der SMS-Benachrichtigung aus."
"SMS text is too long (max. 612 characters).","Text der SMS-Benachrichtigung ist zu lang (max. 612 Zeichen)."
"SMS text is too long (max. 268 unicode characters).","Text der SMS-Benachrichtigung ist zu lang (max. 268 Unicode-Zeichen)."
"Customers found: 0","Kunden gefunden: 0"
"Wrong time of SMS sending."," Falsche Zeit des SMS-Versands."
"You do not have enough credit to send SMS to all ","Sie haben nicht genug Guthaben für den Versand der SMS-Benachrichtigung an alle."
" customers."," Kunde."
"SMS was sent."," SMS-Benachrichtigung wurde abgeschickt."
"SMS was saved."," SMS-Benachrichtigung wurde gespeichert."
"wrong number or unavailable","falsche oder unerreichbare Nummer"
"unauthorized senderID in confirmation sms","unautorisierte ID des Absenders in der Bestätigung-SMS "
"low credit for sending sms","niedriges Guthaben für Absenden der SMS-Benachrichtigung"
"unicode is not supported","unicode wird nicht unterstützt"
"can not connect to SMS server"," Verbindung zum SMS-Server konnte nicht hergestellt werden."
"SMS SIMULATION (Sending of SMS was simulated. Recipient will not receive SMS)","SMS SIMULATION (Versand der SMS wurde simuliert. Der Emfänger erhält keine SMS-Benachrichtigung.)"
"SMS was sent (simulation).","SMS wurde gesendet (Simulation)."
"error","Fehler"
"login error","Fehler der Anmeldung"
"Date:","Datum:"
"Time: ","Zeit: "
"1hr","1 Uhr"
"time zone: ","Zeitzone: "
"time zone settings","Einstellung der Zeitzone"
"Send","Absenden"
"Characters: ","Zeichen: "
"Text is too long","Der Text ist zu lang."
"Type:","Typ:"
"Country:","Land:"
"City:","Stadt:"
"Advert:","Werbung:"
"Store:","Geschäft:"
"All stores","alle Geschäfte"
"Presta SMS","Presta SMS"
"presta-sms.com - send SMS from your Prestashop!","presta-sms.com - schicken Sie SMS-Benachrichtigungen von Ihrem Prestashop!"
"Admin SMS","Admin SMS"
"Customer SMS","Kunden-SMS"
"SMS Settings","Einstellung der SMS"
"SMS History","SMS-Geschichte"
"Purchase Credit","Guthaben kaufen"
"Marketing SMS","Marketing-SMS"
"SMS Answers","SMS-Antworte"
"Send SMS","SMS senden"
"About","Vom Modul"
"wrong number or unavailable","Falsche oder unerreichbare Nummer"
"unauthorized senderID in confirmation sms","unautorisierte ID des Absenders in der Bestätigungsnachricht"
"low credit for sending sms","niedriges Guthaben für Versand der SMS-Benachrichtigung"
"unicode is not supported","unicode ist nicht unterstützt"
"login error","Fehler der Anmeldung"
"can not connect to SMS server"," niedriges Guthaben für Versandder SMS-Benachrichtigung "
"SMS SIMULATION (Sending of SMS was simulated. Recipient will not receive SMS)","SMS SIMULATION (Absenden der SMS wurde simuliert. Empfänger erhält keine SMS-Benachrichtigung.)"
"unknown mobile number","unbekannte Nummer"
"not connected to SMS server","zum SMS-Server nicht angeschlossen"
"New orders","Neue Bestellungen"
"New order from {customer_firstname} {customer_lastname}, customer id: {customer_id}, order id: {order_id}, payment: {order_payment}, amount: {order_total_paid} {order_currency}. Order: {newOrder2}. Info from {shop_name}.","Neue Bestellung von {customer_firstname} {customer_lastname}, Kunde: {customer_id}, Bestellung: {order_id}, Zahlung: {order_payment}, Betrag: {order_total_paid} {order_currency}. Bestellung: {newOrder2}. Info von {shop_name}."
"Your order {order_id} was successfully created, payment: {order_payment}, amount: {order_total_paid} {order_currency}. Have a nice day, {shop_name}.","Ihre Bestellung {order_id} wurde erflogreich abgeschlossen Zahlung: {order_payment}, Betrag: {order_total_paid} {order_currency}. Wir wünschen Ihnen noch einen schönen Tag. {shop_name}."
"Possible variables:","Anwendbare Parameter:"
"Successful customer create account","Erfolgreiche Erstellung eines Kundenkontos"
"Customer {customer_firstname} {customer_lastname}, id: {customer_id}, has just subscribed to {shop_name}.","Kunde {customer_firstname} {customer_lastname}, id: {customer_id}, hat sich gleich registriert in {shop_name}."
"Dear {customer_firstname} {customer_lastname}, your account in {shop_name} was successfully created. Your username: {customer_email}. Have a nice day!","Sehr geehrte/geehrter {customer_firstname} {customer_lastname}, Ihr Konto bei {shop_name} wurde erfolgreich eingerichtet. Benutzername: {customer_email}. Wir wünschen Ihnen noch einen schönen Tag."
"Product returned","Ware wurde zurückgegeben."
"Customer {customer_firstname} {customer_lastname}, id: {customer_id}, has returned product from order {order_id}. Order: {orderReturn2}. Customer text: {customer_question}. Info from {shop_name}.","Kunde {customer_firstname} {customer_lastname}, id: {customer_id}, hat Ware von der Bestellung {order_id} zurückgestellt. Bestellung: {orderReturn2}. Nachricht von dem Kunde: {customer_question}. Info von {shop_name}."
"We have received your request. Order {order_id}. Have a nice day, {shop_name}.","Wir haben Ihre Anforderung erhalten. Bestellung {order_id}. Wir wünschen Ihnen noch einen schönen Tag. , {shop_name}."
"Called when a quantity of one product change in an order","MItteilung im Fall, dass die Anzahl eines der bestellten Produkten verändert wurde."
"In order {order_id} was changed quantity, {orderSlip2}. Info from {shop_name}.","In Bestellung {order_id} wurde Anzahl verändert, {orderSlip2}. Info von {shop_name}."
"In your order {order_id} was changed quantity, {orderSlip2}. Have a nice day, {shop_name}.","In Ihre Bestellung Nr. {order_id} wurde Anzahl verändert, {orderSlip2}. Wir wünschen Ihnen noch einen schönen Tag. {shop_name}."
"Payment confirmation","Zahlungsbestätigung"
"Payment confirmation, order id: {order_id}, payment: {order_payment}, amount: {order_total_paid} {order_currency}. Info from {shop_name}."," Zahlungbestätigung , Bestellung Nr.: {order_id}, Zahlung: {order_payment}, Betrag: {order_total_paid} {order_currency}. Info von: {shop_name}."
"We have successfully received payment for your order {order_id} via {order_payment}, amount: {order_total_paid} {order_currency}. Have a nice day, {shop_name}.","Wir haben die Zahlung für Ihre Bestellung erhalten {order_id} über {order_payment}, Betrag: {order_total_paid} {order_currency}. Wir wünschen Ihnen noch einen schönen Tag. , {shop_name}."
"Update of tracking number in order","Aktualisierung der Bestellung - vom Spediteur zugeteilte Nummer der Sendung"
"Order {order_id} was updated, tracking number is {order_shipping_number}. Info from {shop_name}.","Bestellung Nr. {order_id} wurde aktualisiert mit der Nummer der Sendung {order_shipping_number} von dem Spediteur zugeteilt. Info von {shop_name}."
"Dear Customer, your order {order_id} was shipped, tracking number is {order_shipping_number}. Have a nice day, {shop_name}.","Sehr geehrter Kunde, die Ware aus Ihrer Bestellung Nr. {order_id} wurde abgeschickt, die vom Spediteur zugeteilte Sendungsnummer lautet {order_shipping_number}. Wir wünschen Ihnen noch einen schönen Tag. , shop_name}."
"Called when a product is deleted"," Produkt aus der Datenbank löschen "
"This product was deleted from {shop_name}, id: {product_id}, ref: {product_ref}, name: {product_name}. Deleted by user {employee_id}, {employee_email}.","Dieser Produkt wurde von {shop_name} gelöscht, id: {product_id}, ref: {product_ref}, Name: {product_name}. Gelöscht von Benutzer: {employee_id}, {employee_email}."
