"lang_iso_code","pl"
"Save","Zapisz"
"Cancel","Anuluj"
"Restore unsaved changes to its original state.","Niezapisane zmiany powrócš do pierwotnego stanu."
"User profile - not active","Profil użytkownika - nieaktywny"
"User profile - active","Profil użytkownika - aktywny"
"New user account","Nowe konto użytkownika"
"Not registered yet? Create account now!","Nie jesteś zarejestrowany? Załóż konto teraz!"
"Email:","Email:"
"Company name:","Nazwa firmy:"
"Street:","Ulica:"
"City:","Miasto:"
"ZIP:","Kod pocztowy:"
"Country:","Kraj:"
"Company ID:","REGON:"
"Company VAT:","NIP:"
"Referer ID:","ID Referer:"
"View licence terms:","Pokaż warunki licencyjne"
"I agree","Zgadzam się"
"I dont agree","Nie zgadzam się"
"Register","Rejestracja"
"Required field","Pole wymagane"
"Sign in","Login"
"If You already have an account, please sign in.","Jeśli masz już konto, zaloguj się"
"Username:","Użytkownik:"
"Password:","Hasło:"
"Log in","Login"
"Edit user account","Edycja konta użytkownika"
"Save","Zapisz"
"User account info","Informacje o koncie użytkownika"
"SMS Credit:","SMS credit:"
"Add administrators","Dodaj Administratora"
"Name:","Nazwa:"
"Mobile number:","Numer komórkowy:"
"Edit","Edytuj"
"Add","Dodaj"
"Other settings","Inne ustawienia"
"Simulate SMS sending:","Symulować wysłanie SMS:"
"Allows to test sending of SMS in modul and to view sent SMS in SMS history with a special status.","Pozwala na przetestowanie wysyłania SMS i pokazanie testowego SMS w zakładce Historia SMS."
"Delete database:","Usuń bazę danych:"
"Allows to decide if current SMS settings and database of sent SMS shall be stored when uninstalling SMS module.","Pozwala zdecydować, czy zachować istniejące ustawienia i bazę danych wysłanych wiadomości SMS w przypadku odinstalowania modułu SMS-Prestashop"
"Delivery reports:","Potwierdzenie dostarczenia (DR):"
"Allows to see delivery reports of SMS in SMS history Tab.","Pokaż potwierdzenie dostarczenia w zakładce Historia SMS."
"Low credit alert:","Powiadomienie o niskim kredycie:"
" Allows to receive email when your SMS credit is low.","Możliwość otrzymania e-maila, w przypadku, że SMS credit jest niski."
"Email for delivery reports:","Email o przyjęciu potwierdzenia:"
"Allows to receive email with delivery report of SMS.","Możliwość otrzymania e-maila z potwierdzeniem dostarczenia SMS."
"Admin was created.","Administrator został utworzony."
"You have to agree with licence terms.","Musisz zaakceptować warunki licencji."
"Account was created.","Rejestracja została zakończnona. Do Twojej skrzynki wysłaliśmy emial potwierdzający rejestrację oraz 5 darmowych creditów."
"you can add another account after ","Kolejne konto możesz dodać za"
"minutes","minut"
"can not connect to SMS server","Nie można połączyć się z serwerem SMS"
"You were succesfully loged in.","Zostałeś pomyślnie zalogowany."
"error","Błąd"
"login error","Błąd logowania"
"Invalid e-mail for delivery report.","Nieaktualny email na przesyłanie potwierdzeń dostarczenia."
"Invalid e-mail","Nieprawidłowy adres e-mail"
"Account was changed.","Konto zostało zmienione."
"Account was changed, but module URL for DR does not answer.","Konto zostało zmienione, ale URL SMS modułu dla potwierdzeń dostarczenia nie odpowiada."
"you can change account after ","Konto można zmienić za "
" seconds"," sekund"
"Invalid name","Nieprawidłowa nazwa"
"Invalid number","Nieprawidłowy numer"
"Admin was changed.","Administrator został zmieniony."
"Admin was deleted.","Administrator został usunięty."
"no changes were made","nie dokonano żadnych zmian"
"Are you sure to delete","Czy na pewno chcesz usunąć"
"DELETE administrator","USUŃ administratora"
"EDIT administrator","EDYTUJ administratora "
"in international format, no leading zeros or a “+” sign, e.g., 447971796595","W formacie międzynarodowym, bez zer lub znaku “+”, np. 48501041324"
"(when uninstall)","(Podczas odinstalowania)"
"(0 = no alert)","(0 = brak ostrzeżenia)"
"Fill in username and password.","Wprowadź nazwę użytkownika i hasło"
"Customer SMS - ","SMS klienta - "
"Customer SMS - not active","SMS klienta - nieaktywny"
"default","domyślny"
" language version","język"
"Select events during which shall be customer notified via SMS and customize text of messages. You can also add a new language version of SMS messages for each country separately. In countries with undefined language version will be used default language version.","Wybierz zdarzenia, podczas których klient będzie powiadamiany za pośrednictwem SMS i zdefiniuj tekst tych wiadomości. Dla różnych krajów można stworzyć różne wersje językowe komunikatów SMS. Dla krajów o niezdefiniowanych mutacjach będzie użyta wersja domyślna"
"Add SMS text version","Dodaj wersję językową"
"Select country: ","Wybierz kraj: "
"Unicode SMS","Unicode SMS"
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70).","Zaznacz jedynie jeśli w wiadomości chcesz używać znaków diakrytycznych lub języków, takich jak chiński, arabski, grecki, hebrajski, koreański, itp.. (Unicode pozwala na użycie różnych czcionek jednocześnie i symbole. Liczba znaków w Unicode wiadomości to 70)."
"Order status","Stan zamówienia"
"Sending notifications via SMS is ACTIVE","Wysyłanie powiadomień SMS jest AKTYWNE."
"Sending notifications via SMS is NOT ACTIVE. To activate SMS sending check „Active“ in desired status detail.","Wysyłanie powiadomień SMS jest NIEAKTYWNE. Aktywuj wysyłanie SMS zaznaczając „Aktywny“ w szczegółach wybranego statusu."
" Update of order status ","Aktualizacja stanu zamówienia"
"Account","Konto"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Profil użytkownika nie jest aktywny! Dokonaj rejestracji, klikając na zakładkę SMS w głównym menu. Moduł udostępni formularz rejestracyjny. Jeśli korzystałeś w przeszłości i znasz swoją nazwę użytkownika i hasło, należy wypełnić formularz dla istniejącego konta. W innym przypadku, wpisz adres e-mail, zaakceptuj warunki umowy licencyjnej i kliknij na ""Zarejestruj ""."
"Invalid SMS text","Nieprawidłowy tekst wiadomości SMS"
"Text of SMS was saved.","Tekst SMS został zapisany."
"SMS text version was deleted.","Wersja językowa została usunięta."
"Are you sure to delete","Czy na pewno chcesz usunąć"
"DELETE language version","USUŃ wersję językową"
"SMS text","tekst SMS"
"unicode","unicode"
"SMS text version for ","Wersja językowa dla "
" was saved"," została zapisana"
"Preview","Podgląd"
"Active","Aktywny"
"Save","Zapisz"
"Cancel","Anuluj"
"total sms:","całkiem sms:"
"EDIT language version","EDYTUJ wersję językową"
"Edit","Edytuj"
"Add","Dodaj"
"Order","Zamówienie"
"Chars","Znaków"
"Unicode was saved.","Unicode został zapisany."
"Restore unsaved changes to its original state.","Niezapisane zmiany powrócš do pierwotnego stanu."
"Purchase Credit","Doładuj"
"Purchase Credit - not active","Doładuj - nieaktywne"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Profil użytkownika nie jest aktywny! Dokonaj rejestracji, klikając na zakładkę SMS w głównym menu. Moduł udostępni formularz rejestracyjny. Jeśli korzystałeś w przeszłości i znasz swoją nazwę użytkownika i hasło, należy wypełnić formularz dla istniejącego konta. W innym przypadku, wpisz adres e-mail, zaakceptuj warunki umowy licencyjnej i kliknij na ""Zarejestruj ""."
" In case methods for credit purchase are not displayed properly, please click here:","Jeli nie pokazuje się opcja doładowania kredytu, kliknij tutaj:"
"Bulk SMS text","Tekst zbiorowej wiadomości SMS"
"Add recipients ","Dodaj odbiorcę"
"Add one or more recipients separated by commas. Number must be in international format, no leading zeros or “+“ sign.","Dodaj jednego lub więcej odbiorców, rozdzielając przecinkami. Liczba musi być w międzynarodowym formacie, bez zer lub znaku “+”, np. 48501041324"
" (e.g. 447971796595)"," (np. 48501041324)"
"Enter SMS text","Wpisz tekst wiadomości SMS"
"Add recipients in CSV file ","Dodaj odbiorców w pliku CSV"
"CSV file - 1 column, 1st column - number (Number must be in international format, no leading zeros or “+“ sign; e.g. 447971796595)","Plik CSV - 1 kolumna, 1.kolumna - liczba (liczba musi być w formacie międzynarodowym, bez zer lub znaku “+”, np. 48501041324)"
" Unicode "," Unicode "
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70).","Zaznacz jedynie jeśli w wiadomości chcesz używać znaków diakrytycznych lub języków, takich jak chiński, arabski, grecki, hebrajski, koreański, itp.. (Unicode pozwala na użycie różnych czcionek jednocześnie i symbole. Liczba znaków w Unicode wiadomości to 70)."
"Your time: ","Twój czas: "
"Time: ","Czas: "
"time zone: ","strefa czasowa "
"time zone settings","ustawienie strefy czasowej"
"Text is too long","Tekst jest zbyt długi"
"Send SMS","Wyślij SMS"
"Send","Wyślij"
"Send SMS or bulk SMS. Enter mobile numbers or upload CSV file.","Wysyłanie SMS lub zbiorowych SMS. Wpisz numery telefonów lub wgraj plik CSV"
"Send SMS - not active","Wyślij SMS - nieaktywny"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Profil użytkownika nie jest aktywny! Dokonaj rejestracji, klikając na zakładkę SMS w głównym menu. Moduł udostępni formularz rejestracyjny. Jeśli korzystałeś w przeszłości i znasz swoją nazwę użytkownika i hasło, należy wypełnić formularz dla istniejącego konta. W innym przypadku, wpisz adres e-mail, zaakceptuj warunki umowy licencyjnej i kliknij na ""Zarejestruj ""."
"Fill in SMS text.","Wypełnij tekst wiadomości SMS"
"SMS text is too long (max. 612 characters).","SMS jest zbyt długi (max. 612 znaków)."
"SMS text is too long (max. 268 unicode characters).","SMS jest zbyt długi (max. 268 znaków unicode)."
"Wrong time of SMS sending.","Nieprawidłowy czas wysłania SMS."
"Recipients found: 0","Znaleziono odbiorców: 0"
"You do not have enough credit to send SMS to all ","Nie masz wystarczających środków na wysyłanie wiadomości SMS do wszystkich"
" recipients.","odbiorców"
"SMS was sent.","SMS został wysłany."
"SMS was saved.","SMS został zapisany."
"wrong number or unavailable","Błędny lub niedostępny numer "
"unauthorized senderID in confirmation sms","nieautoryzowane ID nadawcy w potwierdzającym SMS"
"low credit for sending sms","Niski kredyt na wysyłanie wiadomości SMS"
"unicode is not supported","Unicode nie jest obsługiwany"
"login error","Błąd logowania"
"can not connect to SMS server","Nie można połączyć się z serwerem SMS"
"SMS SIMULATION (Sending of SMS was simulated. Recipient will not receive SMS)","SYMULACJA SMS (wysyłanie SMS było symulowane. Odbiorca nie otrzyma SMS)."
"SMS was sent (simulation).","SMS został wysyłany (symulacja)."
"error","błąd"
" Send later "," Wyślij później"
"Characters: ","Znaków:"
"1hr","1godz."
"Date: ","Data:"
"SMS Answers","Odpowiedzi SMS"
"SMS answer from customer is displayed only when customer receives SMS from your shop with SMS sender type „System number“ and customer replies using his own mobile phone.","Odpowiedź SMS od klienta jest wyświetlana tylko wtedy, gdy klient z twojego sklepu otrzyma SMS z typem nadawcy ""Numer systemowy"" i klient odpowie z tego samego numeru telefonu."
"Show","Pokaż"
"Search results ","Wynik wyszukiwania "
" of "," z "
"SMS center","SMS centrum"
"Date","Data"
"From number","z numeru"
"new","nowy"
"Previous","Poprzedni"
"Next","Kolejny"
" Page: ","Strona:"
"SMS Answers - not active","SMS Odpowiedzi - nieaktywne"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Profil użytkownika nie jest aktywny! Dokonaj rejestracji, klikając na zakładkę SMS w głównym menu. Moduł udostępni formularz rejestracyjny. Jeśli korzystałeś w przeszłości i znasz swoją nazwę użytkownika i hasło, należy wypełnić formularz dla istniejącego konta. W innym przypadku, wpisz adres e-mail, zaakceptuj warunki umowy licencyjnej i kliknij na ""Zarejestruj ""."
"year","rok"
"month","miesiąc"
"SMS","SMS"
"Text:","Tekst:"
"Total SMS answers: 0","Całkiem odpowiedzi SMS: 0"
"SENT to recipient","WYSŁANO do odbiorcy"
"ERROR","BŁĄD"
"DELIVERED to recipient","DORĘCZONO odbiorcy"
"RECIPIENT UNAVAILABLE","ODBIORCA jest niedostępny"
"SMS History","Historia SMS"
"History of sent SMS from SMS module.","Historia wysłanych wiadomości SMS z SMS modułu."
" admin sms"," admin sms"
" customer sms"," sms klienta"
" marketing sms"," sms marketing"
" simple sms"," prosty sms"
"Show","Pokaż"
"Search results ","Wynik wyszukiwania "
" of "," z "
"Type","Typ"
"Date","Data"
"SMS subject","przedmiot SMS"
"Number","Numer"
"yes","tak"
"no","nie"
"system number","numer systemowy"
"Credit balance:","Status konta:"
"Display customer detail","Pokaż szczegóły klienta"
"Text:","Tekst:"
"Total SMS:","Całkiem SMS:"
"SMS History - not active","Historia SMS - nieaktywna"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Profil użytkownika nie jest aktywny! Dokonaj rejestracji, klikając na zakładkę SMS w głównym menu. Moduł udostępni formularz rejestracyjny. Jeśli korzystałeś w przeszłości i znasz swoją nazwę użytkownika i hasło, należy wypełnić formularz dla istniejącego konta. W innym przypadku, wpisz adres e-mail, zaakceptuj warunki umowy licencyjnej i kliknij na ""Zarejestruj ""."
"SMS price in credits:","sms price in credits:"
"year","rok"
"month","miesiąc"
"Status","Status"
"Recipient","Odbiorca"
"Unicode:","Unicode:"
"senderID:","Numer nadawcy:"
"Previous","Poprzedni"
"Next","Kolejny"
" Page: ","Strona:"
"Total SMS: 0","SMS całkiem: 0"
"SMS","SMS"
"SMS Marketing - bulk SMS text"," SMS Marketing - tekst zbiorowej wiadomości SMS"
"Enter SMS text","Wpisz tekst wiadomości SMS"
" Unicode "," Unicode "
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70).","Zaznacz jedynie jeśli w wiadomości chcesz używać znaków diakrytycznych lub języków, takich jak chiński, arabski, grecki, hebrajski, koreański, itp.. (Unicode pozwala na użycie różnych czcionek jednocześnie i symbole. Liczba znaków w Unicode wiadomości to 70)."
" Send later "," Wyślij później "
"Your time: ","Twój czas: "
"Total customers:","Całkiem klientów"
"Total SMS:","Całkiem SMS:"
"SMS Marketing - bulk SMS filter","SMS Marketing - filtr SMS zbiorowych"
"All customers","Wszyscy klienci"
"company customers","Firmowi klienci"
"private customers","Osoby prywatne"
"All countries","Wszystkie kraje"
"Last name:","Nazwisko:"
"First name:","Imię:"
"Last name","Nazwisko:"
"First name","Imię:"
"Groups:","Grupy:"
"All","Wszystkie"
"Gender:","Płeć"
"Male","Mężczyzna"
"Female","Kobieta"
"Newsletter:","Aktualności:"
"Yes","Tak"
"No","Nie"
"Apply filter","Zastosuj filtr"
"Date of birth from: ","Data urodzenia od:"
"to: ","do: "
"Date of registration from: ","Data rejestracji od:"
"Customers found: ","Znaleziono klientów: "
"results","pokazano"
"Action","Akcja"
"Mobile number","Numer telefonu"
"Customer ID","Numer klienta"
"REMOVE customer from this list","USUŃ klienta z listy"
"Next","Kolejny"
"Previous","Poprzedni"
" Page: ","Strona:"
"SMS Marketing - customers found: ","SMS Marketing - znaleziono klientów: "
"Write text of message and use advanced filter to target your marketing campaign.","Wpisz tekst wiadomości i skorzystaj z zaawansowanych filtrów do kierowania twojej kampanii marketingowej."
"Marketing SMS","Marketing SMS"
"SMS Marketing - not active","SMS Marketing - nieaktywny"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Profil użytkownika nie jest aktywny! Dokonaj rejestracji, klikając na zakładkę SMS w głównym menu. Moduł udostępni formularz rejestracyjny. Jeśli korzystałeś w przeszłości i znasz swoją nazwę użytkownika i hasło, należy wypełnić formularz dla istniejącego konta. W innym przypadku, wpisz adres e-mail, zaakceptuj warunki umowy licencyjnej i kliknij na ""Zarejestruj ""."
"Fill in SMS text","Wypełnij tekst SMS."
"SMS text is too long (max. 612 characters).","SMS jest zbyt długi (max. 612 znaków)."
"SMS text is too long (max. 268 unicode characters).","SMS jest zbyt długi (max. 268 znaków unicode)."
"Customers found: 0","Znaleziono klientów: 0"
"Wrong time of SMS sending."," Nieprawidłowy czas wysłania SMS ."
"You do not have enough credit to send SMS to all ","Nie masz wystarczających środków na wysyłanie wiadomości SMS do wszystkich"
" customers.","klientom."
"SMS was sent.","SMS został wysyłany."
"SMS was saved.","SMS został zapisany."
"wrong number or unavailable","Błędny lub niedostępny numer "
"unauthorized senderID in confirmation sms","nieautoryzowane ID nadawcy w potwierdzającym SMS"
"low credit for sending sms","Niski kredyt na wysyłanie wiadomości SMS"
"unicode is not supported","Unicode nie jest obsługiwany"
"can not connect to SMS server","Nie można połączyć się z serwerem SMS"
"SMS SIMULATION (Sending of SMS was simulated. Recipient will not receive SMS)","SYMULACJA SMS (wysyłanie SMS było symulowane. Odbiorca nie otrzyma SMS)."
"SMS was sent (simulation).","SMS został wysyłany (symulacja)."
"error","błąd"
"login error","błąd logowania"
"Date:","Data:"
"Time: ","Czas"
"1hr","1godz."
"time zone: ","strefa czasowa "
"time zone settings","ustawienie strefy czasowej"
"Send","Wyślij"
"Characters: ","Znaków:"
"Text is too long","Tekst jest zbyt długi"
"Type:","Typ:"
"Country:","Kraj:"
"City:","Miasto:"
"Advert:","Reklama:"
"Store:","Sklep:"
"All stores","Wszystkie sklepy"
"Presta SMS","Presta SMS"
"presta-sms.com - send SMS from your Prestashop!","presta-sms.com - wysyłaj wiadomości SMS ze swojego Prestashop!"
"Admin SMS","Admin SMS"
"Customer SMS","SMS Klienta"
"SMS Settings","Ustawienia SMS"
"SMS History","Historia SMS"
"Purchase Credit","Doładuj"
"Marketing SMS","Marketing SMS"
"SMS Answers","Odpowiedzi SMS"
"Send SMS","Wyślij SMS"
"About","O nas"
"wrong number or unavailable","Błędny lub niedostępny numer "
"unauthorized senderID in confirmation sms","nieautoryzowane ID nadawcy w potwierdzającym SMS"
"low credit for sending sms","Niski kredyt na wysyłanie wiadomości SMS"
"unicode is not supported","Unicode nie jest obsługiwany"
"login error","Błąd logowania"
"can not connect to SMS server","Niski kredyt na wysyłanie wiadomości SMS"
"SMS SIMULATION (Sending of SMS was simulated. Recipient will not receive SMS)","SYMULACJA SMS (wysyłanie SMS było symulowane. Odbiorca nie otrzyma SMS)."
"unknown mobile number","Nieznany numer"
"not connected to SMS server","Niepodłączono do serwera SMS"
"New orders","Nowe zamówienia"
"New order from {customer_firstname} {customer_lastname}, customer id: {customer_id}, order id: {order_id}, payment: {order_payment}, amount: {order_total_paid} {order_currency}. Order: {newOrder2}. Info from {shop_name}.","Nowe zamowienie od {customer_firstname} {customer_lastname}, id: {customer_id}, zamowienie: {order_id}, platnosc: {order_payment}, kwota: {order_total_paid} {order_currency}. Zamowienie: {newOrder2}. Info z {shop_name}."
"Your order {order_id} was successfully created, payment: {order_payment}, amount: {order_total_paid} {order_currency}. Have a nice day, {shop_name}.","Twoje zamowienie {order_id} zostalo pomyslnie utworzone, platnosc: {order_payment}, kwota: {order_total_paid} {order_currency}. Udanego dnia, {shop_name}."
"Possible variables:","Obowiązujące parametry:"
"Successful customer create account","Pomyślne utworzenie konta klienta"
"Customer {customer_firstname} {customer_lastname}, id: {customer_id}, has just subscribed to {shop_name}.","Klient {customer_firstname} {customer_lastname}, id: {customer_id}, Wlasnie dokonal rejestracji do {shop_name}."
"Dear {customer_firstname} {customer_lastname}, your account in {shop_name} was successfully created. Your username: {customer_email}. Have a nice day!","Szanowny Panie/ Szanowna Pani {customer_firstname} {customer_lastname}, twoje konto w {shop_name} zostalo pomyslnie utworzone. Nazwa użytkownika: {customer_email}. Udanego dnia!"
"Product returned","Towar zwrócono"
"Customer {customer_firstname} {customer_lastname}, id: {customer_id}, has returned product from order {order_id}. Order: {orderReturn2}. Customer text: {customer_question}. Info from {shop_name}.","Klient {customer_firstname} {customer_lastname}, id: {customer_id}, zwrocil towar z zamowienia {order_id}. Zamowienie: {orderReturn2}. Wiadomosc od klienta: {customer_question}. Info z {shop_name}."
"We have received your request. Order {order_id}. Have a nice day, {shop_name}.","Otrzymalismy Pana/i prosbe. zamowienie {order_id}. Udanego dnia, {shop_name}."
"Called when a quantity of one product change in an order","Zawiadomienie w przypadku gdy zmienia się ilość niektórych z zamawianych produktów."
"In order {order_id} was changed quantity, {orderSlip2}. Info from {shop_name}.","W zamowieniu {ORDER_ID} zmieniono ilosc, {orderSlip2}. Info z {shop_name}."
"In your order {order_id} was changed quantity, {orderSlip2}. Have a nice day, {shop_name}.","W twoim zamowieniu numer {order_id} zostala zmieniona ilosc, , {orderSlip2}. Udanego dnia, {shop_name}."
"Payment confirmation","Potwierdzenie zapłaty"
"Payment confirmation, order id: {order_id}, payment: {order_payment}, amount: {order_total_paid} {order_currency}. Info from {shop_name}.","Potwierdzenie zaplaty, zamowienie nr: {order_id}, platnosc: {order_payment}, kwota: {order_total_paid} {order_currency}. Info z {shop_name}."
"We have successfully received payment for your order {order_id} via {order_payment}, amount: {order_total_paid} {order_currency}. Have a nice day, {shop_name}.","Otrzymalismy zaplate za zamowienie {order_id} poprzez {order_payment}, kwota: {order_total_paid} {order_currency}. Udanego dnia, {shop_name}."
"Update of tracking number in order","Aktualizacja zamówienia - numer przesyłki przydzielony przez dostawcę"
"Order {order_id} was updated, tracking number is {order_shipping_number}. Info from {shop_name}.","Zamowienie nr {order_id} zostalo zaktualizowane o numer przesylki {order_shipping_number} przydzielony przez dostawce. Info z {shop_name}."
"Dear Customer, your order {order_id} was shipped, tracking number is {order_shipping_number}. Have a nice day, {shop_name}.","Szanowny kliencie, towar z twojego zamowienia nr {order_id} zostal wyslany, numer przesylki przydzielony przez dostawce to {order_shipping_number}. Pozdrawiam, {shop_name}."
"Called when a product is deleted","Usunięcie produktu z bazy danych"
"This product was deleted from {shop_name}, id: {product_id}, ref: {product_ref}, name: {product_name}. Deleted by user {employee_id}, {employee_email}.","Ten produkt zostal usuniety z {shop_name}, id: {product_id}, ref: {product_ref}, nazwa: {product_name}. Usunal uzytkownik: {employee_id}, {employee_email}."
"Quantity is updated only when the customer effectively place his order","Ilość jest aktualizowana tylko wtedy, gdy klient pomyślnie złoży zamówienie"
"Quantity of product has changed, id: {product_id}, ref: {product_ref}, name: {product_name}, current quantity: {product_quantity}, supplier: {product_supplier}. Info from {shop_name}.","Ilosc produktow ulegla zmianie, id: {product_id}, ref: {product_ref}, nazwa: {product_name}, nowa ilosc: {product_quantity}, dostawca: {product_supplier}. Info z {shop_name}."
"Product out of stock","Towaru nie ma na stanie"
"This product is almost out of stock, id: {product_id}, ref: {product_ref}, name: {product_name}, current quantity: {product_quantity}. Info from {shop_name}.","Mala ilosc produktu na stanie, id: {product_id}, ref: {product_ref}, nazwa: {product_name}, ilosc: {product_quantity}. Informacje z {shop_name}."
"Called when admin or customer cancel a product in an order","Zawiadomienie, jeśli administrator lub klient usunie towar z zamówienia"
"In order {order_id} was canceled product with id: {product_id}, ref: {product_ref}, name: {product_name}. Quantity: {product_quantity}, quantity reinjected: {product_quantity_reinjected}. Info from {shop_name}.","W zamowieniu {order_id} zostal anulowany produkt id: {product_id}, ref: {product_ref}, nazwa: {product_name}. ilosc: {product_quantity}, anulowana ilosc: {product_quantity_reinjected}. informacje z {shop_name}."
"Status of order {order_id} has changed to ","Stan zamowienia nr: {order_id} zostanie zmieniony na "
". Info from {shop_name}.",". Informacje z {shop_name}."
"Dear Customer, status of your order {order_id} has changed to ","Szanowny kliencie, twoj stan zamowienia {order_id} zostanie zmieniony na"
". Have a nice day, {shop_name}.",". Udanego dnia, {shop_name}."
"Bank wire","Przelew bankowy"
"Company Name","Nazwa firmy"
"Country","Kraj"
"City","Miasto"
"qty","ilość"
"qty reinjected","anulowana ilosc"
"qty returned","zwrocona ilosc"
"name","nazwa"
"not found","nie znaleziono"
"SMS Settings - Select Own number sender ID for ","Ustawienia SMS - Wybierz własny numer nadawcy dla "
"Own number sender ID settings"," Ustawienia własnego numeru nadawcy"
"own number sender ID"," Własny numer nadawcy "
"Existing Own number:","Istniejący własny numer:"
"New Own number sender ID:","Nowy własny numer nadawcy:"
"in international format, no leading <br />zeros or a “+” sign, e.g., 447971796595","W formacie międzynarodowym,<br />bez zer lub znaku “+”, np. 48501041324"
"SMS code:","Kod SMS:"
"CONFIRM","POTWIERDŹ"
"Required field","Pole wymagane"
"SMS Settings - Select Text sender ID for ","Ustawienia SMS - Wybierz nadawcę tekstu dla "
