"lang_iso_code","sv"
"Required field","Obligatoriska fält"
"Sign in","Logga in"
"If You already have an account, please sign in.","Om du redan har ett konto, vänligen logga in."
"Username:","Användarnamn:"
"Password:","Lösenord:"
"Log in","Logga in"
"Edit user account","Redigera användarkonto"
"Save","Spara"
"User account info","Användarkonto information"
"SMS Credit:","SMS krediter:"
"Add administrators","Lägg till administratörer"
"Name:","Namn:"
"Mobile number:","Mobilnummer:"
"Edit","Redigera"
"Add","Lägg till"
"Other settings","Övriga inställningar"
"Simulate SMS sending:","Simulera SMS sändning:"
"Allows to test sending of SMS in modul and to view sent SMS in SMS history with a special status.","Gör det möjligt att testa att skicka SMS i modulen och att visa skickade SMS i SMS historiken med en särskild status."
"Delete database:","Ta bort databas:"
"Allows to decide if current SMS settings and database of sent SMS shall be stored when uninstalling SMS module.","Gör det möjligt att avgöra om aktuella SMS inställningar och databas skickade SMS ska lagras när du avinstallerar SMS-modulen."
"Delivery reports:","Leveransrapporter:"
"Allows to see delivery reports of SMS in SMS history Tab.","Gör det möjligt att se leveransrapporter för SMS i SMS historik fliken."
"Low credit alert:","Låg kredit varning:"
" Allows to receive email when your SMS credit is low."," Gör det möjligt att ta emot E-post när din SMS kredit är låg."
"Email for delivery reports:","E-post för leveransrapporter:"
"Allows to receive email with delivery report of SMS.","Gör det möjligt att ta emot E-post med leveransrapport för SMS."
"Admin was created.","Admin skapades."
"You have to agree with licence terms.","Du måste hålla med om licensvillkoren."
"Account was created.","Konto skapades."
"you can add another account after ","du kan lägga till ett annat konto efter "
"minutes","minuter"
"can not connect to SMS server","kan inte ansluta till SMS servern"
"You were succesfully loged in.","Du loggades in med lyckat resultat."
"error","fel"
"Invalid e-mail for delivery report.","Ogiltig E-postadress för leveransrapport."
"Invalid e-mail","Ogiltig E-postadress"
"Account was changed.","Kontot ändrades."
"Account was changed, but module URL for DR does not answer.","Kontot ändrades, men modul URL för DR svarar inte."
"you can change account after ","du kan ändra konto efter"
" seconds"," sekunder"
"Invalid name","Ogiltigt namn"
"Invalid number","Ogiltigt nummer"
"Admin was changed.","Admin ändrades."
"Admin was deleted.","Admin har tagits bort."
"no changes were made","inga ändringar gjordes"
"login error","inloggningsfel"
"Are you sure to delete","Är du säker på att du vill ta bort"
"DELETE administrator","TA BORT administratör"
"EDIT administrator","REDIGERA administratör"
"in international format, no leading zeros or a “+” sign, e.g., 447971796595","i internationellt format, inga ledande nollor eller ett ""+"" tecken, t.ex. 46.971.796.595"
"(when uninstall)","(när du avinstallerar)"
"(0 = no alert)","(0 = ingen varning)"
"Fill in username and password.","Fyll i användarnamn och lösenord."
"Customer SMS - ","Kund SMS - "
"Customer SMS - not active","Kund SMS - ej aktiv"
" language version"," Språkversion"
"Select events during which shall be customer notified via SMS and customize text of messages. You can also add a new language version of SMS messages for each country separately. In countries with undefined language version will be used default language version.","Välj evenemang under vilket kunden skall meddelas via SMS och skräddarsy text för meddelanden. Du kan också lägga till en ny språkversion av SMS meddelanden för varje land för sig. I länder med odefinierad språkversionen används standardspråk versionen."
"Add SMS text version","Lägg till SMS textversion"
"Select country: ","Välj land: "
"Unicode SMS","Unikod SMS"
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70).","Kolla bara om du vill använda kinesiska, arabiska, grekiska, hebreiska, koreanska, kyrilliska, etc. eller diacritic i texten i ditt SMS meddelande (Unikod text kan du infoga tecken i alla teckensnitt och diverse andra symboler samtidigt. Antal tecken i ett SMS kommer att minskas till 70)."
"Sending notifications via SMS is ACTIVE","Skicka meddelanden via SMS är AKTIVT"
"Sending notifications via SMS is NOT ACTIVE. To activate SMS sending check „Active“ in desired status detail.","Skicka meddelanden via SMS är inte AKTIVT. För att aktivera SMS sändning kolla ""Aktiv"" i önskad status detaljer."
" Update of order status "," Uppdatering av beställningsstatus "
"Account","Konto"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Användarprofil är inaktiv! För att registrera klicka på fliken SMS i huvudmenyn. Modul visar då på skärmen för att skriva in registreringsdata. Om du har använt vår modul tidigare och du vet ditt användarnamn och lösenord, fyll i formuläret för befintligt konto. Annars fyll i din E-postadress, acceptera licensvillkoren och klicka på registrera."
"Invalid SMS text","Ogiltig SMS"
"Text of SMS was saved.","Text SMS sparades."
"SMS text version was deleted.","SMS text versionen har tagits bort."
"Are you sure to delete","Är du säker på att du vill ta bort"
"DELETE language version","TA BORT språkversionen"
"SMS text","SMS text"
"unicode","unikod"
"SMS text version for ","SMS text version för "
" was saved"," Sparades"
"Preview","Förhandsgranska"
"Active","Aktiv"
"Save","Spara"
"Cancel","Avbryt"
"total sms:","Totalt antal sms:"
"EDIT language version","REDIGERA språkversion"
"default","Standard"
"Edit","Redigera"
"Add","Lägg till"
"Order","Beställning"
"Chars","Tecken"
"Unicode was saved.","Unikod sparades."
"Restore unsaved changes to its original state.","Återställ ej sparade ändringar i sitt ursprungliga skick "
"Purchase Credit","Köp krediter"
"Purchase Credit - not active","Köp krediter - inte aktiv"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Användarprofil är inaktiv! För att registrera klicka på fliken SMS i huvudmenyn. Modul visar då på skärmen för att skriva in registreringsdata. Om du har använt vår modul tidigare och du vet ditt användarnamn och lösenord, fyll i formuläret för befintligt konto. Annars fyll i din E-postadress, acceptera licensvillkoren och klicka på registrera."
" In case methods for credit purchase are not displayed properly, please click here:"," I fall metoden för kreditköp inte visas korrekt, klicka här: "
"Bulk SMS text","Bulk SMS text"
"Add recipients ","Lägg till mottagare "
"Add one or more recipients separated by commas. Number must be in international format, no leading zeros or “+“ sign.","Lägg till en eller flera mottagare separerade med kommatecken. Antal måste vara i internationellt format, inga inledande nollor eller ""+"" tecknet."
" (e.g. 447971796595)"," (t ex 46123456789)"
"Enter SMS text","Skriv in SMS text"
"Add recipients in CSV file ","Lägg till mottagare i CSV fil"
"CSV file - 1 column, 1st column - number (Number must be in international format, no leading zeros or “+“ sign; e.g. 447971796595)","CSV fil - 1 kolumn, 1: a kolumnen - nummer (nummer måste vara i internationellt format, inga inledande nollor eller ""+"" tecknet; t.ex. 446.123.456.789)"
" Unicode "," Unikod "
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70).","Kolla bara om du vill använda kinesiska, arabiska, grekiska, hebreiska, koreanska, kyrilliska, etc. eller diacritic i texten i ditt SMS-meddelande (Unikod text kan du infoga tecken i alla teckensnitt och diverse andra symboler samtidigt. Antal tecken i ett SMS kommer att minskas till 70)."
"Your time: ","Din tid: "
"Time: ","Tid: "
"time zone: ","Tidszon: "
"time zone settings","Tidszonsinställningar"
"Text is too long","Texten är för lång"
"Send SMS","Skicka SMS"
"Send","Skicka"
"Send SMS or bulk SMS. Enter mobile numbers or upload CSV file.","Skicka SMS eller bulk SMS. Ange mobilnummer eller ladda upp en CSV fil."
"Send SMS - not active","Skicka SMS - ej aktiv"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Användarprofil är inaktiv! För att registrera klicka på fliken SMS i huvudmenyn. Modul visas då på skärmen för att skriva in registreringsdata. Om du har använt vår modul tidigare och du vet ditt användarnamn och lösenord, fyll i formuläret för befintligt konto. Annars fyll i din E-postadress, acceptera licensvillkoren och klicka på registrera."
"Fill in SMS text.","Fyll i SMS text."
"SMS text is too long (max. 612 characters).","SMS är för långt (max. 612 tecken)."
"SMS text is too long (max. 268 unicode characters).","SMS är för långt (max. 268 Unikod tecken)."
"Wrong time of SMS sending.","Fel tid för SMS sändning."
"Recipients found: 0","Mottagare hittades: 0"
"You do not have enough credit to send SMS to all ","Du har inte tillräckligt med krediter för att skicka SMS till alla "
" recipients."," Mottagare."
"SMS was sent.","SMS har skickats."
"SMS was saved.","SMS sparades."
"wrong number or unavailable","Fel nummer eller saknas"
"unauthorized senderID in confirmation sms","Otillåten Avsändare ID i bekräftelse sms"
"low credit for sending sms","Låg kredit för att skicka sms"
"unicode is not supported","Unikod stöds inte"
"can not connect to SMS server","Kan inte ansluta till SMS servern"
"SMS SIMULATION (Sending of SMS was simulated. Recipient will not receive SMS)","SMS SIMULERING (skicka SMS simulerades. Mottagare kommer inte att ta emot SMS)"
"SMS was sent (simulation).","SMS skickades (simulering)."
"error","Fel"
"login error","inloggningsfel"
" Send later "," Skicka senare "
"Characters: ","Tecken: "
"1hr","1 timma"
"Date: ","Datum: "
"SMS Answers","SMS svar"
"SMS answer from customer is displayed only when customer receives SMS from your shop with SMS sender type „System number“ and customer replies using his own mobile phone.","SMS svar från kunden endast när kunden får SMS från din butik med SMS-avsändare typ, ""System nummer"" och kundsvar med hjälp av sin egen mobiltelefon."
"Show","Visa"
"Search results ","Sökresultat "
" of "," Av "
"SMS center","SMS center"
"Date","Datum"
"From number","Från nummer"
"new","Ny"
"Previous","Föregående"
"Next","Nästa"
" Page: "," Sida: "
"SMS Answers - not active","SMS svar - år inte aktivt"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Användarprofil är inaktiv! För att registrera klicka på fliken SMS i huvudmenyn. Modul visas då på skärmen för att skriva in registreringsdata. Om du har använt vår modul tidigare och du vet ditt användarnamn och lösenord, fyll i formuläret för befintligt konto. Annars fyll i din E-postadress, acceptera licensvillkoren och klicka på registrera."
"year","År"
"month","Månad"
"SMS","SMS"
"Text:","Text:"
"Total SMS answers: 0","Totalt SMS svar: 0"
"SENT to recipient","SKICKA till mottagare"
"ERROR","FEL"
"DELIVERED to recipient","LEVERERAT till mottagare"
"RECIPIENT UNAVAILABLE","MOTTAGARE EJ TILLGÄNGLIG"
"SMS History","SMS Historik"
"History of sent SMS from SMS module.","Historik av skickade SMS från SMS-modulen."
" admin sms"," Admin sms"
" customer sms"," Kund sms"
" marketing sms"," Marknadsföring sms"
" simple sms"," Enkel sms"
"Show","Visa"
"Search results ","Sökresultat "
" of "," Av "
"Type","Typ"
"Date","Datum"
"SMS subject","SMS ämne"
"Number","Antal"
"yes","Ja"
"no","Nej"
"system number","Systemnummer"
"Credit balance:","Kreditsaldo:"
"Display customer detail","Visa kunddetaljer"
"Text:","Text:"
"Total SMS:","Totalt antal SMS:"
"SMS History - not active","SMS Historik - ej aktiv"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Användarprofil är inaktiv! För att registrera klicka på fliken SMS i huvudmenyn. Modul visas då på skärmen för att skriva in registreringsdata. Om du har använt vår modul tidigare och du vet ditt användarnamn och lösenord, fyll i formuläret för befintligt konto. Annars fyll i din E-postadress, acceptera licensvillkoren och klicka på registrera."
"SMS price in credits:","SMS priset i krediter:"
"year","År"
"month","Månader"
"Status","Status"
"Recipient","Mottagare"
"Unicode:","Unikod:"
"senderID:","Avsändare ID:"
"Previous","Föregående"
"Next","Nästa"
" Page: "," Sida: "
"Total SMS: 0","Totalt SMS: 0"
"SMS","SMS"
"SMS Marketing - bulk SMS text","SMS Marknadsföring - bulk SMS"
"Enter SMS text","Ange SMS text"
" Unicode "," Unikod "
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70).","Kolla bara om du vill använda kinesiska, arabiska, grekiska, hebreiska, koreanska, kyrilliska, etc. eller diacritic i texten i ditt SMS-meddelande (Unikod text kan du infoga tecken i alla teckensnitt och diverse andra symboler samtidigt. Antal tecken i ett SMS kommer att minskas till 70)."
" Send later "," Skicka senare "
"Your time: ","Din tid: "
"Total customers:","Totalt kunder:"
"Total SMS:","Totalt SMS:"
"SMS Marketing - bulk SMS filter","SMS Marknadsföring - bulk SMS filter"
"All customers","Alla kunder"
"company customers","Företagskunder"
"private customers","Privatkunder"
"All countries","Alla länder"
"Last name:","Efternamn:"
"First name:","Förnamn:"
"Last name","Efternamn"
"First name","Förnamn"
"Groups:","Grupper:"
"All","Alla"
"Gender:","Kön:"
"Male","Man"
"Female","Kvinna"
"Newsletter:","Nyhetsbrev:"
"Yes","Ja"
"No","Nej"
"Apply filter","Använd filter"
"Date of birth from: ","Födelsedag från: "
"to: ","Till: "
"Date of registration from: ","Datum för registrering från: "
"Customers found: ","Kunder har hittats: "
"results","Resultat"
"Action","Åtgärd"
"Mobile number","Mobilnummer"
"Customer ID","Kund ID"
"REMOVE customer from this list","TA BORT kund från listan"
"Next","Nästa"
"Previous","Föregående"
" Page: "," Sida: "
"SMS Marketing - customers found: ","SMS Marknadsföring - kunder hittades: "
"Write text of message and use advanced filter to target your marketing campaign.","Skriv texten i meddelandet och använda avancerat filter för att rikta din marknadsföringskampanj."
"Marketing SMS","SMS marknadsföring"
"SMS Marketing - not active","SMS Marknadsföring - ej aktiv"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Användarprofil är inaktiv! För att registrera klicka på fliken SMS i huvudmenyn. Modul visas då på skärmen för att skriva in registreringsdata. Om du har använt vår modul tidigare och du vet ditt användarnamn och lösenord, fyll i formuläret för befintligt konto. Annars fyll i din E-postadress, acceptera licensvillkoren och klicka på registrera."
"Fill in SMS text","Fyll i SMS texten"
"SMS text is too long (max. 612 characters).","SMS är för långt (max. 612 tecken)."
"SMS text is too long (max. 268 unicode characters).","SMS texten är för lång (max. 268 Unicode-tecken)."
"Customers found: 0","Kunder har hittats: 0"
"Wrong time of SMS sending.","Fel tid för SMS sändning."
"You do not have enough credit to send SMS to all ","Du har inte tillräckligt med krediter för att skicka SMS till alla"
" customers.","Kunder."
"SMS was sent.","SMS har skickats."
"SMS was saved.","SMS sparades."
"wrong number or unavailable","Fel nummer eller saknas"
"unauthorized senderID in confirmation sms","Otillåten avsändare ID i bekräftelse sms"
"low credit for sending sms","Låg kredit för att skicka sms"
"unicode is not supported","Unikod stöds inte"
"can not connect to SMS server","Kan inte ansluta till SMS servern"
"SMS SIMULATION (Sending of SMS was simulated. Recipient will not receive SMS)","SMS simulering (skicka SMS simulerades. Mottagare kommer inte ta emot SMS)"
"SMS was sent (simulation).","SMS skickades (simulering)."
"error","Fel"
"login error","Inloggningsfel"
"Date:","Datum:"
"Time: ","Tid: "
"1hr","1 timma"
"time zone: ","Tidszon: "
"time zone settings","Tidszonsinställningar"
"Send","Skicka"
"Characters: ","Tecken: "
"Text is too long","Texten är för lång"
"Type:","Typ:"
"Country:","Land:"
"City:","Stad:"
"Advert:","Annons:"
"Store:","Butik:"
"All stores","Alla butiker"
"Presta SMS","Presta SMS"
"presta-sms.com - send SMS from your Prestashop!","presta-sms.com - skicka SMS från Prestashop!"
"Admin SMS","Admin SMS"
"Customer SMS","Kund SMS"
"SMS Settings","SMS inställningar"
"SMS History","SMS historik"
"Purchase Credit","Köp krediter"
"Marketing SMS","SMS marknadsföring"
"SMS Answers","SMS svar"
"Send SMS","Skicka SMS"
"About","Om"
"wrong number or unavailable","Fel nummer eller saknas"
"unauthorized senderID in confirmation sms","Otillåten avsändare ID i bekräftelse sms"
"low credit for sending sms","Låg kredit för att skicka sms"
"unicode is not supported","Unikod stöds inte"
"login error","Inloggningsfel"
"can not connect to SMS server","Kan inte ansluta till SMS servern"
"SMS SIMULATION (Sending of SMS was simulated. Recipient will not receive SMS)","SMS simulering (skicka SMS simulerades. Mottagare kommer inte att ta emot SMS)"
"unknown mobile number","Okänt mobilnummer"
"not connected to SMS server","Inte ansluten till SMS server"
"New orders","Nya beställningar"
"New order from {customer_firstname} {customer_lastname}, customer id: {customer_id}, order id: {order_id}, payment: {order_payment}, amount: {order_total_paid} {order_currency}. Order: {order_products2}. Info from {shop_name}.","Ny beställning från"" {customer_firstname} {customer_lastname}, kund ID: {customer_id}, beställnings ID: {order_id}, betalning: {order_payment}, belopp: {order_total_paid} {order_currency}. Beställning: {order_products2}. Information från {shop_name}."
"Your order {order_id} was successfully created, payment: {order_payment}, amount: {order_total_paid} {order_currency}. Have a nice day, {shop_name}.","Din beställning {order_id} har skapats med lyckat resultat, betalning: {order_payment}, belopp: {order_total_paid} {order_currency}. Ha en trevlig dag, {shop_name}."
"Possible variables:","Möjliga variabler:"
"Successful customer create account","Kundkonto skapades med lyckat resultat"
"Customer {customer_firstname} {customer_lastname}, id: {customer_id}, has just subscribed to {shop_name}.","Kund {customer_firstname} {customer_lastname}, id: {customer_id}, har precis prenumererat på {shop_name}."
"Dear {customer_firstname} {customer_lastname}, your account in {shop_name} was successfully created. Your username: {customer_email}. Have a nice day!","Kära {customer_firstname} {customer_lastname}, ditt konto på {shop_name} har skapats. Ditt användarnamn: {customer_email}. Ha en trevlig dag!"
"Product returned","Produkt returnerad"
"Customer {customer_firstname} {customer_lastname}, id: {customer_id}, has returned product from order {order_id}. Order: {orderReturn2}. Customer text: {customer_question}. Info from {shop_name}.","Kund {customer_firstname} {customer_lastname}, id: {customer_id}, har returnerat produkt från beställning {order_id}. Beställning: {orderReturn2}. Kundtext: {customer_question}. Information från {shop_name}."
"We have received your request. Order {order_id}. Have a nice day, {shop_name}.","Vi har tagit emot din förfrågan. Beställning {order_id}. Ha en trevlig dag, {shop_name}."
"Called when a quantity of one product change in an order","Anropas när ett antal av en produktförändring i en beställning"
"In order {order_id} was changed quantity, {orderSlip2}. Info from {shop_name}.","för {order_id} ändrades i antal, {orderSlip2}. Information från {shop_name}."
"In your order {order_id} was changed quantity, {orderSlip2}. Have a nice day, {shop_name}.","I din beställning {order_id} ändrades antalet, {orderSlip2}. Ha en trevlig dag, {shop_name}."
"Payment confirmation","Betalningsbekräftelse"
"Payment confirmation, order id: {order_id}, payment: {order_payment}, amount: {order_total_paid} {order_currency}. Info from {shop_name}.","Betalningsbekräftelse, beställnings ID: {order_id}, payment: {order_payment}, belopp: {order_total_paid} {order_currency}. Information från {shop_name}."
"We have successfully received payment for your order {order_id} via {order_payment}, amount: {order_total_paid} {order_currency}. Have a nice day, {shop_name}.","Vi har fått betalt för din beställning {order_id} via {order_payment}, belopp: {order_total_paid} {order_currency}. Ha en trevlig dag, {shop_name}."
"Update of tracking number in order","Uppdatering av spårningsnummer för "
"Order {order_id} was updated, tracking number is {order_shipping_number}. Info from {shop_name}.","Beställning {order_id} uppdaterades, spårningsnummret är {order_shipping_number}. Information från {shop_name}."
"Dear Customer, your order {order_id} was shipped, tracking number is {order_shipping_number}. Have a nice day, {shop_name}.","Bäste kund, din beställning {order_id} skickades, spårningsnummret är {order_shipping_number}. Ha en trevlig dag, {shop_name}."
"Called when a product is deleted","Anropas när en produkt tas bort"
"This product was deleted from {shop_name}, id: {product_id}, ref: {product_ref}, name: {product_name}. Deleted by user {employee_id}, {employee_email}.","Denna produkt togs bort från {shop_name}, ID: {product_id}, referens: {product_ref}, namn: {product_name}. Borttagen av användaren {employee_id}, {employee_email}."
"Quantity is updated only when the customer effectively place his order","Antal uppdateras endast när kunden effektivt lägger sin beställning"
"Quantity of product has changed, id: {product_id}, ref: {product_ref}, name: {product_name}, current quantity: {product_quantity}, supplier: {product_supplier}. Info from {shop_name}.","Antal av produkten har ändrats, ID: {product_id}, ref: {product_ref}, namn: {product_name}, nuvarande antal: {product_quantity}, leverantör: {product_supplier}. Information från {shop_name}."
"Product out of stock","Produkten slut i lager"
"This product is almost out of stock, id: {product_id}, ref: {product_ref}, name: {product_name}, current quantity: {product_quantity}. Info from {shop_name}.","Produkten är nästan slut i lager, ID: {product_id}, ref: {product_ref}, namn: {product_name}, nuvarande antal: {product_quantity}. Information från {shop_name}."
"Called when admin or customer cancel a product in an order","Anropas när admin eller kund avbryter en produkt i en beställning"
"In order {order_id} was canceled product with id: {product_id}, ref: {product_ref}, name: {product_name}. Quantity: {product_quantity}, quantity reinjected: {product_quantity_reinjected}. Info from {shop_name}.","för {order_id} avbröts produkt med ID: {product_id}, ref: {product_ref}, namn: {product_name}. Antal: {product_quantity}, quantity reinjected: {product_quantity_reinjected}. Information från {shop_name}."
"Status of order {order_id} has changed to ","Status för beställning {order_id} har ändrats till "
". Info from {shop_name}.",". Information från {shop_name}."
"Dear Customer, status of your order {order_id} has changed to ","Bäste kund, status för din beställning {order_id} har ändrats till "
". Have a nice day, {shop_name}.",". Ha en trevlig dag, {shop_name}."
"Bank wire","Banköverföring"
"Company Name","Företagsnamn"
"Country","Land"
"City","Stad"
"qty","Antal"
"qty reinjected","antal återinfört"
"qty returned","antal returnerat"
"name","namn"
"not found","hittades inte"
"SMS Settings - Select Own number sender ID for ","SMS Inställningar - Välj eget avsändare ID nummer för "
"Own number sender ID settings","Eget avsändare ID nummer inställningar"
"own number sender ID","Eget avsändare ID nummer"
"Existing Own number:","Befintliga eget nummer:"
"New Own number sender ID:","Ny Eget avsändare ID nummer:"
"in international format, no leading <br />zeros or a “+” sign, e.g., 447971796595","I internationellt format, ingen ledande <br />nollor eller ett ""+"" tecken, t ex., 46123456789"
"SMS code:","SMS kod:"
"CONFIRM","BEKRÄFTA"
"Required field","Obligatoriska fält"
"SMS Settings - Select Text sender ID for ","SMS Inställningar - Välj Text avsändare ID för"
"Text sender ID settings","Textavsändare ID inställningar"
"Existing Text sender ID:","Befintlig textavsändare ID:"
"New Text sender ID:","Ny textavsändare ID:"
"max. 11 characters","max. 11 tecken"
"SMS Settings","SMS inställningar"
"Define SMS Sender Type for each country separately (Text sender ID, Own mobile number or System number). SMS price depends on the recipient country, selected SMS sender type and amount of payment. In countries with undefined SMS sender type will be used System number sender type.","Definiera SMS-avsändare för varje land för sig (Text avsändar ID, Eget mobilnummer eller systemnummer). SMS priset beror på mottagarlandet, valda SMS-avsändare typ och mängd av betalning. I länder med odefinierad SMS-avsändare kommer det att användas systemnummer avsändare."
"Customer SMS settings","Kund SMS inställningar"
"SENDER TYPE","AVSÄNDARE TYP"
"NETWORK","NÄTVERK"
"SMS PRICE<br />IN CREDITS","SMS PRIS<br />I KREDITER"
"SMS PRICE IN EUR (excl. VAT)","SMS priset i euro (exklusive moms)"
"payment","Betalning"
"Unicode ","Unikod "
"Unicode characters support (Unicode allows you to enter characters in all fonts and various symbols simultaneously. Is used for Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message)","Unikod tecken stöd (Med unikod kan du skriva in tecken i alla teckensnitt och olika symboler samtidigt. Används för kinesiska, arabiska, grekiska, hebreiska, koreanska, kyrilliska, etc. eller diacritic i texten i ditt SMS meddelande)"
"TEXT SENDER ID","TEXT AVSÄNDARE ID"
"Text sender ID","Text avsändare ID"
"SYSTEM NUMBER","SYSTEM NUMMER"
"OWN NUMBER SENDER ID","EGET NUMMER AVSÄNDARE ID"
"SIM HOSTING","SIM VÄRD"
"UNICODE SUPPORTED","UNIKOD STÖDS"
"UNICODE NOT SUPPORTED","UNIKOD STÖDS INTE"
"SAVE SMS SETTINGS","SPARA SMS INSTÄLLNINGAR"
"Are you sure to delete","Är du säker på att du vill ta bort"
"Select country: ","Välj land: "
"ADD/CHANGE SELECTED COUNTRY","LÄGG TILL / ÄNDRA VALT LAND"
"SMS settings - not active","SMS inställningar - inte aktiva"
