"lang_iso_code","el"
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70).","Επιλέξτε το μόνο εάν θέλετε να χρησιμοποιήσετε Ελληνικά, Κινέζικα, Αραβικά, Εβραϊκά, Κορεάτικα κ.α. ή διακριτικά μέσα στο κείμενο του SMS σας (Το Unicode κείμενο σας επιτρέπει να εισάγετε τους χαρακτήρες αυτούς σε όλες τις γραμματοσειρές καθώς και διάφορα άλλα σύμβολα ταυτόχρονα. Ο αριθμός των χαρακτήρων σε ένα SMS θα μειωθεί σε 70). ΣΗΜΕΙΩΣΗ: Αν το κείμενο του SMS είναι στα Ελληνικά, μπορείτε να χρησιμοποιήσετε ΚΕΦΑΛΑΙΑ ΓΡΑΜΜΑΤΑ ώστε να μην χρειάζετε να ενεργοποιήσετε το 'UNICODE'! Έτσι με αυτό το τρόπο, θα έχετε 160 χαρ. διαθέσιμους ανά SMS και όχι 70 που έχει το Unicode"
"Save","Αποθήκευση"
"Sending notifications via SMS is ACTIVE","Η αποστολή ειδοποιήσεων μέσω SMS είναι ΕΝΕΡΓΗ"
"Sending notifications via SMS is NOT ACTIVE. To activate SMS sending check at least one administrator.","Η αποστολή ειδοποιήσεων μέσω SMS είναι ΑΝΕΝΕΡΓΗ. Για να ενεργοποιήσετε την αποστολή SMS επιλέξτε τουλάχιστον έναν Διαχειριστή."
"Update of order status"," Ενημέρωση κατάστασης παραγγελίας για "
"Account","Λογαριασμός"
"Product","Προϊόν"
"Order status","Κατάσταση παραγγελίας"
"Order","Παραγγελία"
"Admin SMS - not active","SMS Διαχειριστή - ΑΝΕΝΕΡΓΟ"
"Please add at least one administrator!","Παρακαλώ προσθέστε τουλάχιστον έναν διαχειριστή!"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Το προφίλ χρήστη δεν είναι ενεργό! Για να εγγραφείτε, κάντε κλικ στην καρτέλα SMS στο κύριο μενού. Το πρόσθετο θα σας εμφανίσει τα πεδία για καταχώρηση των δεδομένων της εγγραφής σας. Εάν στο παρελθόν είχατε χρησιμοποιήσει το πρόσθετό μας και γνωρίζετε το όνομα χρήστη και τον κωδικό πρόσβασης, συμπληρώστε τη φόρμα για τον υπάρχοντα λογαριασμό. Διαφορετικά, συμπληρώστε το email σας, αποδεχτείτε τους όρους της άδειας χρήσης και κάντε κλικ στην εγγραφή."
"Invalid SMS text","Μη έγκυρο κείμενο SMS"
"Text of SMS was saved.","Το κείμενο του SMS έχει αποθηκευτεί."
"Unicode saved.","Unicode αποθηκεύτηκε."
"char","Χαρακτήρας"
"chars","Χαρακτήρες"
"label","επιγραφή"
"SMS text","Κείμενο SMS"
"total sms:","Συνολικά sms:"
"Enter SMS text","Εισάγετε το κείμενο του SMS"
"Preview","Προεπισκόπηση"
"Administrators","Διαχειριστές"
"Save","Αποθήκευση"
"Cancel","Ακύρωση"
"Restore unsaved changes to its original state.","Επαναφορά μη αποθηκευμένων αλλαγών στην αρχική κατάσταση."
"User profile - not active","Προφίλ χρήστη - Ανενεργό"
"User profile - active","Προφίλ χρήστη - Ενεργό"
"New user account","Εγγραφή νέου χρήστη"
"Not registered yet? Create account now!","Δεν έχετε εγγραφεί ακόμα; Δημιουργία λογαριασμού τώρα!"
"Email:","Email:"
"Company name:","Όνομα Εταιρείας:"
"Street:","Δρόμος:"
"City:","Πόλη:"
"ZIP:","Τ.Κ.:"
"Country:","Χώρα:"
"Company ID:","ID Εταιρείας:"
"Company VAT:","ΑΦΜ Εταιρείας:"
"Referer ID:","Referer ID:"
"View licence terms:","Δείτε τους όρους άδειας χρήσης:"
"I agree","Συμφωνώ"
"I dont agree","Δεν συμφωνώ"
"Register","Εγγραφή"
"Required field","Υποχρεωτικό πεδίο"
"Sign in","Σύνδεση"
"If You already have an account, please sign in.","Αν έχετε ήδη λογαριασμό, παρακαλώ συνδεθείτε."
"Username:","Όνομα Χρήστη:"
"Password:","Κωδικός:"
"Log in","Σύνδεση"
"Edit user account","Επεξεργασία Λογαριασμού Χρήστη"
"Save","Αποθήκευση"
"User account info","Πληροφορίες Λογαριασμού Χρήστη"
"SMS Credit:","Διαθέσιμες μονάδες:"
"Add administrators","Προσθήκη Διαχειριστή"
"Name:","Όνομα:"
"Mobile number:","Αριθμός κινητού:"
"Edit","Επεξεργασία"
"Add","Προσθήκη"
"Other settings","Άλλες Ρυθμίσεις"
"Simulate SMS sending:","ΠΡΟΣΟΜΟΙΩΤΗΣ SMS:"
"Allows to test sending of SMS in modul and to view sent SMS in SMS history with a special status.","Σας επιτρέπει να δοκιμάσετε την αποστολή SMS και να την δείτε στο Ιστορικό SMS με ειδική ένδειξη. Οι παραλήπτες δε θα λάβουν κάποιο SMS."
"Delete database:","Διαγραφή δεδομένων:"
"Allows to decide if current SMS settings and database of sent SMS shall be stored when uninstalling SMS module.","Σας επιτρέπει εάν θέλετε να διαγραφούν όλες οι τρέχουσες ρυθμίσεις και τα δεδομένα των απεσταλμένων SMS όταν κάνετε απεγκατάσταση του πρόσθετου των SMS."
"Delivery reports:","Αναφορές παράδοσης:"
"Allows to see delivery reports of SMS in SMS history Tab.","Σας επιτρέπει να δείτε τις αναφορές παράδοσης των SMS στη καρτέλα Ιστορικό SMS."
"Low credit alert:","Προειδοποίηση ορίου μονάδων:"
" Allows to receive email when your SMS credit is low.","Σας επιτρέπει να λαμβάνετε email όταν οι μονάδες σας φτάσουν σε χαμηλά επίπεδα."
"Email for delivery reports:","Email για τις αναφορές παράδοσης:"
"Allows to receive email with delivery report of SMS.","Σας επιτρέπει να λαμβάνετε email με τις αναφορές παράδοσης των SMS."
"Admin was created.","Ο Διαχειριστής δημιουργήθηκε."
"You have to agree with licence terms.","Θα πρέπει να συμφωνήσετε με τους όρους της άδειας."
"Account was created.","Ο λογαριασμός δημιουργήθηκε."
"you can add another account after ","μπορείτε να προσθέσετε έναν άλλο λογαριασμό μετά από "
"minutes","λεπτά"
"can not connect to SMS server","δεν μπορεί να συνδεθεί με το διακομιστή των SMS"
"You were succesfully loged in.","Συνδεθήκατε επιτυχώς."
"error","σφάλμα"
"Invalid e-mail for delivery report.","Μη έγκυρο e-mail για την αναφορά παράδοσης."
"Invalid e-mail","Μη έγκυρο e-mail"
"Account was changed.","Ο λογαριασμός άλλαξε."
"Account was changed, but module URL for DR does not answer.","Ο λογαριασμός άλλαξε, αλλά η URL του πρόσθετου για το DR δεν απαντά."
"you can change account after ","μπορείτε να αλλάξετε το λογαριασμό μετά από "
" seconds"," δευτερόλεπτα"
"Invalid name","Μη έγκυρο όνομα"
"Invalid number","Μη έγκυρος αριθμός"
"Admin was changed.","Ο Διαχειριστής άλλαξε."
"Admin was deleted.","Ο Διαχειριστής διαγράφηκε."
"no changes were made","Δεν έγιναν αλλαγές"
"login error","Σφάλμα σύνδεσης"
"Are you sure to delete","Είστε σίγουροι ότι θέλετε να διαγράψετε"
"DELETE administrator","ΔΙΑΓΡΑΦΗ Διαχειριστή"
"EDIT administrator","ΕΠΕΞΕΡΓΑΣΙΑ Διαχειριστή"
"in international format, no leading zeros or a “+” sign, e.g., 447971796595","σε διεθνή μορφή, χωρίς μηδενικά μπροστά ή το σύμβολο “+”, π.χ. 306932345678"
"(when uninstall)","(κατά την απεγκατάσταση)"
"(0 = no alert)","(0 = χωρίς προειδοποίηση)"
"Fill in username and password.","Συμπληρώστε το όνομα χρήστη και τον κωδικό πρόσβασης."
"Customer SMS - ","SMS Πελάτη - "
"Customer SMS - not active","SMS Πελάτη - Ανενεργό"
" language version"," έκδοση γλώσσας"
"Select events during which shall be customer notified via SMS and customize text of messages. You can also add a new language version of SMS messages for each country separately. In countries with undefined language version will be used default language version.","Επιλέξτε τα γεγονότα τα οποία οι πελάτες του καταστήματος θα πρέπει να ειδοποιηθούν μέσω SMS και προσαρμόστε τα κείμενα των μηνυμάτων αυτών. Μπορείτε επίσης να προσθέσετε μια νέα γλώσσα των μηνυμάτων SMS για κάθε χώρα ξεχωριστά. Αν δεν επιλέξετε κάποια γλώσσα τότε θα χρησιμοποιηθεί η προεπιλεγμένη της σελίδας σας. (παράδειγμα: Αν η προεπιλεγμένη γλώσσα της σελίδας σας είναι τα Ελληνικά, δε χρειαζεται να επιλέξετε κάποια έκδοση γλώσσας)."
"Add SMS text version","Προσθέστε νέα έκδοση κειμένου SMS"
"Select country: ","Επιλέξτε χώρα: "
"Unicode SMS","Unicode SMS"
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70).","Επιλέξτε το μόνο εάν θέλετε να χρησιμοποιήσετε Ελληνικά, Κινέζικα, Αραβικά, Εβραϊκά, Κορεάτικα κ.α. ή διακριτικά μέσα στο κείμενο του SMS σας (Το Unicode κείμενο σας επιτρέπει να εισάγετε τους χαρακτήρες αυτούς σε όλες τις γραμματοσειρές καθώς και διάφορα άλλα σύμβολα ταυτόχρονα. Ο αριθμός των χαρακτήρων σε ένα SMS θα μειωθεί σε 70). ΣΗΜΕΙΩΣΗ: Αν το κείμενο του SMS είναι στα Ελληνικά, μπορείτε να χρησιμοποιήσετε ΚΕΦΑΛΑΙΑ ΓΡΑΜΜΑΤΑ ώστε να μην χρειάζετε να ενεργοποιήσετε το 'UNICODE'! Έτσι, με αυτό το τρόπο, θα έχετε 160 χαρ. διαθέσιμους ανά SMS και όχι 70 που έχει το Unicode"
"Order status","Κατάσταση παραγγελίας"
"Sending notifications via SMS is ACTIVE","Η αποστολή ειδοποιήσεων μέσω SMS είναι ΕΝΕΡΓΗ"
"Sending notifications via SMS is NOT ACTIVE. To activate SMS sending check „Active“ in desired status detail.","Η αποστολή ειδοποιήσεων μέσω SMS είναι ΑΝΕΝΕΡΓΗ. Για να ενεργοποιήσετε την αποστολή SMS τσεκάρετε το κουτάκι „Ενεργό“ δίπλα από την επιθυμητή κατάσταση."
" Update of order status "," Ενημέρωση κατάστασης παραγγελίας για "
"Account","Λογαριασμός"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Το προφίλ χρήστη δεν είναι ενεργό! Για να εγγραφείτε, κάντε κλικ στην καρτέλα SMS στο κύριο μενού. Το πρόσθετο θα εμφανίσει στην οθόνη σας την καταχώρηση των δεδομένων της εγγραφής σας. Εάν στο παρελθόν είχατε χρησιμοποιήσει το πρόσθετό μας και γνωρίζετε το όνομα χρήστη και τον κωδικό πρόσβασης, συμπληρώστε τη φόρμα για τον υπάρχοντα λογαριασμό. Διαφορετικά, συμπληρώστε το email σας, αποδεχτείτε τους όρους της άδειας χρήσης και κάντε κλικ στην εγγραφή."
"Invalid SMS text","Μη έγκυρο κείμενο SMS"
"Text of SMS was saved.","Το κείμενο του SMS έχει αποθηκευτεί."
"SMS text version was deleted.","Έκδοση κειμένου SMS διεγράφη."
"Are you sure to delete","Είστε σίγουροι ότι θέλετε να διαγράψετε"
"DELETE language version","ΔΙΑΓΡΑΦΗ έκδοσης γλώσσας"
"SMS text","Κείμενο SMS"
"unicode","Unicode"
"SMS text version for ","Έκδοση κειμένου SMS για "
" was saved"," αποθηκεύτηκε"
"Preview","Προεπισκόπηση"
"Active","Ενεργό"
"Save","Αποθήκευση"
"Cancel","Ακύρωση"
"total sms:","Συνολικά sms:"
"EDIT language version","ΕΠΕΞΕΡΓΑΣΙΑ έκδοσης γλώσσας"
"default","προεπιλεγμένα"
"Edit","Επεξεργασία"
"Add","Προσθήκη"
"Order","Παραγγελία"
"Chars","Χαρακτήρες"
"Unicode was saved.","Unicode αποθηκεύτηκε."
"Restore unsaved changes to its original state.","Επαναφορά μη αποθηκευμένων αλλαγών στην αρχική κατάσταση."
"Purchase Credit","Αγορά Μονάδων"
"Purchase Credit - not active","Αγορά Μονάδων - Ανενεργό"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Το προφίλ χρήστη δεν είναι ενεργό! Για να εγγραφείτε, κάντε κλικ στην καρτέλα SMS στο κύριο μενού. Το πρόσθετο θα σας εμφανίσει τα πεδία για καταχώρηση των δεδομένων της εγγραφής σας. Εάν στο παρελθόν είχατε χρησιμοποιήσει το πρόσθετό μας και γνωρίζετε το όνομα χρήστη και τον κωδικό πρόσβασης, συμπληρώστε τη φόρμα για τον υπάρχοντα λογαριασμό. Διαφορετικά, συμπληρώστε το email σας, αποδεχτείτε τους όρους της άδειας χρήσης και κάντε κλικ στην εγγραφή."
" In case methods for credit purchase are not displayed properly, please click here:"," Σε περίπτωση που οι μέθοδοι για αγορά μονάδων δεν εμφανίζονται σωστά, παρακαλώ κάντε κλικ εδώ:"
"Bulk SMS text","Μαζικά SMS"
"Add recipients ","Προσθέστε παραλήπτες "
"Add one or more recipients separated by commas. Number must be in international format, no leading zeros or “+“ sign.","Προσθέστε έναν ή περισσότερους παραλήπτες διαχωρισμένες με κόμμα. Ο αριθμός πρέπει να είναι σε διεθνή μορφή, χωρίς μηδενικά μπροστά ή το σύμβολο “+”."
" (e.g. 447971796595)"," (π.χ. 306932345678)"
"Enter SMS text","Εισάγετε το κείμενο SMS"
"Add recipients in CSV file ","Προσθέστε παραλήπτες από CSV αρχείο "
"CSV file - 1 column, 1st column - number (Number must be in international format, no leading zeros or “+“ sign; e.g. 447971796595)","CSV αρχείο - 1 στήλη, 1η στήλη - αριθμός (Ο αριθμός πρέπει να είναι σε διεθνή μορφή, χωρίς μηδενικά μπροστά ή το σύμβολο “+”, π.χ. 306932345678)"
" Unicode "," Unicode "
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70).","Επιλέξτε το μόνο εάν θέλετε να χρησιμοποιήσετε Ελληνικά, Κινέζικα, Αραβικά, Εβραϊκά, Κορεάτικα κ.α. ή διακριτικά μέσα στο κείμενο του SMS σας (Το Unicode κείμενο σας επιτρέπει να εισάγετε τους χαρακτήρες αυτούς σε όλες τις γραμματοσειρές καθώς και διάφορα άλλα σύμβολα ταυτόχρονα. Ο αριθμός των χαρακτήρων σε ένα SMS θα μειωθεί σε 70). ΣΗΜΕΙΩΣΗ: Αν το κείμενο του SMS είναι στα Ελληνικά, μπορείτε να χρησιμοποιήσετε ΚΕΦΑΛΑΙΑ ΓΡΑΜΜΑΤΑ ώστε να μην χρειάζετε να ενεργοποιήσετε το 'UNICODE'! Έτσι, με αυτό το τρόπο, θα έχετε 160 χαρ. διαθέσιμους ανά SMS και όχι 70 που έχει το Unicode"
"Your time: ","Η ώρα σας: "
"Time: ","Ώρα: "
"time zone: ","ζώνη ώρας: "
"time zone settings","ρυθμίσεις ζώνης ώρας"
"Text is too long","Το κείμενο είναι πάρα πολύ μακρύ"
"Send SMS","Αποστολή SMS"
"Send","Αποστολή"
"Send SMS or bulk SMS. Enter mobile numbers or upload CSV file.","Στείλτε μεμονωμένα ή μαζικά SMS. Εισάγετε τους αριθμούς κινητού ή ανεβάστε το αρχείο CSV. ΣΗΜΕΙΩΣΗ: Αν το κείμενο του SMS είναι στα Ελληνικά, μπορείτε να χρησιμοποιήσετε ΚΕΦΑΛΑΙΑ ΓΡΑΜΜΑΤΑ ώστε να μην χρειάζετε να ενεργοποιήσετε το 'UNICODE'! Έτσι με αυτό το τρόπο, θα έχετε 160 χαρ. διαθέσιμους ανά SMS και όχι 70 που έχει το Unicode."
"Send SMS - not active","Αποστολή SMS - Ανενεργό"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Το προφίλ χρήστη δεν είναι ενεργό! Για να εγγραφείτε, κάντε κλικ στην καρτέλα SMS στο κύριο μενού. Το πρόσθετο θα σας εμφανίσει τα πεδία για καταχώρηση των δεδομένων της εγγραφής σας. Εάν στο παρελθόν είχατε χρησιμοποιήσει το πρόσθετό μας και γνωρίζετε το όνομα χρήστη και τον κωδικό πρόσβασης, συμπληρώστε τη φόρμα για τον υπάρχοντα λογαριασμό. Διαφορετικά, συμπληρώστε το email σας, αποδεχτείτε τους όρους της άδειας χρήσης και κάντε κλικ στην εγγραφή."
"Fill in SMS text.","Συμπληρώστε το κείμενο SMS."
"SMS text is too long (max. 612 characters).","Το κείμενο είναι πάρα πολύ μακρύ (max. 612 χαρακτήρες)."
"SMS text is too long (max. 268 unicode characters).","Το κείμενο είναι πάρα πολύ μακρύ (max. 268 unicode χαρακτήρες)."
"Wrong time of SMS sending.","Λανθασμένη ώρα για αποστολή SMS."
"Recipients found: 0","Παραλήπτες που βρέθηκαν: 0"
"You do not have enough credit to send SMS to all ","Δεν έχετε αρκετές μονάδες για να στείλετε SMS προς όλους "
" recipients."," παραλήπτες."
"SMS was sent.","SMS εστάλη."
"SMS was saved.","SMS αποθηκεύτηκε."
"wrong number or unavailable","λάθος αριθμός ή μη διαθέσιμος"
"unauthorized senderID in confirmation sms","μη εξουσιοδοτημένο ID αποστολέα στο sms επιβεβαίωσης"
"low credit for sending sms","λίγες μονάδες για αποστολή sms"
"unicode is not supported","δεν υποστηρίζονται οι unicode χαρακτήρες"
"can not connect to SMS server","δεν μπορεί να συνδεθεί με το διακομιστή SMS"
"SMS SIMULATION (Sending of SMS was simulated. Recipient will not receive SMS)","ΠΡΟΣΟΜΟΙΩΤΗΣ SMS (Η αποστολή του SMS ηταν σε προσομοίωση. Ο παραλήπτης δεν έλαβε κανένα SMS)"
"SMS was sent (simulation).","SMS εστάλη (προσομοιωση)."
"error","σφάλμα"
"login error","Σφάλμα σύνδεσης"
" Send later "," Αποστολή αργότερα (προγραμματισμένα) "
"Characters: ","Χαρακτήρες: "
"1hr","1ώρα"
"Date: ","Ημερομηνία: "
"SMS Answers","SMS Απαντήσεις"
"SMS answer from customer is displayed only when customer receives SMS from your shop with SMS sender type „System number“ and customer replies using his own mobile phone.","Η απάντηση SMS από πελάτη εμφανίζεται μόνο όταν ο πελάτης λάβει SMS από το κατάστημα σας με τύπο αποστολέα „Αριθμός συστήματος“ και ο πελάτης απαντήσει χρησιμοποιώντας το δικό του κινητό τηλέφωνο."
"Show","Εμφάνιση"
"Search results ","Αποτελέσματα αναζήτησης "
" of "," από "
"SMS center","Κέντρο SMS"
"Date","Ημερομηνία"
"From number","Από τον αριθμό"
"new","νέο"
"Previous","Προηγούμενη"
"Next","Επόμενη"
" Page: "," Σελίδα: "
"SMS Answers - not active","SMS Απαντήσεις - Ανενεργό"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Το προφίλ χρήστη δεν είναι ενεργό! Για να εγγραφείτε, κάντε κλικ στην καρτέλα SMS στο κύριο μενού. Το πρόσθετο θα σας εμφανίσει τα πεδία για καταχώρηση των δεδομένων της εγγραφής σας. Εάν στο παρελθόν είχατε χρησιμοποιήσει το πρόσθετό μας και γνωρίζετε το όνομα χρήστη και τον κωδικό πρόσβασης, συμπληρώστε τη φόρμα για τον υπάρχοντα λογαριασμό. Διαφορετικά, συμπληρώστε το email σας, αποδεχτείτε τους όρους της άδειας χρήσης και κάντε κλικ στην εγγραφή."
"year","έτος"
"month","μήνας"
"SMS","SMS"
"Text:","Κείμενο:"
"Total SMS answers: 0","Συνολικές απαντήσεις SMS: 0"
"SENT to recipient","ΑΠΕΣΤΑΛΜΕΝΟ στο παραλήπτη"
"ERROR","ΣΦΑΛΜΑ"
"DELIVERED to recipient","ΠΑΡΑΔΟΘΗΚΕ στο παραλήπτη"
"RECIPIENT UNAVAILABLE","ΠΑΡΑΛΗΠΤΗΣ ΜΗ ΔΙΑΘΕΣΙΜΟΣ"
"SMS History","Ιστορικό SMS"
"History of sent SMS from SMS module.","Ιστορικό σταλμένων SMS από το πρόσθετο των SMS."
" admin sms"," SMS διαχειριστή"
" customer sms"," SMS πελάτη"
" marketing sms"," SMS Καμπάνια"
" simple sms"," Απλό SMS"
"Show","Εμφάνιση"
"Search results ","Αποτελέσματα αναζήτησης "
" of "," από "
"Type","Τύπος"
"Date","Ημερομηνία"
"SMS subject","Θέμα SMS"
"Number","Αριθμός"
"yes","ναι"
"no","όχι"
"system number","αριθμός συστήματος"
"Credit balance:","Υπόλοιπο μονάδων:"
"Display customer detail","Εμφάνιση λεπτομερειών πελάτη"
"Text:","Κείμενο:"
"Total SMS:","Συνολικά SMS:"
"SMS History - not active","Ιστορικό SMS - Ανενεργό"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Το προφίλ χρήστη δεν είναι ενεργό! Για να εγγραφείτε, κάντε κλικ στην καρτέλα SMS στο κύριο μενού. Το πρόσθετο θα σας εμφανίσει τα πεδία για καταχώρηση των δεδομένων της εγγραφής σας. Εάν στο παρελθόν είχατε χρησιμοποιήσει το πρόσθετό μας και γνωρίζετε το όνομα χρήστη και τον κωδικό πρόσβασης, συμπληρώστε τη φόρμα για τον υπάρχοντα λογαριασμό. Διαφορετικά, συμπληρώστε το email σας, αποδεχτείτε τους όρους της άδειας χρήσης και κάντε κλικ στην εγγραφή."
"SMS price in credits:","Κόστος SMS σε μονάδες:"
"year","έτος"
"month","μήνας"
"Status","Κατάσταση"
"Recipient","Παραλήπτης"
"Unicode:","Unicode:"
"senderID:","ID αποστολέα:"
"Previous","Προηγούμενη"
"Next","Επόμενη"
" Page: "," Σελίδα: "
"Total SMS: 0","Συνολικά SMS: 0"
"SMS","SMS"
"","Διαγραφή ιστορικού SMS"
"","Είστε σίγουροι ότι θέλετε να διαγράψετε το ιστορικό SMS;"
"SMS Marketing - bulk SMS text","SMS Καμπάνιες - Μαζική αποστολή SMS"
"Enter SMS text","Εισάγετε το κείμενο SMS"
" Unicode "," Unicode "
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70).","Επιλέξτε το μόνο εάν θέλετε να χρησιμοποιήσετε Ελληνικά, Κινέζικα, Αραβικά, Εβραϊκά, Κορεάτικα κ.α. ή διακριτικά μέσα στο κείμενο του SMS σας (Το Unicode κείμενο σας επιτρέπει να εισάγετε τους χαρακτήρες αυτούς σε όλες τις γραμματοσειρές καθώς και διάφορα άλλα σύμβολα ταυτόχρονα. Ο αριθμός των χαρακτήρων σε ένα SMS θα μειωθεί σε 70). ΣΗΜΕΙΩΣΗ: Αν το κείμενο του SMS είναι στα Ελληνικά, μπορείτε να χρησιμοποιήσετε ΚΕΦΑΛΑΙΑ ΓΡΑΜΜΑΤΑ ώστε να μην χρειάζετε να ενεργοποιήσετε το 'UNICODE'! Έτσι, με αυτό το τρόπο, θα έχετε 160 χαρ. διαθέσιμους ανά SMS και όχι 70 που έχει το Unicode"
" Send later "," Αποστολή αργότερα (προγραμματισμένα) "
"Your time: ","Η ώρα σας: "
"Total customers:","Σύνολο πελατών:"
"Total SMS:","Συνολικά SMS:"
"SMS Marketing - bulk SMS filter","SMS Καμπάνιες - φίλτρο μαζικού SMS"
"All customers","Όλοι οι πελάτες"
"company customers","Εταιρικοί πελάτες"
"private customers","Ιδιώτες πελάτες"
"All countries","Όλες οι χώρες"
"Last name:","Επίθετο:"
"First name:","Όνομα:"
"Last name","Επίθετο"
"First name","Όνομα"
"Groups:","Ομάδες:"
"All","Όλοι"
"Gender:","Φύλο:"
"Male","Άντρας"
"Female","Γυναίκα"
"Newsletter:","Ενημερωτικό Δελτίο:"
"Yes","Ναι"
"No","Όχι"
"Apply filter","Εφαρμογή φίλτρου"
"Date of birth from: ","Ημερομηνία γέννησης από: "
"to: ","μέχρι: "
"Date of registration from: ","Ημερομηνία εγγραφής από: "
"Customers found: ","Πελάτες που βρέθηκαν: "
"results","αποτελέσματα"
"Action","Ενέργεια"
"Mobile number","Αριθμός κινητού"
"Customer ID","ID Πελάτη"
"REMOVE customer from this list","ΑΦΑΙΡΕΣΗ πελάτη από αυτή τη λίστα"
"Next","Επόμενη"
"Previous","Προηγούμενη"
" Page: "," Σελίδα: "
"SMS Marketing - customers found: ","SMS Καμπάνιες - οι πελάτες που βρέθηκαν: "
"Write text of message and use advanced filter to target your marketing campaign.","Γράψτε το κείμενο του μηνύματος και κάντε χρήση προηγμένων φίλτρων για να στοχεύσετε την καμπάνια σας. ΣΗΜΕΙΩΣΗ: Αν το κείμενο του SMS είναι στα Ελληνικά, μπορείτε να χρησιμοποιήσετε ΚΕΦΑΛΑΙΑ ΓΡΑΜΜΑΤΑ ώστε να μην χρειάζετε να ενεργοποιήσετε το 'UNICODE'! Έτσι με αυτό το τρόπο, θα έχετε 160 χαρ. διαθέσιμους ανά SMS και όχι 70 που έχει το Unicode"
"Marketing SMS","SMS Καμπάνια"
"SMS Marketing - not active","SMS Καμπάνια - Ανενεργό"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Το προφίλ χρήστη δεν είναι ενεργό! Για να εγγραφείτε, κάντε κλικ στην καρτέλα SMS στο κύριο μενού. Το πρόσθετο θα σας εμφανίσει τα πεδία για καταχώρηση των δεδομένων της εγγραφής σας. Εάν στο παρελθόν είχατε χρησιμοποιήσει το πρόσθετό μας και γνωρίζετε το όνομα χρήστη και τον κωδικό πρόσβασης, συμπληρώστε τη φόρμα για τον υπάρχοντα λογαριασμό. Διαφορετικά, συμπληρώστε το email σας, αποδεχτείτε τους όρους της άδειας χρήσης και κάντε κλικ στην εγγραφή."
"Fill in SMS text","Συμπληρώστε το κείμενο SMS"
"SMS text is too long (max. 612 characters).","Το κείμενο είναι πάρα πολύ μακρύ (max. 612 χαρακτήρες)."
