"lang_iso_code","pt"
"Unicode was saved.","Unicode foi guardado."
"Restore unsaved changes to its original state.","Retorna as alterações não guardadas ao estado original"
"Purchase Credit","Comprar crédito"
"Purchase Credit - not active","Comprar crédito - inativo"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","O perfil do usuário não está ativo! Registe-se, clicando na guia SMS no menu principal. Módulo vai mostrar-lhe o formulário de registo. Se você usou este m«odulo no passado e conhece o seu nome de usuário e a senha, preencha o formulário para uma conta existente. Caso contrário, digite o email, aceite termos de licença e clique em ""Registrar"" "
" In case methods for credit purchase are not displayed properly, please click here:","No caso de você não ver a escolha das opções para recarregar o crédito, por favor clique aqui:"
"Bulk SMS text","O texto da mensagem de massa"
"Add recipients ","Adicione um destinatário "
"Add one or more recipients separated by commas. Number must be in international format, no leading zeros or “+“ sign.","Adicione um ou mais destinatários, separados por vírgulas. O número deve ser em formato internacional, sem zeros ou o sinal “+“, por exemplo, 351931234567"
" (e.g. 447971796595)"," (por exemplo: 351931234567)"
"Enter SMS text","Insera o texto da mensagem SMS"
"Add recipients in CSV file ","Adicione um destinatário no arquivo CSV "
"CSV file - 1 column, 1st column - number (Number must be in international format, no leading zeros or “+“ sign; e.g. 447971796595)","O arquivo CSV - 1 coluna, 1.ª coluna - número (O número deve ser no formato internacional, sem zeros ou o sinal “+“, por exemplo, 351931234567"
" Unicode ","Unicode"
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70).","Assinale apenas se você deseja usar na mensagem acentos ou idiomas como chinês, árabe, grego, hebraico, coreano, etc. (Unicode permite que você use simultaneamente diferentes fontes e símbolos. Número de caracteres em uma mensagem Unicode é 70)."
"Your time: ","A sua hora:"
"Time: ","Hora:"
"time zone: ","Fuso horário:"
"time zone settings","Configuração do fuso horário"
"Text is too long","O texto é muito longo"
"Send SMS","Enviar SMS"
"Send","Enviar"
"Send SMS or bulk SMS. Enter mobile numbers or upload CSV file.","O envio de SMS de massa ou SMS. Insera os números de telefone ou faça upload de um arquivo CSV."
"Send SMS - not active","Enviar SMS - inativo"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","O perfil do usuário não é ativo! Registe-se, clicando na guia SMS no menu principal. Módulo vai mostrar-lhe o formulário de registo. Se você usou este módulo no passado e conhece o seu nome de usuário e a senha, preencha o formulário para uma conta existente. Caso contrário, digite o email, aceite os termos de licença e clique em ""Registar""."
"Fill in SMS text.","Preencha o texto de mensagem SMS"
"SMS text is too long (max. 612 characters).","O texto de SMS é muito longo (máx. 612 caracteres)."
"SMS text is too long (max. 268 unicode characters).","O texto de SMS é muito longo (máx. 268 caracteres)."
"Wrong time of SMS sending.","Mau tempo para enviar SMS."
"Recipients found: 0","Destinatários encontrados: 0"
"You do not have enough credit to send SMS to all ","Você não tem crédito suficiente para enviar mensagens SMS para todos os "
" recipients."," destinatários"
"SMS was sent.","A mensagem SMS foi enviada."
"SMS was saved.","A mensagem SMS foi guardada."
"wrong number or unavailable","Número errado ou indisponível"
"unauthorized senderID in confirmation sms","A identificação do remetente não-autorizado na SMS de confirmação"
"low credit for sending sms","Baixo nível de crédito para o envio de mensagem SMS"
"unicode is not supported","Unicode não é suportado"
"login error","erro de login"
"can not connect to SMS server","Não se pode conectar ao servidor de SMS"
"SMS SIMULATION (Sending of SMS was simulated. Recipient will not receive SMS)","SIMULAÇÃO DE SMS (O envio de SMS foi simulado. O destinatário não vai receber a mensagem SMS.)"
"SMS was sent (simulation).","SMS foi enviada (simulação)."
"error","erro"
" Send later "," Enviar mais tarde "
"Characters: ","Caracteres: "
"1hr","1 hora: "
"Date: ","Data: "
"SMS Answers","Respostas de SMS"
"SMS answer from customer is displayed only when customer receives SMS from your shop with SMS sender type „System number“ and customer replies using his own mobile phone.","As respostas de SMS do cliente é exibida apenas quando um cliente da sua loja receberá uma SMS com o tipo de remetente ""número de sistema"" e o cliente responde do mesmo número de telefone."
"Show","Mostrar"
"Search results ","Resultado da pesquisa "
" of "," de "
"SMS center","centro de SMS"
"Date","Data"
"From number","De número"
"new","novo"
"Previous","Anterior"
"Next","Seguinte"
" Page: "," Página: "
"SMS Answers - not active","Respostas SMS - inativas"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","O perfil do usuário não é ativo! Registe-se, clicando na guia SMS no menu principal. Módulo vai mostrar-lhe o formulário de registo. Se você usou este módulo no passado e conhece o seu nome de usuário e a senha, preencha o formulário para uma conta existente. Caso contrário, digite o email, aceite os termos de licença e clique em ""Registar""."
"year","ano"
"month","mês"
"SMS","SMS"
"Text:","Texto:"
"Total SMS answers: 0","Ao total de respostas SMS: 0"
"SENT to recipient","ENVIADO ao destinatário"
"ERROR","ERRO"
"DELIVERED to recipient","ENTREGUE ao destinatário"
"RECIPIENT UNAVAILABLE","DESTINATÁRIO INDISPONÍVEL"
"SMS History","História de SMS"
"History of sent SMS from SMS module.","História de mensagens SMS enviadas do SMS módulo."
" admin sms"," admin SMS"
" customer sms"," SMS para os clientes"
" marketing sms"," SMS de marketing"
" simple sms"," SMS simples"
"Show","Mostrar"
"Search results ","Resultado de pesquisa"
" of "," de "
"Type","Tipo"
"Date","Data"
"SMS subject","objeto de SMS"
"Number","Número"
"yes","sim"
"no","não"
"system number","número de sistema"
"Credit balance:","Estado de conta:"
"Display customer detail","Mostrar detalhe do cliente"
"Text:","Texto: "
"Total SMS:","SMS ao total: "
"SMS History - not active","História de SMS - inativa"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","O perfil do usuário não é ativo! Registe-se, clicando na guia SMS no menu principal. Módulo vai mostrar-lhe o formulário de registo. Se você usou este módulo no passado e conhece o seu nome de usuário e a senha, preencha o formulário para uma conta existente. Caso contrário, digite o email, aceite os termos de licença e clique em ""Registar""."
"SMS price in credits:","Preço em créditos:"
"year","ano"
"month","mês"
"Status","Estado"
"Recipient","Destinatário"
"Unicode:","Unicode:"
"senderID:","Número do remetente:"
"Previous","Anterior"
"Next","Seguinte"
" Page: "," Página: "
"Total SMS: 0","SMS ao total: 0"
"SMS","SMS"
"SMS Marketing - bulk SMS text","SMS de Marketing - o texto de mensagem de massa"
"Enter SMS text","Insera o texto da mensagem SMS"
" Unicode "," Unicode "
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70).","Assinale apenas se você deseje usar na mensagem acentos ou idiomas como chinês, árabe, grego, hebraico, coreano, etc. (Unicode permite que você use simultaneamente diferentes fontes e símbolos. Número de caracteres em uma mensagem Unicode é 70)"
" Send later "," Enviar mais tarde "
"Your time: ","A sua hora: "
"Total customers:","Clientes ao total: "
"Total SMS:","SMS ao total: "
"SMS Marketing - bulk SMS filter","SMS de Marketing - filtro de SMS de massa"
"All customers","Todos os clientes"
"company customers","Clientes de firma"
"private customers","Pessoas particulares"
"All countries","Todos os países"
"Last name:","Sobrenome:"
"First name:","Nome:"
"Last name","Sobrenome"
"First name","Nome"
"Groups:","Grupos: "
"All","Todos"
"Gender:","Sexo:"
"Male","Homem"
"Female","Mulher"
"Newsletter:","Novidades"
"Yes","Sim"
"No","Não"
"Apply filter","Usar o filtro"
"Date of birth from: ","Data de nascimento de:"
"to: ","a:"
"Date of registration from: ","Data de registo de: "
"Customers found: ","Clientes encontrados: "
"results","mostrado"
"Action","Ação"
"Mobile number","Número de telefone"
"Customer ID","Número de cliente"
"REMOVE customer from this list","REMOVER cliente da lista"
"Next","Seguinte"
"Previous","Anterior"
" Page: "," Página: "
"SMS Marketing - customers found: ","SMS de Marketing - os clientes encontrados: "
"Write text of message and use advanced filter to target your marketing campaign.","Escreva o texto da mensagem e use filtros avançados para direcionar a suas campanhas de marketing."
"Marketing SMS","SMS de Marketing"
"SMS Marketing - not active","SMS de Marketing - inativo"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","O perfil do usuário não é ativo! Registe-se, clicando na guia SMS no menu principal. Módulo vai mostrar-lhe o formulário de registo. Se você usou este módulo no passado e conhece o seu nome de usuário e a senha, preencha o formulário para uma conta existente. Caso contrário, digite o email, aceite os termos de licença e clique em ""Registar""."
"Fill in SMS text","Preencha o texto de mensagem SMS."
"SMS text is too long (max. 612 characters).","O texto de SMS é muito longo (máx. 612 caracteres)"
"SMS text is too long (max. 268 unicode characters).","O texto de SMS é muito longo (máx. 268 caracteres)"
"Customers found: 0","Clientes encontrados: 0"
"Wrong time of SMS sending.","Mau tempo para enviar SMS."
"You do not have enough credit to send SMS to all ","Você não tem crédito suficiente para enviar mensagens SMS para todos os "
" customers."," clientes."
"SMS was sent.","A mensagem SMS foi enviada."
"SMS was saved.","A mensagem SMS foi guardada."
"wrong number or unavailable","Número errado ou indisponível"
"unauthorized senderID in confirmation sms","A identificação do remetente não-autorizado na SMS de confirmação"
"low credit for sending sms","Baixo nível de crédito para o envio de mensagem SMS"
"unicode is not supported","Unicode não é suportado"
"can not connect to SMS server","Não se pode conectar ao servidor de SMS"
"SMS SIMULATION (Sending of SMS was simulated. Recipient will not receive SMS)","SIMULAÇÃO DE SMS (O envio de SMS foi simulado. O destinatário não vai receber a mensagem SMS.)"
"SMS was sent (simulation).","SMS foi enviada (simulação)."
"error","erro"
"login error","erro de login"
"Date:","Data:"
"Time: ","Hora: "
"1hr","1 hora"
"time zone: ","fuso horário: "
"time zone settings","Configuração do fuso horário"
"Send","Enviar"
"Characters: "," Caracteres: "
"Text is too long","O texto é muito longo"
"Type:","Tipo:"
"Country:","País:"
"City:","Cidade:"
"Advert:","Publicidade:"
"Store:","Loja:"
"All stores","Todas as lojas"
"Presta SMS","Presta SMS"
"presta-sms.com - send SMS from your Prestashop!","presta-sms.com - envie mensagens SMS a partir do seu Prestashop!"
"Admin SMS","Admin SMS"
"Customer SMS","SMS para os clientes"
"SMS Settings","Ajuste de SMS"
"SMS History","História de SMS"
"Purchase Credit","Comprar crédito"
"Marketing SMS","SMS de Marketing"
"SMS Answers","Respostas por SMS "
"Send SMS","Enviar SMS"
"About","Sobre o módulo"
"wrong number or unavailable","Número errado ou indisponível"
"unauthorized senderID in confirmation sms","A identificação do remetente não-autorizado na SMS de confirmação"
"low credit for sending sms","Baixo nível de crédito para o envio de mensagem SMS"
"unicode is not supported","Unicode não é suportado"
"login error","erro de login"
"can not connect to SMS server","Baixo nível de crédito para o envio de mensagem SMS"
"SMS SIMULATION (Sending of SMS was simulated. Recipient will not receive SMS)","SIMULAÇÃO DE SMS (O envio de SMS foi simulado. O destinatário não vai receber a mensagem SMS.)"
"unknown mobile number","número desconhecido"
"not connected to SMS server","Não conectado ao servidor de SMS"
"New orders","Novas encomendas"
"New order from {customer_firstname} {customer_lastname}, customer id: {customer_id}, order id: {order_id}, payment: {order_payment}, amount: {order_total_paid} {order_currency}. Order: {newOrder2}. Info from {shop_name}.","Nova encomenda de {customer_firstname} (customer_lastname}, cliente: {customer_id}, encomenda: {order_id}, Pagamento: {order_payment}, soma: {order_total_paid} {order_currency} . Encomenda: {newOrder2.} Informações de {shop_name}."
"Your order {order_id} was successfully created, payment: {order_payment}, amount: {order_total_paid} {order_currency}. Have a nice day, {shop_name}.","A sua encomenda {order_id} foi criada com sucesso, o pagamento: {order_payment} , soma: {order_total_paid} {order_currency}. Bom dia, {shop_name}.."
"Possible variables:","Parâmetros aplicáveis​​:"
"Successful customer create account","Sucesso da criação da conta de cliente"
"Customer {customer_firstname} {customer_lastname}, id: {customer_id}, has just subscribed to {shop_name}.","Cliente {customer_firstname} {customer_lastname}, id: {customer_id}, acaba de registar-se em {shop_name}."
"Dear {customer_firstname} {customer_lastname}, your account in {shop_name} was successfully created. Your username: {customer_email}. Have a nice day!","Caro/a {customer_firstname} {customer_lastname}, a sua conta em {shop_name} foi criada com sucesso. Nome de usuário: {customer_email}. Bom dia!"
"Product returned","Os produtos devolvidos"
"Customer {customer_firstname} {customer_lastname}, id: {customer_id}, has returned product from order {order_id}. Order: {orderReturn2}. Customer text: {customer_question}. Info from {shop_name}.","O cliente {customer_firstname} {customer_lastname}, id: {customer_id}, devolveu o artigo de encomenda. {order_id}. Encomenda: {orderReturn2}. Mensagem do cliente: {customer_question}. Informações de {shop_name}."
"We have received your request. Order {order_id}. Have a nice day, {shop_name}.","Recebemos o seu pedido. Encomenda {order_id}. Bom dia, {shop_name}."
"Called when a quantity of one product change in an order","Notificação no caso em que altera a quantidade de alguns destes produtos."
"In order {order_id} was changed quantity, {orderSlip2}. Info from {shop_name}.","Na encomenda {order_id} foi modificada a quantidade {orderSlip2}. Informações de {shop_name}."
"In your order {order_id} was changed quantity, {orderSlip2}. Have a nice day, {shop_name}.","Na sua encomenda número {order_id} foi modificada a quantidade, {orderSlip2}. Bom dia{shop_name}."
"Payment confirmation","Confirmação do pagamento"
"Payment confirmation, order id: {order_id}, payment: {order_payment}, amount: {order_total_paid} {order_currency}. Info from {shop_name}.","Confirmação do pagamento, encomenda número: {order_id}, pagamento: {order_payment}, soma: {order_total_paid} {order_currency}. Informações de {shop_name}."
"We have successfully received payment for your order {order_id} via {order_payment}, amount: {order_total_paid} {order_currency}. Have a nice day, {shop_name}.","Temos recebido o pagamento pela sua encomenda {order_id} por meio de {order_payment}, soma: {order_total_paid} {order_currency}. Bom dia, {shop_name}."
"Update of tracking number in order","Atualização da encomenda - número de remessa atribuído pelo transportador"
"Order {order_id} was updated, tracking number is {order_shipping_number}. Info from {shop_name}.","A encomenda n. {order_id} foi atualizada com o número da remessa {order_shipping_number} atribuído pelo transportador. Informações de {shop_name}."
"Dear Customer, your order {order_id} was shipped, tracking number is {order_shipping_number}. Have a nice day, {shop_name}.","Caro cliente, o artigo da sua encomenda n. {order_id} foi enviado, o número da remessa atribuído pelo transportador é {order_shipping_number}. Bom dia, {shop_name}."
"Called when a product is deleted","Exclusão de produto do banco de dados"
"This product was deleted from {shop_name}, id: {product_id}, ref: {product_ref}, name: {product_name}. Deleted by user {employee_id}, {employee_email}.","Este produto foi eliminado de {shop_name}, id: {product_id}, ref: {product_ref}, nome: {product_name}. Eliminado pelo usuário: {employee_id}, {employee_email}."
"Quantity is updated only when the customer effectively place his order","A quantidade é atualizada apenas quando o cliente cria uma encomenda com sucesso"
"Quantity of product has changed, id: {product_id}, ref: {product_ref}, name: {product_name}, current quantity: {product_quantity}, supplier: {product_supplier}. Info from {shop_name}.","A quantidade do produto tem sido alterada, id: {product_id}, ref: {product_ref}, nome: {product_name}, nova quantidade: {product_quantity}, fornecedor: {product_supplier}. Informações de {shop_name}."
"Product out of stock","Este artigo não está em estoque"
"This product is almost out of stock, id: {product_id}, ref: {product_ref}, name: {product_name}, current quantity: {product_quantity}. Info from {shop_name}.","Este artigo está a acabar-se em estoque, id: {product_id}, ref: {product_ref}, nome: {product_name}, quantidade: {product_quantity}. Informações de {shop_name}."
"Called when admin or customer cancel a product in an order","Notificação se o administrador ou o cliente cancela o artigo na encomenda"
"In order {order_id} was canceled product with id: {product_id}, ref: {product_ref}, name: {product_name}. Quantity: {product_quantity}, quantity reinjected: {product_quantity_reinjected}. Info from {shop_name}.","Na encomenda {order_id} foi cancelado o artigo id: {product_id}, ref: {product_ref}, nome: {product_name}, quantidade: {product_quantity}, quantidade cancelada: {product_quantity_reinjected}Informações de {shop_name}."
"Status of order {order_id} has changed to ","O estado da encomenda{order_id} modificou a "
". Info from {shop_name}.",". Informações de {shop_name}."
"Dear Customer, status of your order {order_id} has changed to ","Caro cliente, o estado da sua encomenda {order_id} modificou a "
". Have a nice day, {shop_name}.",". Bom dia, {shop_name}."
"Bank wire","Transferência bancária"
"Company Name","Nome de firma"
"Country","País"
"City","Cidade"
"qty","quantidade"
"qty reinjected","quantidade eliminada"
"qty returned","quantidade devolvida"
"name","nome"
"not found","não encontrado"
"SMS Settings - Select Own number sender ID for ","Ajuste de SMS - Escolha o seu próprio número de remetente para "
"Own number sender ID settings","Ajuste do próprio número de remitente"
"own number sender ID","Próprio número de remitente"
"Existing Own number:","Próprio número existente"
"New Own number sender ID:","Novo próprio número de remitente"
"in international format, no leading <br />zeros or a “+” sign, e.g., 447971796595","no formato internacional, sem zeros ou o sinal “+“, por exemplo, 351931234567"
"SMS code:","código SMS:"
"CONFIRM","CONFIRMAR"
"Required field","preenchimento obrigatório"
"SMS Settings - Select Text sender ID for ","Ajuste de SMS - Selecione o remetente do texto para "
"Text sender ID settings","Ajuste do remetente do texto"
"Existing Text sender ID:","Remetente do texto existente"
"New Text sender ID:","Novo remetente do texto:"
"max. 11 characters","máx. 11 caracteres"
"SMS Settings","Ajuste de SMS"
"Define SMS Sender Type for each country separately (Text sender ID, Own mobile number or System number). SMS price depends on the recipient country, selected SMS sender type and amount of payment. In countries with undefined SMS sender type will be used System number sender type.","Defina o tipo de remetente para cada país. (Remetente do texto, próprio número de telemóvel ou número de sistema). O preço de SMS depende do país do receptor, do tipo de remetente e da quantidade de pagamento. Para os países com o tipo de remetente indefinido vai ser usado o número de sistema."
"Customer SMS settings","Ajuste de SMS para os clientes"
"ADD/CHANGE SELECTED COUNTRY","ADICIONAR/ALTERAR PAÍS ESCOLHIDO"
"SENDER TYPE","TIPO DE REMETENTE"
"NETWORK","REDE"
"SMS PRICE<br />IN CREDITS","PREÇO EM CRÉDITOS"
"SMS PRICE IN EUR (excl. VAT)","PREÇO DE SMS EM EUR (sem IVA)"
"payment","pagamento"
"Unicode ","Unicode "
"Unicode characters support (Unicode allows you to enter characters in all fonts and various symbols simultaneously. Is used for Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message)","Suporte para conjuntos de caracteres Unicode (Unicode permite que você use fontes, símbolos e marcas diferentes simultaneamente. É usado para idiomas como chinês, árabe, grego, hebraico, coreano, etc.)"
"TEXT SENDER ID","NÚMERO DE TEXTO DO REMETENTE"
"Text sender ID","Número de texto do remetente"
"SYSTEM NUMBER","NÚMERO DE SISTEMA"
"OWN NUMBER SENDER ID","PRÓPRIO NÚMERO DO REMETENTE"
"SIM HOSTING","SIM HOSTING"
"UNICODE SUPPORTED","UNICODE SUPORTADO"
"UNICODE NOT SUPPORTED","UNICODE NÃO SUPORTADO"
"SAVE SMS SETTINGS","GUARDAR O AJUSTE DE SMS"
"Are you sure to delete","Tem certeza de que deseja excluir"
"Select country: ","Selecione um país: "
"SMS settings - not active","Ajuste de SMS - inativo"
