"lang_iso_code","rs"
"Account","Nalog"
"Product","Proizvod"
"Order status","Stanje porudžbine"
"Order","Porudžbina"
"Admin SMS - not active","Admin SMS - nije aktiviran"
"Please add at least one administrator!","Molimo odaberite bar jednog administratora!"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Profil korisnika nije aktivan! Da bi se registrovali kliknite na SMS odeljak u glanom meniu. Modul će prikazati prozor za registraciju podataka. Ako ste prethodno već koristli naš formular i imate korisničko imei lozinku, popunite obrazac za postojeći nalog. U suprotnom upišite email, prihvatite uslove korišćenja i potvrdite registraciju."
"Invalid SMS text","Nedozvoljen tekst poruke"
"Text of SMS was saved.","Tekst poruke je sačuvan."
"Unicode saved.","Unicode sačuvan."
"char","char"
"chars","chars"
"label","oznaka"
"SMS text","SMS tekst"
"total sms:","ceo sms:"
"Enter SMS text","SMS tekst"
"Preview","Pregled"
"Administrators","Administratori"
"Save","Sačuvati"
"Cancel","Poništiti"
"Restore unsaved changes to its original state.","Izmene koje nisu sačuvane vratiti u prvobitno stanje."
"User profile - not active","Korisnički profil - nije aktivan"
"User profile - active","Korisnički profil - aktivan"
"New user account","Novi korisnički nalog"
"Not registered yet? Create account now!","Još niste registrovani? Napravite nalog odmah!"
"Email:","Email:"
"Company name:","Ime kompanije:"
"Street:","Ulica:"
"City:","Mesto:"
"ZIP:","Poštanski broj:"
"Country:","Zemlja:"
"Company ID:","Matični broj kompanije:"
"Company VAT:","PIB kompanije:"
"Referer ID:","Referer ID:"
"View licence terms:","Pogledati uslove korišćenja:"
"I agree","Saglasan"
"I dont agree","Nisam saglasan"
"Register","Registracija"
"Required field","Polje mora biti popunjeno"
"Sign in","Prijava"
"If You already have an account, please sign in.","Ako već imate nalog, molimo prijavite se."
"Username:","Korisničko ime:"
"Password:","Lozinka:"
"Log in","Logovanje"
"Edit user account","Promena korisničkog naloga"
"Save","Sačuvati"
"User account info","Podaci korisničkog naloga"
"SMS Credit:","SMS kredit:"
"Add administrators","Dodati administratore"
"Name:","Ime:"
"Mobile number:","Broj mobilnog telefona:"
"Edit","Prepraviti"
"Add","Dodati"
"Other settings","Ostala podešavanja"
"Simulate SMS sending:","Simulirati slanje SMSa:"
"Allows to test sending of SMS in modul and to view sent SMS in SMS history with a special status.","Dozvoljava testiranje slanja SMSa u modulu i pregled poslatog SMSa u primljenim SMSovima sa posebnim statusom."
"Delete database:","Izbrisati bazu podataka:"
"Allows to decide if current SMS settings and database of sent SMS shall be stored when uninstalling SMS module.","Dozvoljava odluku da li će postojeća SMS podešavanja i baza podataka poslatih SMSova biti sačuvani pri dezinstaliranju SMS modula."
"Delivery reports:","Izveštaj o prijemu:"
"Allows to see delivery reports of SMS in SMS history Tab.","Dozvoljava pregled izveštaja o prijemu SMSa u primljenim SMSovima."
"Low credit alert:","Upozorenje o preostalom kreditu:"
" Allows to receive email when your SMS credit is low.","Dozvoljava prijem emaila pri niskom iznosu SMS kredita."
"Email for delivery reports:","Elektronska adresa za izveštaje o dospeću:"
"Allows to receive email with delivery report of SMS.","Dozvoljava prijem emaila sa izveštajem o prijemu SMSa."
"Admin was created.","Admin uspešno kreiran."
"You have to agree with licence terms.","Potrebno je biti saglasan sa uslovima korišćenja."
"Account was created.","Nalog je uspešno kreiran. Poslali smo elektronsku poruku u elektronsko poštansko sanduče. Potrebno je otvoriti poruku, kliknuti na link koji se nalazi u njoj i tako potvrditi datu adresu i usput dobiti 5 besplatnih poena kredita."
"you can add another account after ","Moguće je naknadno dodati još naloga"
"minutes"," minuti"
"can not connect to SMS server","nije moguće povezati se sa SMS serverom"
"You were succesfully loged in.","Uspešno ste se ulogovali."
"error","greška"
"Invalid e-mail for delivery report.","Nevažeći e-mail za izveštaj o prijemu."
"Invalid e-mail","Nevažeći e-mail"
"Account was changed.","Nalog je promenjen."
"Account was changed, but module URL for DR does not answer.","Nalog je promenjen, ali modul URL za IP ne odgovara."
"you can change account after ","moguće je izmeniti nalog naknadno "
" seconds"," sekunde"
"Invalid name","Nevažeće ime"
"Invalid number","Nevažeći broj"
"Admin was changed.","Admin je izmenjen."
"Admin was deleted.","Admin je izbrisan."
"no changes were made","nisu urađene izmene"
"login error","greška pri logovanju"
"Are you sure to delete","da li ste sigurni da želiti izbrisati"
"DELETE administrator","IZBRISATI administratora"
"EDIT administrator","IZMENITI administratora"
"in international format, no leading zeros or a “+” sign, e.g., 447971796595","međunarodni format, bez nula na početku i bez “+” znaka na primer 381611748783"
"(when uninstall)","(pri dezinstaliranju)"
"(0 = no alert)","(0 = bez upozorenja)"
"Fill in username and password.","upisati korisničko ime i lozinku."
"Customer SMS - ","Klijentov SMS - "
"Customer SMS - not active","Klijentov SMS - nije aktivan"
" language version","jezička verzija"
"Select events during which shall be customer notified via SMS and customize text of messages. You can also add a new language version of SMS messages for each country separately. In countries with undefined language version will be used default language version.","Izabrati događaje prilikom kojih će klijent biti obavešten SMSom i izabrati tekst poruke. Moguće je takođe dodati verziju poruke na drugom jeziku za svaku zemlju pojedinačno. Za zemlje koje nemaju definisanu verziju jezika, predefinisana verzija jezika će biti iskorišćena."
"Add SMS text version","Dodati SMS tekst verziju"
"Select country: ","Izabrati zemlju: "
"Unicode SMS","Unicode SMS"
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70).","Obeležiti samo ako se žele koristiti Kineski, Arapski, Grčki, Hebrejski, Koreanski, Ćirilični itd. simboli u tekstu poruke (Unicode tekst dozvoljava korišćenje simbola u svim fontovima i raznih drugih simbola u isto vreme. Broj simbola u pojedinačnoj poruci će biti ograničen na 70)."
"Order status","Stanje porudžbine"
"Sending notifications via SMS is ACTIVE","Slanje obaveštenja SMSom je AKTIVIRANO"
"Sending notifications via SMS is NOT ACTIVE. To activate SMS sending check „Active“ in desired status detail.","Slanje obaveštenja SMSom NIJE AKTIVIRANO. Za aktivaciju slanja SMSa obeležiti „Aktivacija“ u statusu podataka."
" Update of order status ","Ažuriranje statusa porudžbine"
"Account","Nalog"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Profil korisnika nije aktivan! Da bi se registrovali kliknite na SMS odeljak u glanom meniu. Modul će prikazati prozor za registraciju podataka. Ako ste prethodno već koristli naš formular i imate korisničko imei lozinku, popunite obrazac za postojeći nalog. U suprotnom upišite email, prihvatite uslove korišćenja i potvrdite registraciju."
"Invalid SMS text","Nedozvoljen SMS tekst"
"Text of SMS was saved.","Tekst SMSa sačuvan."
"SMS text version was deleted.","SMS tekst verzija izbrisana."
"Are you sure to delete","Da li ste sigurni da želite izbrisati"
"DELETE language version","IZBRISATI jezičku verziju"
"SMS text","SMS tekst"
"unicode","unicode"
"SMS text version for ","SMS tekst verzija za "
" was saved"," je sačuvano"
"Preview","Pregled"
"Active","Aktivno"
"Save","Sačuvati"
"Cancel","Poništiti"
"total sms:","ceo sms:"
"EDIT language version","IZMENITI jezičku verziju"
"default","predefinisano"
"Edit","Izmeniti"
"Add","Dodati"
"Order","Porudžbina"
"Chars","chars"
"Unicode was saved.","Unicode je sačuvan."
"Restore unsaved changes to its original state.","Izmene koje nisu sačuvane vratiti u prvobitno stanje."
"Purchase Credit","Kupiti kredit"
"Purchase Credit - not active","Kupiti kredit - nije aktivirano"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Profil korisnika nije aktivan! Da bi se registrovali kliknite na SMS odeljak u glanom meniu. Modul će prikazati prozor za registraciju podataka. Ako ste prethodno već koristli naš formular i imate korisničko imei lozinku, popunite obrazac za postojeći nalog. U suprotnom upišite email, prihvatite uslove korišćenja i potvrdite registraciju."
" In case methods for credit purchase are not displayed properly, please click here:","U slučaju da načini kupovine kredita nisu prikazani u potpunosti, molim Vas klikniti ovde:"
"Bulk SMS text","Tekst SMS za grupno slanje"
"Add recipients ","Dodati primaoce "
"Add one or more recipients separated by commas. Number must be in international format, no leading zeros or “+“ sign.","Dodati jednog ili više primaoca razdvojenih zapetama. Brojevi moraju da budu u međunarodnom formatu, bez nule na početku ili znaka “+“."
" (e.g. 447971796595)"," (na pr. 381611748783)"
"Enter SMS text","Uneti SMS tekst"
"Add recipients in CSV file ","Dodati primaoce u CSV dosije "
"CSV file - 1 column, 1st column - number (Number must be in international format, no leading zeros or “+“ sign; e.g. 447971796595)","CSV dosije - 1 kolona, 1 kolona - broj (Broj mora da bude u međunarodnom formatu, bez početnih nula ili znaka “+“, na pr. 381611748783)"
" Unicode "," Unicode "
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70).","Obeležiti samo ako se žele koristiti Kineski, Arapski, Grčki, Hebrejski, Koreanski, Ćirilični itd. simboli u tekstu poruke (Unicode tekst dozvoljava korišćenje simbola u svim fontovima i raznih drugih simbola u isto vreme. Broj simbola u pojedinačnoj poruci će biti ograničen na 70)."
"Your time: ","Preostalo vreme: "
"Time: ","Vreme: "
"time zone: ","Vremenska zona: "
"time zone settings","Podešavanje vremenske zone"
"Text is too long","Tekst predugačak"
"Send SMS","Poslati SMS"
"Send","Poslati"
"Send SMS or bulk SMS. Enter mobile numbers or upload CSV file.","Poslati SMS ili SMS za više primaoca. Upisati broj telefona ili učitati CSV dosije."
"Send SMS - not active","Slanje SMS - nije aktivno"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Profil korisnika nije aktivan! Da bi se registrovali kliknite na SMS odeljak u glanom meniu. Modul će prikazati prozor za registraciju podataka. Ako ste prethodno već koristli naš formular i imate korisničko imei lozinku, popunite obrazac za postojeći nalog. U suprotnom upišite email, prihvatite uslove korišćenja i potvrdite registraciju."
"Fill in SMS text.","Uneti tekst SMSa."
"SMS text is too long (max. 612 characters).","SMS tekst predugačak (max. 612 simbola)."
"SMS text is too long (max. 268 unicode characters).","SMS tekst predugačak (max. 268 unicode simbola)."
"Wrong time of SMS sending.","pogrešno vreme slanja SMSa."
"Recipients found: 0","Nađeni primaoci: 0"
"You do not have enough credit to send SMS to all ","Nemate dovoljno kredita za slanje SMS svima "
" recipients."," primaoci."
"SMS was sent.","SMS poslat."
"SMS was saved.","SMS sačuvan."
"wrong number or unavailable","pogrešan broj ili nedostupan"
"unauthorized senderID in confirmation sms","nedozvoljen ID pošiljaoca u poruci za potvrdu"
"low credit for sending sms","nedovoljan kredit za slanje smsa"
"unicode is not supported","unicode nije podržan"
"can not connect to SMS server","nije moguće priključiti se na SMS server"
"SMS SIMULATION (Sending of SMS was simulated. Recipient will not receive SMS)","SMS SIMULACIJA (Slanje SMSa je simulirano. Primaoci neće primiti SMS)"
"SMS was sent (simulation).","SMS poslat (simulacija)."
"error","greška"
"login error","greška pri logovanju"
" Send later "," Poslati kasnije "
"Characters: ","Karakteri: "
"1hr","1hr"
"Date: ","Datum: "
"SMS Answers","SMS odgovor"
"SMS answer from customer is displayed only when customer receives SMS from your shop with SMS sender type „System number“ and customer replies using his own mobile phone.","SMS odgovor klijenta je prikazan samo kada klijent primi SMS od prodavnice sa SMS pošiljaocem tipa „Sistemski broj“ i odgovori koristeći sopstveni broj mobilnog telefona."
"Show","Prikazati"
"Search results ","Rezultati pretrage "
" of "," od "
"SMS center","SMS centar"
"Date","Datum"
"From number","Od broja"
"new","novo"
"Previous","Prethodno"
"Next","Sledeće"
" Page: "," strana: "
"SMS Answers - not active","SMS odgovor - nije aktivan"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Profil korisnika nije aktivan! Da bi se registrovali kliknite na SMS odeljak u glanom meniu. Modul će prikazati prozor za registraciju podataka. Ako ste prethodno već koristli naš formular i imate korisničko imei lozinku, popunite obrazac za postojeći nalog. U suprotnom upišite email, prihvatite uslove korišćenja i potvrdite registraciju."
"year","godina"
"month","mesec"
"SMS","SMS"
"Text:","Tekst:"
"Total SMS answers: 0","Ukupno SMS odgovora: 0"
"SENT to recipient","POSLATI primaocima"
"ERROR","GREŠKA"
"DELIVERED to recipient","DOSTAVLJENO primaocu"
"RECIPIENT UNAVAILABLE","PRIMALAC NEDOSTUPAN"
"SMS History","SMS primljeni"
"History of sent SMS from SMS module.","Pregled poslatih SMSova sa SMS modula."
" admin sms"," admin sms"
" customer sms"," klijentov sms"
" marketing sms"," marketing sms"
" simple sms"," jednostavan sms"
"Show","Prikazati"
"Search results ","Rezultati pretrage "
" of "," od "
"Type","Tip"
"Date","Datum"
"SMS subject","SMS predmet"
"Number","Broj"
"yes","da"
"no","ne"
"system number","sistemski broj"
"Credit balance:","Preostali kredit:"
"Display customer detail","Prikazati podatke o klijentu"
"Text:","Tekst:"
"Total SMS:","Ceo SMS:"
"SMS History - not active","SMS pregled - nije aktivan"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Profil korisnika nije aktivan! Da bi se registrovali kliknite na SMS odeljak u glanom meniu. Modul će prikazati prozor za registraciju podataka. Ako ste prethodno već koristli naš formular i imate korisničko imei lozinku, popunite obrazac za postojeći nalog. U suprotnom upišite email, prihvatite uslove korišćenja i potvrdite registraciju."
"SMS price in credits:","SMS cena u kreditu:"
"year","godina"
"month","mesec"
"Status","Status"
"Recipient","Primaoc"
"Unicode:","Unicode:"
"senderID:","ID pošiljaoca:"
"Previous","Prthodno"
"Next","Sledeće"
" Page: "," Strana: "
"Total SMS: 0","Ukupno SMS: 0"
"SMS","SMS"
"SMS Marketing - bulk SMS text","SMS Marketing - tekst SMS za više primalaca"
"Enter SMS text","Uneti SMS tekst"
" Unicode "," Unicode "
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70).","Obeležiti samo ako se žele koristiti Kineski, Arapski, Grčki, Hebrejski, Koreanski, Ćirilični itd. simboli u tekstu poruke (Unicode tekst dozvoljava korišćenje simbola u svim fontovima i raznih drugih simbola u isto vreme. Broj simbola u pojedinačnoj poruci će biti ograničen na 70)."
" Send later "," Poslati kasnije "
"Your time: ","Preostalo vreme: "
"Total customers:","Ukupno klijenata:"
"Total SMS:","Ukupno SMS:"
"SMS Marketing - bulk SMS filter","SMS Marketing - filter SMS za više primalaca"
"All customers","Svi klijenti"
"company customers","Kompanijski klijenti"
"private customers","Individualni klijenti"
"All countries","Sve yemlje"
"Last name:","Prezime:"
"First name:","Ime:"
"Last name","Prezime"
"First name","Ime"
"Groups:","Grupe:"
"All","Sve"
"Gender:","Pol:"
"Male","Muški"
"Female","Ženski"
"Newsletter:","Bilten:"
"Yes","Da"
"No","Ne"
"Apply filter","Uključiti filter"
"Date of birth from: ","Datum rođenja od: "
"to: ","do: "
"Date of registration from: ","Datum registracije od: "
"Customers found: ","Klijenti nađeni: "
"results","rezultati"
"Action","Akcija"
"Mobile number","Broj mobilnog telefona"
"Customer ID","Klijentov ID"
"REMOVE customer from this list","ODSTRANITI klijenta sa liste"
"Next","Sledeći"
"Previous","Prethodni"
" Page: "," Strana: "
"SMS Marketing - customers found: ","SMS Marketing - pronađeni klijenti: "
"Write text of message and use advanced filter to target your marketing campaign.","NApisati tekst poruke i koristiti napredni filter za pronalaženje marketinške kampanje."
"Marketing SMS","Marketing SMS"
"SMS Marketing - not active","SMS Marketing - nije aktivno"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Profil korisnika nije aktivan! Da bi se registrovali kliknite na SMS odeljak u glanom meniu. Modul će prikazati prozor za registraciju podataka. Ako ste prethodno već koristli naš formular i imate korisničko imei lozinku, popunite obrazac za postojeći nalog. U suprotnom upišite email, prihvatite uslove korišćenja i potvrdite registraciju."
"Fill in SMS text","Uneti tekst SMSa"
"SMS text is too long (max. 612 characters).","SMS tekst predugačak (max. 612 simbola)."
"SMS text is too long (max. 268 unicode characters).","SMS tekst predugačak (max. 268 unicode simbola)."
"Customers found: 0","Nađeno klijenata: 0"
"Wrong time of SMS sending.","Pogrešno vreme slanja SMSa."
"You do not have enough credit to send SMS to all ","Nemate dovoljno kredita za slanje SMS svima "
" customers."," klijenti."
"SMS was sent.","SMS poslat."
"SMS was saved.","SMS sačuvan."
"wrong number or unavailable","pogrešan broj ili nedostupan"
"unauthorized senderID in confirmation sms","nedozvoljen ID pošiljaoca u potvrdi sms"
"low credit for sending sms","nedovoljan kredit za slanje smsa"
"unicode is not supported","unicode nije podržan"
"can not connect to SMS server","nije moguće povezati se na SMS server"
"SMS SIMULATION (Sending of SMS was simulated. Recipient will not receive SMS)","SMS SIMULACIJA (Slanje SMSa je simulirano. Primaoci neće primiti SMS)"
"SMS was sent (simulation).","SMS poslat (simulacija)."
"error","greška"
"login error","greška pri logovanju"
"Date:","Datum:"
"Time: ","Vreme: "
"1hr","1hr"
"time zone: ","vremenska zona: "
"time zone settings","podešavanje vremenske zone"
"Send","Poslati"
"Characters: ","Karakteri: "
"Text is too long","Tekst je predugačak"
"Type:","Tip:"
"Country:","Zemlja:"
"City:","Mesto:"
"Advert:","reklama:"
"Store:","Prodavnica:"
"All stores","Sve prodavnice"
"Presta SMS","Presta SMS"
"presta-sms.com - send SMS from your Prestashop!","presta-sms.com - šaljite SMS sa vašeg prestashop!"
"Admin SMS","Admin SMS"
"Customer SMS","Klijentov SMS"
"SMS Settings","SMS Podešavanja"
"SMS History","SMS Pregled"
"Purchase Credit","Kupiti kredit"
"Marketing SMS","SMS Marketing"
"SMS Answers","SMS Odgovori"
"Send SMS","Poslati SMS"
"About","O nama"
"wrong number or unavailable","pogrešan broj ili nedostupan"
"unauthorized senderID in confirmation sms","nedozvoljen IDpošiljaoca u potvrdi sms"
"low credit for sending sms","nedovoljan kredit za slanje smsa"
"unicode is not supported","unicode nije podržan"
"login error","greška pri logovanju"
"can not connect to SMS server","nije moguće povezati se na SMS server"
"SMS SIMULATION (Sending of SMS was simulated. Recipient will not receive SMS)","SMS SIMULACIJA (Slanje SMSa je simulirano. Primalac neće primiti SMS)"
"unknown mobile number","nepoznat broj mobilnog telefona"
"not connected to SMS server","nije povezano sa SMS server"
"New orders","Nove porudžbine"
"New order from {customer_firstname} {customer_lastname}, customer id: {customer_id}, order id: {order_id}, payment: {order_payment}, amount: {order_total_paid} {order_currency}. Order: {newOrder2}. Info from {shop_name}.","Nova porudzbina od {customer_firstname} {customer_lastname}, klijenta id: {customer_id}, narudzbina id: {order_id}, placanje: {order_payment}, kolicina: {order_total_paid} {order_currency}. Porudzbina: {newOrder2}. Podaci od {shop_name}."
"Your order {order_id} was successfully created, payment: {order_payment}, amount: {order_total_paid} {order_currency}. Have a nice day, {shop_name}.","Vasa porudzbina {order_id} je uspesno plasirana, placanje: {order_payment}, kolicina: {order_total_paid} {order_currency}. Zelimo Vam prijatan dan, {shop_name}."
"Possible variables:","Moguće opcije:"
"Successful customer create account","Uspešno kreiran nalog klijenta"
"Customer {customer_firstname} {customer_lastname}, id: {customer_id}, has just subscribed to {shop_name}.","Klijent {customer_firstname} {customer_lastname}, id: {customer_id}, se pretplation na {shop_name}."
"Dear {customer_firstname} {customer_lastname}, your account in {shop_name} was successfully created. Your username: {customer_email}. Have a nice day!","Postovani {customer_firstname} {customer_lastname}, Vas nalog u {shop_name} je uspesno kreiran. Vase korisnicko ime: {customer_email}. Zelimo Vam prijatan dan!"
"Product returned","Proizvod vraćen"
"Customer {customer_firstname} {customer_lastname}, id: {customer_id}, has returned product from order {order_id}. Order: {orderReturn2}. Customer text: {customer_question}. Info from {shop_name}.","Klijent {customer_firstname} {customer_lastname}, id: {customer_id}, je vratio proizvod sa brojem porudzbine {order_id}. Porudzbina: {orderReturn2}. Napomena klijenta: {customer_question}. Podaci od {shop_name}."
"We have received your request. Order {order_id}. Have a nice day, {shop_name}.","Primili smo Vas zahtev. Porudzbina {order_id}. Zelimo Vam prijatan dan, {shop_name}."
"Called when a quantity of one product change in an order","Pozvati kada se izmeni količina proizvoda u porudžbini"
"In order {order_id} was changed quantity, {orderSlip2}. Info from {shop_name}.","U porudzbini {order_id} je izmenjena kolicina, {orderSlip2}. Podaci od {shop_name}."
"In your order {order_id} was changed quantity, {orderSlip2}. Have a nice day, {shop_name}.","U Vasoj porudzbini {order_id} izmenjena je količina, {orderSlip2}. Zelimo Vam prijatan dan, {shop_name}."
"Payment confirmation","Potvrda uplaten"
"Payment confirmation, order id: {order_id}, payment: {order_payment}, amount: {order_total_paid} {order_currency}. Info from {shop_name}.","Potvrda uplate, porudzbina id: {order_id}, placanje: {order_payment}, kolicina: {order_total_paid} {order_currency}. Podaci od {shop_name}."
"We have successfully received payment for your order {order_id} via {order_payment}, amount: {order_total_paid} {order_currency}. Have a nice day, {shop_name}.","Uspesno smo primili uplatu za Vasu porudzbinu {order_id} preko {order_payment}, kolicina: {order_total_paid} {order_currency}. Zelimo Vam prijatan dan, {shop_name}."
"Update of tracking number in order","Ažuriranje broja za praćenje porudžbine"
"Order {order_id} was updated, tracking number is {order_shipping_number}. Info from {shop_name}.","Porudzbina {order_id} je azurirana, broj za pracenje porudzbine je {order_shipping_number}. Podatci od {shop_name}."
"Dear Customer, your order {order_id} was shipped, tracking number is {order_shipping_number}. Have a nice day, {shop_name}.","Postovani, Vasa porudzbina {order_id} je poslata, broj za pracenje je {order_shipping_number}. Zelimo Vam prijatan dan, {shop_name}."
"Called when a product is deleted","Pozvati kada je proizvod izbrisan"
"This product was deleted from {shop_name}, id: {product_id}, ref: {product_ref}, name: {product_name}. Deleted by user {employee_id}, {employee_email}.","Ovaj proizvod je izbrisan iz {shop_name}, id: {product_id}, ref: {product_ref}, ime: {product_name}. Izbrisan od strane korisnika {employee_id}, {employee_email}."
"Quantity is updated only when the customer effectively place his order","Količina je ažurirana samo onda kada klijent plasira porudžbinu"
"Quantity of product has changed, id: {product_id}, ref: {product_ref}, name: {product_name}, current quantity: {product_quantity}, supplier: {product_supplier}. Info from {shop_name}.","Kolicina proizvoda je izmenjena, id: {product_id}, ref: {product_ref}, ime: {product_name}, trenutna kolicina: {product_quantity}, dobavljac: {product_supplier}. Podaci od {shop_name}."
"Product out of stock","Proizvoda nije na raspolaganju"
"This product is almost out of stock, id: {product_id}, ref: {product_ref}, name: {product_name}, current quantity: {product_quantity}. Info from {shop_name}.","Ovog proizvoda nema mnogo na raspolaganju, id: {product_id}, ref: {product_ref}, ime: {product_name}, trenutna kolicina: {product_quantity}. Podaci od {shop_name}."
"Called when admin or customer cancel a product in an order","Pozvati kada admin ili klijent otkažu proizvod iz porudžbine"
"In order {order_id} was canceled product with id: {product_id}, ref: {product_ref}, name: {product_name}. Quantity: {product_quantity}, quantity reinjected: {product_quantity_reinjected}. Info from {shop_name}.","Iz porudzbine {order_id} otkazan je proizvod sa id: {product_id}, ref: {product_ref}, ime: {product_name}. Kolicina: {product_quantity}, kolicina otkazan: {product_quantity_reinjected}. Podaci od {shop_name}."
"Status of order {order_id} has changed to ","Status porudzbine {order_id} je promenjen na "
". Info from {shop_name}.",". Podaci od {shop_name}."
"Dear Customer, status of your order {order_id} has changed to ","Postovani, status vase porudzbine {order_id} je izmenjen i glasi "
". Have a nice day, {shop_name}.",". Zelimo Vam prijatan dan, {shop_name}."
"Bank wire","Bank wire"
"Company Name","Ime kompanije"
"Country","Zemlja"
"City","Grad"
"qty","qty"
"qty reinjected","qty reinjected"
"qty returned","qty vraceno"
"name","ime"
"not found","nije pronađeno"
"SMS Settings - Select Own number sender ID for ","SMS Podešavanja - Izabrati broj ID pošiljaoca za "
"Own number sender ID settings","Sopstveni broj pošiljaoca ID podešavanja"
"own number sender ID","sopstveni broj pošiljaoca ID"
"Existing Own number:","Postojeći sopstveni broj:"
"New Own number sender ID:","novi sopstveni broj pošiljaoca ID:"
"in international format, no leading <br />zeros or a “+” sign, e.g., 447971796595","u međunarodnom fromatu, bez početnih nula ili znaka “+”, na pr., 381611748783"
"SMS code:","SMS kod:"
"CONFIRM","POTVRDITI"
"Required field","Neophodno polje"
"SMS Settings - Select Text sender ID for ","SMS Podešavanja - Izabrati tekst pošiljaoca ID za "
"Text sender ID settings","Tekst pošiljaoca ID podešavanja"
"Existing Text sender ID:","Postojeći tekst pošiljaoca ID:"
"New Text sender ID:","Novi tekst pošiljaoca ID:"
"max. 11 characters","max. 11 karaktera"
"SMS Settings","SMS Podešavanja"
